Time (UTC +02:00 d/M/yyyy h:mm:ss tt),Frequency (B) (Hz),Peak to peak (A) (V),Peak to peak (B) (V),"Phase (B, A) (°)"
30/6/2024 3:14,1000.64,0.2854823,0.3059175,1.43248
30/6/2024 3:14,999.6801,0.2854823,0.3059175,1.431691
30/6/2024 3:14,1000.32,0.2837184,0.3059175,2.149642
30/6/2024 3:14,999.3604,0.2837184,0.2969451,1.942142
30/6/2024 3:14,1000.64,0.2854823,0.3059175,1.943977
30/6/2024 3:14,1000.32,0.2890042,0.3059175,0.1150888
30/6/2024 3:14,1000,0.2854823,0.2969451,1.842495
30/6/2024 3:14,1000.64,0.2854763,0.3059175,2.249568
30/6/2024 3:14,999.6802,0.2837184,0.3059175,1.840901
30/6/2024 3:14,999.6801,0.2837184,0.3059175,2.045535
30/6/2024 3:14,999.0409,0.2890042,0.3149205,1.430936
30/6/2024 3:14,999.6802,0.2837184,0.2969451,1.533737
30/6/2024 3:14,1000.961,0.2837184,0.3059175,1.430887
30/6/2024 3:14,1000,0.2854763,0.2969451,0.6143225
30/6/2024 3:15,1000,0.2872402,0.3059175,2.353437
30/6/2024 3:15,999.6801,0.2854823,0.3059175,2.149136
30/6/2024 3:15,999.3604,0.2854763,0.2969451,1.12398
30/6/2024 3:15,1000,0.2837184,0.3059175,1.329895
30/6/2024 3:15,1000,0.2819544,0.3059175,1.432478
30/6/2024 3:15,1000.961,0.2907681,0.2969451,1.02276
30/6/2024 3:15,999.6802,0.2837184,0.2969451,1.429072
30/6/2024 3:15,1000,0.2890042,0.3059175,0.9191178
30/6/2024 3:15,999.6801,0.2819544,0.2969451,1.739131
30/6/2024 3:15,1000.64,0.2837184,0.2969451,1.738383
30/6/2024 3:15,1000.32,0.2819544,0.2969451,1.434063
30/6/2024 3:15,999.6802,0.2872402,0.3149205,1.329927
30/6/2024 3:15,1000.64,0.2837184,0.2969451,1.228687
30/6/2024 3:15,1000.32,0.2819544,0.2969451,1.330966
30/6/2024 3:15,999.3604,0.2837184,0.3059175,1.737831
30/6/2024 3:15,999.041,0.2854763,0.2969451,1.021163
