Time (UTC +02:00 d/M/yyyy h:mm:ss tt),Frequency (B) (Hz),Peak to peak (A) (V),Peak to peak (B) (V),"Phase (B, A) (°)"
29/6/2024 11:06:44 PM,1000.178,0.1413099,1.933714,276.1544
29/6/2024 11:06:44 PM,1000.178,0.1395337,1.951842,276.8365
29/6/2024 11:06:45 PM,1000.178,0.1457534,1.933714,276.8169
29/6/2024 11:06:45 PM,1000.178,0.1404218,1.933714,274.276
29/6/2024 11:06:45 PM,1000.178,0.1457534,1.951842,277.3722
29/6/2024 11:06:45 PM,999.8932,0.1448653,1.933714,276.0175
29/6/2024 11:06:45 PM,999.8932,0.1421979,1.933714,274.8902
29/6/2024 11:06:45 PM,1000.178,0.1439741,1.933714,275.8951
29/6/2024 11:06:45 PM,1000.178,0.1421979,1.933714,275.1982
29/6/2024 11:06:45 PM,999.8932,0.1448653,1.933714,276.1578
29/6/2024 11:06:46 PM,999.8932,0.1475326,1.933714,275.1354
29/6/2024 11:06:46 PM,1000.178,0.1448622,1.933714,274.4036
29/6/2024 11:06:46 PM,1000.178,0.1448653,1.933714,277.144
29/6/2024 11:06:46 PM,999.8933,0.1457534,1.933714,275.5284
29/6/2024 11:06:46 PM,999.8932,0.142198,1.933714,275.0045
29/6/2024 11:06:46 PM,1000.178,0.1421979,1.933714,274.5767
29/6/2024 11:06:46 PM,999.8933,0.1493088,1.933714,277.758
29/6/2024 11:06:46 PM,1000.178,0.1475295,1.933714,274.0956
29/6/2024 11:06:46 PM,999.8932,0.1457534,1.933714,273.8909
29/6/2024 11:06:46 PM,1000.178,0.1421979,1.933714,274.6857
29/6/2024 11:06:46 PM,999.8932,0.1413099,1.933714,274.8907
29/6/2024 11:06:46 PM,1000.462,0.142198,1.933714,276.1546
29/6/2024 11:06:46 PM,1000.178,0.1439741,1.933714,273.7889
29/6/2024 11:06:46 PM,999.6091,0.1457534,1.933714,275.7819
29/6/2024 11:06:46 PM,999.8932,0.1421979,1.933714,273.8911
29/6/2024 11:06:46 PM,999.8933,0.143086,1.933714,274.3801
29/6/2024 11:06:46 PM,999.8933,0.1466414,1.933714,277.3491
29/6/2024 11:06:46 PM,999.8933,0.1501969,1.933714,275.1982
29/6/2024 11:06:46 PM,1000.178,0.1484176,1.951842,277.4509
29/6/2024 11:06:47 PM,1000.178,0.1421979,1.951842,277.206
29/6/2024 11:06:47 PM,999.8932,0.1413099,1.951842,276.7573
29/6/2024 11:06:47 PM,999.8933,0.1421979,1.951842,275.8122
29/6/2024 11:06:47 PM,1000.178,0.1439741,1.951842,276.529
29/6/2024 11:06:47 PM,999.8933,0.1457503,1.933714,274.4037
29/6/2024 11:06:47 PM,1000.178,0.1457534,1.933714,275.6867
29/6/2024 11:06:47 PM,1000.178,0.1457534,1.933714,275.505
29/6/2024 11:06:47 PM,999.8933,0.1413099,1.951842,276.553
29/6/2024 11:06:47 PM,1000.178,0.1421979,1.951842,275.71
29/6/2024 11:06:47 PM,1000.462,0.1457534,1.951842,277.2699
29/6/2024 11:06:47 PM,1000.178,0.1404218,1.951842,276.2225
29/6/2024 11:06:47 PM,999.8933,0.1395337,1.951842,275.9386
29/6/2024 11:06:47 PM,1000.178,0.143086,1.933714,275.6316
29/6/2024 11:06:47 PM,1000.178,0.1439772,1.933714,277.0649
29/6/2024 11:06:47 PM,1000.178,0.1404218,1.933714,274.0955
29/6/2024 11:06:47 PM,1000.178,0.1466414,1.933714,275.1994
29/6/2024 11:06:47 PM,1000.178,0.1413099,1.933714,275.017
29/6/2024 11:06:47 PM,999.8932,0.1421979,1.933714,274.1982
29/6/2024 11:06:47 PM,1000.178,0.1448653,1.933714,275.6316
29/6/2024 11:06:47 PM,1000.178,0.1421979,1.933714,274.5843
29/6/2024 11:06:47 PM,1000.178,0.143086,1.933714,276.0171
29/6/2024 11:06:47 PM,1000.178,0.1413099,1.933714,275.9145
29/6/2024 11:06:48 PM,999.8933,0.1448653,1.933714,277.3492
29/6/2024 11:06:48 PM,999.8933,0.1439741,1.933714,275.0953
29/6/2024 11:06:48 PM,1000.178,0.1484207,1.933714,275.264
29/6/2024 11:06:48 PM,1000.462,0.1413099,1.933714,276.0175
29/6/2024 11:06:48 PM,1000.178,0.143086,1.933714,274.0974
29/6/2024 11:06:48 PM,1000.178,0.1421979,1.933714,275.0959
29/6/2024 11:06:48 PM,1000.178,0.1457534,1.933714,272.5037
29/6/2024 11:06:48 PM,999.8932,0.1448653,1.951842,276.6559
29/6/2024 11:06:48 PM,999.8932,0.1404218,1.951842,275.5294
29/6/2024 11:06:48 PM,1000.178,0.1413099,1.933714,276.0417
29/6/2024 11:06:48 PM,1000.178,0.1413099,1.933714,274.8416
29/6/2024 11:06:48 PM,1000.178,0.1493088,1.933714,274.0959
29/6/2024 11:06:48 PM,1000.178,0.1448622,1.933714,275.4032
29/6/2024 11:06:48 PM,1000.178,0.143086,1.933714,275.5292
29/6/2024 11:06:48 PM,1500.628,NaN,1.861385,NaN
29/6/2024 11:06:48 PM,1500.185,0.2044191,1.879452,280.319
29/6/2024 11:06:48 PM,1500.185,0.2008912,1.861385,275.5559
29/6/2024 11:06:48 PM,1499.742,0.206177,1.861385,275.5783
29/6/2024 11:06:48 PM,1500.185,0.204413,1.861385,276.5665
29/6/2024 11:06:48 PM,1500.628,0.206177,1.861385,279.0137
29/6/2024 11:06:49 PM,1500.185,0.202649,1.862789,279.3312
29/6/2024 11:06:49 PM,1500.185,0.204413,1.853816,278.3437
29/6/2024 11:06:49 PM,1499.742,0.1991272,1.853816,279.0147
29/6/2024 11:06:49 PM,1500.185,0.2008851,1.853816,278.0254
29/6/2024 11:06:49 PM,1500.185,0.2008912,1.853816,278.936
29/6/2024 11:06:49 PM,1500.185,0.204413,1.853816,278.3432
29/6/2024 11:06:49 PM,1500.185,0.2008912,1.853816,279.2323
29/6/2024 11:06:49 PM,1500.185,0.2008851,1.862789,277.9492
29/6/2024 11:06:49 PM,1500.185,0.1991272,1.853816,278.936
