Time (UTC +02:00 d/M/yyyy h:mm:ss tt),Frequency (B) (Hz),Peak to peak (A) (V),Peak to peak (B) (V),"Phase (A, B) (°)"
26/6/2024 1:24:02 PM,4000.438,0.2533402,0.2835536,337.6053
26/6/2024 1:24:02 PM,4000.438,0.2551408,0.2853481,338.7308
26/6/2024 1:24:03 PM,4000.438,0.2533402,0.2835536,337.0482
26/6/2024 1:24:03 PM,4000.438,0.2551408,0.2835536,337.5101
26/6/2024 1:24:03 PM,4500.288,0.2533402,0.288937,334.7414
26/6/2024 1:24:03 PM,4499.822,0.2533402,0.2943205,334.5619
26/6/2024 1:24:03 PM,4500.987,0.2551408,0.2871426,335.4025
26/6/2024 1:24:03 PM,4500.987,0.258736,0.2871426,334.9312
26/6/2024 1:24:03 PM,4500.987,0.2551408,0.292526,336.2411
26/6/2024 1:24:03 PM,4499.822,0.2515397,0.288937,336.4227
26/6/2024 1:24:03 PM,4499.822,0.2551408,0.288937,336.6172
26/6/2024 1:24:03 PM,4500.987,0.2515397,0.288937,335.2083
26/6/2024 1:24:03 PM,4499.822,0.2533402,0.2871426,334.7478
26/6/2024 1:24:03 PM,4499.822,0.2569354,0.288937,334.7478
26/6/2024 1:24:03 PM,4499.822,0.2533402,0.288937,335.3043
26/6/2024 1:24:03 PM,4499.822,0.2569354,0.2871426,333.554
26/6/2024 1:24:03 PM,4499.822,0.2533402,0.288937,334.1908
26/6/2024 1:24:03 PM,4499.822,0.2533402,0.2871426,334.0989
26/6/2024 1:24:03 PM,4499.822,0.2515397,0.288937,336.1472
26/6/2024 1:24:04 PM,4499.822,0.2551408,0.288937,335.202
26/6/2024 1:24:04 PM,5000.32,0.2533402,0.2979095,331.803
26/6/2024 1:24:04 PM,5000.243,0.2533402,0.296115,332.6283
26/6/2024 1:24:04 PM,5000.243,0.2551408,0.296115,332.9071
26/6/2024 1:24:04 PM,5000.243,0.2551408,0.2943205,332.9141
26/6/2024 1:24:04 PM,5000.243,0.2515397,0.296115,333.4653
26/6/2024 1:24:04 PM,5000.32,0.2533402,0.2943205,331.9848
26/6/2024 1:24:04 PM,5000.243,0.2569354,0.2943205,330.9701
26/6/2024 1:24:04 PM,5000.243,0.2515397,0.2943205,332.6327
26/6/2024 1:24:04 PM,5000.243,0.2551408,0.2943205,333.0025
26/6/2024 1:24:04 PM,5000.243,0.2515397,0.2943205,332.6283
26/6/2024 1:24:04 PM,5000.243,0.2551348,0.296115,332.8163
26/6/2024 1:24:04 PM,5000.243,0.2569354,0.2943205,330.9682
26/6/2024 1:24:04 PM,5000.243,0.2587298,0.2943205,331.1471
26/6/2024 1:24:04 PM,5000.243,0.2533402,0.2979095,332.4447
26/6/2024 1:24:04 PM,5000.243,0.2533402,0.296115,332.8141
26/6/2024 1:24:05 PM,5001.536,0.2533402,0.2943205,331.9892
26/6/2024 1:24:05 PM,5463.287,0.2533402,0.3014985,330.249
26/6/2024 1:24:05 PM,5499.628,0.2497452,0.3014985,329.7632
26/6/2024 1:24:05 PM,5501.05,0.2533402,0.3014985,329.4056
26/6/2024 1:24:05 PM,5499.628,0.2533402,0.303293,330.3275
26/6/2024 1:24:05 PM,5501.05,0.2533403,0.3050874,330.4295
26/6/2024 1:24:05 PM,5499.628,0.2533403,0.3014985,330.6178
26/6/2024 1:24:05 PM,5501.05,0.2551348,0.3014985,329.6798
26/6/2024 1:24:05 PM,5499.628,0.2515397,0.303293,331.1753
26/6/2024 1:24:05 PM,5501.05,0.2515397,0.3014985,330.3354
26/6/2024 1:24:05 PM,5499.628,0.2515397,0.3014985,330.6178
26/6/2024 1:24:05 PM,5499.628,0.2515458,0.3014985,329.4891
26/6/2024 1:24:05 PM,5500.352,0.2533402,0.3014985,329.8573
26/6/2024 1:24:05 PM,5500.352,0.2497452,0.3014985,329.8599
26/6/2024 1:24:05 PM,5501.05,0.2515458,0.303293,330.1472
26/6/2024 1:24:05 PM,5501.05,0.2515397,0.303293,330.1499
26/6/2024 1:24:06 PM,5500.352,0.2533402,0.3014985,329.9592
26/6/2024 1:24:06 PM,5775.504,0.2551408,0.3122654,327.6628
26/6/2024 1:24:06 PM,6000.384,0.258736,0.3140599,327.7501
26/6/2024 1:24:06 PM,6001.081,0.2515397,0.3158544,329.4587
26/6/2024 1:24:06 PM,6000.384,0.2497452,0.3104709,327.7501
26/6/2024 1:24:06 PM,5999.532,0.2533402,0.3086764,326.9968
26/6/2024 1:24:06 PM,5999.532,0.2515458,0.3104709,327.0082
26/6/2024 1:24:06 PM,6000.384,0.2515458,0.3086764,327.0054
26/6/2024 1:24:06 PM,6001.081,0.2533402,0.3086764,327.0082
26/6/2024 1:24:06 PM,6000.384,0.2551348,0.3104709,327.2791
26/6/2024 1:24:06 PM,6001.081,0.2515458,0.3122654,326.261
26/6/2024 1:24:06 PM,6000.384,0.2515397,0.3086764,327.8444
26/6/2024 1:24:06 PM,6001.081,0.2515397,0.3086764,327.853
26/6/2024 1:24:06 PM,6000.384,0.2551408,0.3122654,327.7501
26/6/2024 1:24:06 PM,5999.532,0.2533402,0.3104709,327.2936
26/6/2024 1:24:06 PM,5999.532,0.2515397,0.3104709,328.5994
26/6/2024 1:24:07 PM,6001.081,0.2569354,0.3086764,326.0783
26/6/2024 1:24:07 PM,6000.384,0.2533403,0.3122654,328.6938
26/6/2024 1:24:07 PM,6500.338,0.2533402,0.3194433,323.8748
26/6/2024 1:24:07 PM,6500.416,0.2551348,0.3248268,325.8192
26/6/2024 1:24:07 PM,6500.338,0.2515458,0.3176489,323.8721
26/6/2024 1:24:07 PM,6500.416,0.2497452,0.3212379,324.5162
26/6/2024 1:24:07 PM,6500.416,0.2515397,0.3230323,325.4426
26/6/2024 1:24:07 PM,6500.338,0.2497452,0.3194433,324.0568
26/6/2024 1:24:07 PM,6500.338,0.2515397,0.3212379,325.4426
26/6/2024 1:24:07 PM,6500.338,0.2533402,0.3212379,324.7042
26/6/2024 1:24:07 PM,6500.338,0.2533402,0.3212379,324.7938
26/6/2024 1:24:07 PM,6500.416,0.2515397,0.3194433,324.7938
26/6/2024 1:24:07 PM,6500.338,0.2533402,0.3212379,324.4237
26/6/2024 1:24:07 PM,6500.338,0.2515397,0.3212379,324.7938
26/6/2024 1:24:07 PM,6500.338,0.2533402,0.3212379,324.7012
26/6/2024 1:24:07 PM,6500.338,0.2515397,0.3194433,324.7965
26/6/2024 1:24:08 PM,6500.338,0.2497452,0.3194433,324.1492
26/6/2024 1:24:08 PM,6910.592,0.2515397,0.3302103,322.3346
26/6/2024 1:24:08 PM,7000.448,0.2533402,0.3337992,320.0894
26/6/2024 1:24:08 PM,7000.448,0.2533402,0.3320048,321.2882
26/6/2024 1:24:08 PM,7000.448,0.2569354,0.3302103,319.8128
26/6/2024 1:24:08 PM,7000.629,0.2497452,0.3302103,320.7439
26/6/2024 1:24:08 PM,7000.629,0.2533402,0.3302103,320.3689
26/6/2024 1:24:08 PM,7000.629,0.2515458,0.3338054,322.3346
26/6/2024 1:24:08 PM,7000.448,0.2533402,0.3302103,321.2025
26/6/2024 1:24:08 PM,7000.448,0.2515397,0.3320048,321.6661
26/6/2024 1:24:08 PM,7000.629,0.2533403,0.3320048,322.3448
26/6/2024 1:24:08 PM,7000.629,0.2515397,0.3320048,321.6697
26/6/2024 1:24:08 PM,7000.448,0.2515397,0.3338054,322.5258
26/6/2024 1:24:08 PM,7000.629,0.2569354,0.3302103,319.9972
26/6/2024 1:24:08 PM,7000.629,0.2515397,0.3320048,322.6246
26/6/2024 1:24:08 PM,7000.629,0.2533402,0.3320048,320.9174
26/6/2024 1:24:09 PM,7000.448,0.2497452,0.3302103,321.1929
26/6/2024 1:24:09 PM,7000.448,0.2533402,0.3320048,321.857
26/6/2024 1:24:09 PM,7500.48,0.2515397,0.3427778,319.2704
26/6/2024 1:24:09 PM,7500.403,0.2533402,0.3427778,318.6217
26/6/2024 1:24:09 PM,7500.403,0.2515397,0.3463668,319.9108
26/6/2024 1:24:09 PM,7500.48,0.2515458,0.3427778,318.6249
26/6/2024 1:24:09 PM,7500.403,0.2515397,0.3427778,319.2608
26/6/2024 1:24:09 PM,7500.403,0.2497452,0.3445723,318.5297
26/6/2024 1:24:09 PM,7500.403,0.2497452,0.3445723,318.5369
26/6/2024 1:24:09 PM,7500.403,0.2497452,0.3445723,318.6115
26/6/2024 1:24:09 PM,7500.48,0.2497452,0.3463668,319.3532
26/6/2024 1:24:09 PM,7500.48,0.2497452,0.3445723,318.6187
26/6/2024 1:24:09 PM,7500.403,0.2515458,0.3481613,319.0763
26/6/2024 1:24:09 PM,7500.48,0.2515458,0.3427778,318.9872
26/6/2024 1:24:09 PM,7500.48,0.2533402,0.3427778,317.6205
26/6/2024 1:24:09 PM,7500.48,0.2497452,0.3445723,318.806
26/6/2024 1:24:10 PM,7500.403,0.2497452,0.3445723,318.5297
26/6/2024 1:24:10 PM,7500.48,0.2551348,0.3445723,318.7169
26/6/2024 1:24:10 PM,8000.512,0.2497452,0.3607288,316.2147
26/6/2024 1:24:10 PM,8000.512,0.2497452,0.3607288,316.6832
26/6/2024 1:24:10 PM,7999.663,0.2515458,0.3571398,316.4844
26/6/2024 1:24:10 PM,8000.512,0.2497452,0.3571398,316.5781
26/6/2024 1:24:10 PM,8001.723,0.2551408,0.3571398,315.6609
26/6/2024 1:24:10 PM,8000.512,0.2497452,0.3589343,316.3907
26/6/2024 1:24:10 PM,7999.663,0.2515397,0.3589343,317.0585
26/6/2024 1:24:10 PM,8000.512,0.2515458,0.3607288,316.4957
26/6/2024 1:24:10 PM,8000.512,0.2497452,0.3571398,316.3083
26/6/2024 1:24:10 PM,8000.512,0.2497452,0.3571398,316.297
26/6/2024 1:24:10 PM,8000.512,0.2497452,0.3589343,315.9228
26/6/2024 1:24:10 PM,7999.663,0.2533402,0.3625233,316.777
26/6/2024 1:24:10 PM,8000.512,0.2497452,0.3589343,316.3084
26/6/2024 1:24:10 PM,8000.512,0.2515458,0.3607288,316.9532
26/6/2024 1:24:11 PM,8001.723,0.2497452,0.3571398,316.3122
26/6/2024 1:24:11 PM,7999.663,0.2497452,0.3589343,316.4958
26/6/2024 1:24:11 PM,8500.596,0.2497452,0.3750847,313.752
26/6/2024 1:24:11 PM,8500.544,0.2515458,0.3732902,313.7472
26/6/2024 1:24:11 PM,8500.544,0.2497452,0.3750847,314.1111
26/6/2024 1:24:11 PM,8500.596,0.2497452,0.3750847,314.1111
26/6/2024 1:24:11 PM,8500.544,0.2497452,0.3750847,314.1111
26/6/2024 1:24:11 PM,8500.596,0.2497452,0.3768792,313.9274
26/6/2024 1:24:11 PM,8500.596,0.2497452,0.3732902,313.8472
26/6/2024 1:24:11 PM,8500.544,0.2479507,0.3750847,314.571
26/6/2024 1:24:11 PM,8500.544,0.2497452,0.3768792,314.1144
26/6/2024 1:24:11 PM,8500.544,0.2497452,0.3750847,314.3869
26/6/2024 1:24:11 PM,8500.544,0.2497452,0.3750847,314.0192
26/6/2024 1:24:11 PM,8500.596,0.2515397,0.3750847,314.5744
26/6/2024 1:24:11 PM,8500.544,0.2497452,0.3768792,313.8355
26/6/2024 1:24:11 PM,8500.544,0.2515458,0.3768792,313.9273
26/6/2024 1:24:11 PM,8500.596,0.2497452,0.3732902,313.4687
26/6/2024 1:24:12 PM,8500.544,0.2497452,0.3750847,314.0192
26/6/2024 1:24:12 PM,9001.271,0.2479507,0.3912351,311.8325
26/6/2024 1:24:12 PM,9000.576,0.2479507,0.3927732,313.4435
26/6/2024 1:24:12 PM,8998.955,0.2497452,0.3927732,312.7739
26/6/2024 1:24:12 PM,9001.271,0.2515458,0.3927732,313.1695
26/6/2024 1:24:12 PM,9000.576,0.2497452,0.3927732,313.1563
26/6/2024 1:24:12 PM,9001.271,0.2515458,0.3927732,312.8695
26/6/2024 1:24:12 PM,9000.576,0.2551408,0.3927732,311.9147
26/6/2024 1:24:12 PM,9001.271,0.2479507,0.3927732,313.4566
26/6/2024 1:24:12 PM,9001.271,0.2497452,0.3927732,312.6914
26/6/2024 1:24:12 PM,9000.576,0.2515458,0.3972442,313.252
26/6/2024 1:24:12 PM,9000.576,0.2479507,0.3927732,313.1564
26/6/2024 1:24:12 PM,9001.271,0.2479507,0.3972442,313.4566
26/6/2024 1:24:12 PM,9000.576,0.2497452,0.3927732,313.252
26/6/2024 1:24:12 PM,9001.271,0.2479507,0.3927732,313.5523
26/6/2024 1:24:12 PM,9000.576,0.2497452,0.3927732,312.8695
26/6/2024 1:24:13 PM,9000.576,0.2497452,0.3927732,313.252
26/6/2024 1:24:13 PM,9501.69,0.2479507,0.4150975,311.2316
26/6/2024 1:24:13 PM,9501.69,0.2461501,0.4150975,310.3749
26/6/2024 1:24:13 PM,9500.608,0.2479507,0.4150975,311.1227
26/6/2024 1:24:13 PM,9500.608,0.2497452,0.4150975,310.9322
26/6/2024 1:24:13 PM,9501.69,0.2497452,0.4106265,310.5651
26/6/2024 1:24:13 PM,9501.69,0.2497452,0.4106265,310.6603
26/6/2024 1:24:13 PM,9501.69,0.2479507,0.4150975,311.041
26/6/2024 1:24:13 PM,9499.244,0.2479507,0.4150975,311.0411
26/6/2024 1:24:13 PM,9500.608,0.2479507,0.4106265,311.2179
26/6/2024 1:24:13 PM,9500.608,0.2479507,0.4150975,311.218
26/6/2024 1:24:13 PM,9500.608,0.2497452,0.4106265,310.7418
26/6/2024 1:24:13 PM,9500.608,0.2479507,0.4150975,311.1227
26/6/2024 1:24:13 PM,9499.244,0.2479507,0.4150975,311.2316
26/6/2024 1:24:13 PM,9501.69,0.2479507,0.4106265,311.2316
26/6/2024 1:24:13 PM,9499.244,0.2479507,0.4150975,311.3269
26/6/2024 1:24:14 PM,9500.608,0.2497452,0.4106265,310.6466
26/6/2024 1:24:14 PM,10000.64,0.2461501,0.4329509,308.0617
26/6/2024 1:24:14 PM,10001.85,0.2461501,0.4329509,308.2664
26/6/2024 1:24:14 PM,10001.85,0.2461501,0.4329509,308.4568
26/6/2024 1:24:14 PM,10001.85,0.2461501,0.4329509,308.2664
26/6/2024 1:24:14 PM,9999.276,0.2479507,0.4329509,308.8379
26/6/2024 1:24:14 PM,10000.64,0.2461501,0.4329509,308.3473
26/6/2024 1:24:14 PM,10000.64,0.2479446,0.4329509,308.1569
26/6/2024 1:24:14 PM,10000.64,0.2461501,0.4374218,308.3472
26/6/2024 1:24:14 PM,10001.85,0.2461501,0.4329509,308.1713
26/6/2024 1:24:14 PM,10000.64,0.2461501,0.4329509,308.3472
26/6/2024 1:24:14 PM,10000.64,0.2461501,0.4374218,308.3473
26/6/2024 1:24:14 PM,10000.64,0.2497452,0.4374218,307.4915
26/6/2024 1:24:14 PM,10000.64,0.2461501,0.4329509,308.3472
26/6/2024 1:24:14 PM,10000.64,0.2461501,0.4329509,308.4424
26/6/2024 1:24:14 PM,10001.85,0.2461501,0.4329509,308.4568
26/6/2024 1:24:15 PM,10000.64,0.2461501,0.4329509,308.4425
26/6/2024 1:24:15 PM,10500.67,0.2461501,0.4597308,305.8819
26/6/2024 1:24:15 PM,10500.67,0.2443556,0.4641865,306.8552
26/6/2024 1:24:15 PM,10500.67,0.2461501,0.4597308,306.936
26/6/2024 1:24:15 PM,10500.67,0.2479507,0.4597308,305.8819
26/6/2024 1:24:15 PM,10501.75,0.2479507,0.4597308,305.8013
26/6/2024 1:24:15 PM,10500.67,0.2461501,0.4597308,306.4565
26/6/2024 1:24:15 PM,10500.67,0.2443556,0.4597308,306.6482
26/6/2024 1:24:15 PM,10500.67,0.2443556,0.4597308,306.6482
26/6/2024 1:24:15 PM,10500.67,0.2443556,0.4597308,305.8819
26/6/2024 1:24:15 PM,10500.67,0.2443556,0.4597308,306.4565
26/6/2024 1:24:15 PM,10500.67,0.2443556,0.4642018,305.8818
26/6/2024 1:24:15 PM,10501.75,0.2461501,0.4597308,304.1785
26/6/2024 1:24:15 PM,10500.67,0.2461501,0.4597308,303.4027
26/6/2024 1:24:15 PM,10500.67,0.2479446,0.4597308,305.8819
26/6/2024 1:24:15 PM,10500.67,0.2479446,0.4597308,306.5676
26/6/2024 1:24:16 PM,10501.75,0.2479507,0.4597308,304.4643
26/6/2024 1:24:16 PM,11000.7,0.2425611,0.4909818,304.3249
26/6/2024 1:24:16 PM,11001.4,0.2443556,0.4909818,304.0286
26/6/2024 1:24:16 PM,11000.7,0.2425611,0.4909818,304.3192
26/6/2024 1:24:16 PM,11001.4,0.2443556,0.4909818,304.0343
26/6/2024 1:24:16 PM,11000.7,0.2443556,0.4909818,303.9374
26/6/2024 1:24:16 PM,10998.57,0.2425611,0.4909818,304.228
26/6/2024 1:24:16 PM,11000.7,0.2443556,0.4909818,304.3135
26/6/2024 1:24:16 PM,11001.4,0.2443556,0.4909818,304.2224
26/6/2024 1:24:16 PM,11001.4,0.2443556,0.4909818,303.9375
26/6/2024 1:24:16 PM,11000.7,0.2425611,0.4909818,303.9536
26/6/2024 1:24:16 PM,11000.7,0.2443556,0.4909818,304.5017
26/6/2024 1:24:16 PM,11001.4,0.2443556,0.4909818,304.0286
26/6/2024 1:24:16 PM,11000.7,0.2443556,0.4909818,304.2167
