Frequency (B) (Hz),Peak to peak (A) (V),Normalized Peak to Peak (A) (V) ,Peak to peak (B) (V),"Phase (A, B) (°)",,,
999.8933,0.06132237,0.236722767,1.745781,86.33771,,Max Peak to Peak=,0.2590472
1000.178,0.06087833,0.235008639,1.745781,84.39706,,,
1000.178,0.05998871,0.231574439,1.745781,82.18805,,,
1000.178,0.06043428,0.233294473,1.745781,85.87488,,,
1000.178,0.06176642,0.238436934,1.745781,82.77107,,,
1000.178,0.05910062,0.228146145,1.745781,85.36601,,,
999.8933,0.06310007,0.243585223,1.745781,82.65131,,,
999.8933,0.06043275,0.233288567,1.736808,86.16692,,,
1000.178,0.06310007,0.243585223,1.736808,86.16692,,,
999.8933,0.06087833,0.235008639,1.745781,84.41965,,,
1000.178,0.06043275,0.233288567,1.745781,85.48621,,,
1000.178,0.06043428,0.233294473,1.745781,84.9042,,,
999.8933,0.06087833,0.235008639,1.736808,86.14362,,,
1000.178,0.06265603,0.241871095,1.745781,83.71743,,,
1000.178,0.06132237,0.236722767,1.745781,84.41938,,,
1000.178,0.06176642,0.238436934,1.745781,83.73994,,,
1000.178,0.06132237,0.236722767,1.745781,84.68353,,,
1000.178,0.06087833,0.235008639,1.745781,87.78977,,,
999.8933,0.05954467,0.229860311,1.745781,86.16693,,,
1000.178,0.05954467,0.229860311,1.736808,86.33817,,,
999.8933,0.06176642,0.238436934,1.745781,82.55467,,,
1000.178,0.05910062,0.228146145,1.745781,85.17293,,,
1000.178,0.06310007,0.243585223,1.745781,82.94232,,,
1000.178,0.06176642,0.238436934,1.745781,82.5539,,,
1000.178,0.06043275,0.233288567,1.745781,85.65799,,,
999.8933,0.06221198,0.240156929,1.745781,84.39581,,,
999.8933,0.0626545,0.241865189,1.745781,82.38241,,,
1000.178,0.05999023,0.231580307,1.745781,86.06948,,,
999.8933,0.05998871,0.231574439,1.745781,84.27764,,,
999.8933,0.06265603,0.241871095,1.745781,82.16577,,,
1000.178,0.06132237,0.236722767,1.745781,84.85386,,,
999.8933,0.06043275,0.233288567,1.745781,85.5606,,,
1000.178,0.06043275,0.233288567,1.745781,85.36724,,,
999.8933,0.06176642,0.238436934,1.745781,83.8146,,,
999.8933,0.06354412,0.245299389,1.754784,82.8454,,,
999.8933,0.06176642,0.238436934,1.745781,83.91177,,,
999.8933,0.06043275,0.233288567,1.727836,85.46343,,,
1000.178,0.06265603,0.241871095,1.745781,84.03147,,,
1000.178,0.06087833,0.235008639,1.736808,85.19546,,,
999.8933,0.05998871,0.231574439,1.745781,85.36627,,,
999.8933,0.06176642,0.238436934,1.745781,84.00893,,,
1000.178,0.06265603,0.241871095,1.745781,83.62073,,,
1000.178,0.05998871,0.231574439,1.745781,85.56034,,,
999.8933,0.06132237,0.236722767,1.745781,86.16616,,,
999.8933,0.06087833,0.235008639,1.736808,84.71162,,,
999.8933,0.06087833,0.235008639,1.745781,85.38932,,,
1000.178,0.06221198,0.240156929,1.745781,85.48722,,,
1000.178,0.06043275,0.233288567,1.736808,86.14362,,,
1000.178,0.06132237,0.236722767,1.745781,84.59142,,,
1000.178,0.06087833,0.235008639,1.745781,86.24027,,,
1000.178,0.0626545,0.241865189,1.745781,82.47957,,,
999.8933,0.06043275,0.233288567,1.736808,86.33768,,,
1000.178,0.05998871,0.231574439,1.736808,85.17244,,,
1000.178,0.05999023,0.231580307,1.745781,85.46344,,,
999.8933,0.06087833,0.235008639,1.745781,85.2929,,,
1000.178,0.06265603,0.241871095,1.745781,81.97088,,,
999.8933,0.06043275,0.233288567,1.745781,85.38957,,,
1000.178,0.06221046,0.240151061,1.745781,84.00864,,,
999.8933,0.06176642,0.238436934,1.754784,83.15872,,,
1000.178,0.05954467,0.229860311,1.745781,85.92598,,,
999.8933,0.05954467,0.229860311,1.745781,85.5606,,,
1000.178,0.0644322,0.248727645,1.736808,81.6804,,,
1000.178,0.05910062,0.228146145,1.745781,85.46342,,,
1000.178,0.06087833,0.235008639,1.745781,84.87975,,,
