Time;Channel A
(ns);(V)

-152,07447746;5,07309200
-132,07447758;5,07309200
-112,07447770;5,07309200
-92,07447782;5,07309200
-72,07447794;5,07309200
-52,07447806;5,07309200
-32,07447818;5,07309200
-12,07447831;6,91213700
7,92552157;3,75957500
27,92552145;2,97128200
47,92552133;-1,05655100
67,92552121;-0,88137450
87,92552109;-0,70619830
107,92552096;0,08148442
127,92552084;-0,00579852
147,92552072;0,08148442
167,92552060;-0,00579852
187,92552048;0,08148442
207,92552036;0,16907250
227,92552024;0,08148442
247,92552011;0,08148442
267,92551999;0,08148442
287,92551987;0,08148442
307,92551975;0,08148442
327,92551963;0,08148442
347,92551951;0,08148442
367,92551938;0,08148442
387,92551926;0,08148442
407,92551914;0,08148442
427,92551902;0,08148442
447,92551890;-0,00579852
467,92551878;0,08148442
487,92551866;0,08148442
507,92551853;0,08148442
527,92551841;0,16907250
547,92551829;0,08148442
567,92551817;0,08148442
587,92551805;0,08148442
607,92551793;0,08148442
627,92551780;0,08148442
647,92551768;0,08148442
667,92551756;-0,00579852
687,92551744;0,08148442
707,92551732;0,16907250
727,92551720;0,08148442
747,92551708;0,08148442
767,92551695;0,08148442
787,92551683;-0,00579852
807,92551671;0,16907250
827,92551659;-0,00579852
847,92551647;0,08148442
867,92551635;0,16907250
887,92551622;0,08148442
907,92551610;0,08148442
