Time;Channel A
(us);(V)

-0,54138599;5,07309200
-0,52138599;4,98550400
-0,50138599;5,07309200
-0,48138599;5,07309200
-0,46138599;4,98550400
-0,44138599;5,07309200
-0,42138599;5,07309200
-0,40138599;4,98550400
-0,38138599;5,07309200
-0,36138599;5,07309200
-0,34138599;4,98550400
-0,32138599;5,07309200
-0,30138599;5,07309200
-0,28138599;4,98550400
-0,26138599;5,07309200
-0,24138599;4,98550400
-0,22138599;5,07309200
-0,20138599;4,98550400
-0,18138599;5,07309200
-0,16138599;5,07309200
-0,14138599;4,98550400
-0,12138599;5,07309200
-0,10138599;5,07309200
-0,08138599;5,07309200
-0,06138599;4,98550400
-0,04138599;5,86108000
-0,02138599;5,24826800
-0,00138599;5,07309200
0,01861401;4,54756300
0,03861401;4,81032800
0,05861401;4,28479900
0,07861401;4,54756300
0,09861401;4,37238700
0,11861401;4,37238700
0,13861401;4,19751600
0,15861401;4,19751600
0,17861401;4,10992800
0,19861401;4,10992800
0,21861401;3,93475200
0,23861401;3,84716300
0,25861401;3,75957500
0,27861401;3,75957500
0,29861401;3,58439900
0,31861401;3,49681100
0,33861401;3,49681100
0,35861401;3,40922300
0,37861401;3,32163500
0,39861401;3,23404600
0,41861401;3,23404600
0,43861401;3,14645800
0,45861401;3,14645800
0,47861401;3,05887000
0,49861401;2,97128200
0,51861401;2,79641100
0,53861401;2,88369400
0,55861401;2,79641100
0,57861401;2,70882300
0,59861401;2,79641100
0,61861401;2,62123500
0,63861401;2,62123500
0,65861401;2,53364700
0,67861401;2,44605900
0,69861401;2,44605900
0,71861401;2,44605900
0,73861401;2,35847000
0,75861401;2,35847000
0,77861401;2,27088200
0,79861401;2,18329400
0,81861401;2,18329400
0,83861400;2,09570600
0,85861400;2,09570600
0,87861400;2,09570600
0,89861400;2,00811800
0,91861400;2,00811800
0,93861400;1,92053000
0,95861400;1,92053000
0,97861400;1,92053000
0,99861400;1,83294200
1,01861400;1,74535400
1,03861400;1,83294200
1,05861400;1,74535400
1,07861400;1,74535400
1,09861400;1,74535400
1,11861400;1,65776500
1,13861400;1,65776500
1,15861400;1,65776500
1,17861400;1,57017700
1,19861400;1,57017700
1,21861400;1,57017700
1,23861400;1,48258900
1,25861400;1,48258900
1,27861400;1,48258900
1,29861400;1,39530600
1,31861400;1,39530600
1,33861400;1,39530600
1,35861400;1,39530600
1,37861400;1,39530600
1,39861400;1,30771800
1,41861400;1,30771800
1,43861400;1,30771800
1,45861400;1,22013000
