Time;Channel A
(ns);(V)

-154,20566513;5,07309200
-134,20566525;4,98550400
-114,20566537;5,07309200
-94,20566549;5,07309200
-74,20566561;5,07309200
-54,20566573;4,98550400
-34,20566586;4,98550400
-14,20566598;6,73696100
5,79433390;4,37238700
25,79433378;3,49681100
45,79433366;-0,53102210
65,79433354;-0,79378640
85,79433342;-0,96896270
105,79433329;-0,00579852
125,79433317;-0,00579852
145,79433305;0,08148442
165,79433293;0,08148442
185,79433281;0,16907250
205,79433269;0,08148442
225,79433256;0,08148442
245,79433244;0,16907250
265,79433232;0,08148442
285,79433220;0,08148442
305,79433208;0,08148442
325,79433196;0,08148442
345,79433184;0,08148442
365,79433171;0,08148442
385,79433159;0,08148442
405,79433147;0,08148442
425,79433135;0,08148442
445,79433123;-0,00579852
465,79433111;0,08148442
485,79433098;0,08148442
505,79433086;-0,00579852
525,79433074;0,08148442
545,79433062;0,08148442
565,79433050;0,16907250
585,79433038;0,08148442
605,79433026;0,08148442
625,79433013;0,08148442
645,79433001;0,08148442
665,79432989;0,08148442
685,79432977;0,08148442
705,79432965;0,08148442
725,79432953;0,08148442
745,79432940;0,16907250
765,79432928;0,08148442
785,79432916;0,08148442
805,79432904;0,08148442
825,79432892;0,08148442
845,79432880;0,08148442
865,79432867;0,08148442
885,79432855;-0,00579852
905,79432843;0,08148442
