Time;Channel A
(us);(V)

-2,05851097;4,98550400
-2,03851097;5,07309200
-2,01851097;5,07309200
-1,99851097;5,07309200
-1,97851097;5,07309200
-1,95851097;4,98550400
-1,93851097;4,98550400
-1,91851097;5,07309200
-1,89851097;5,07309200
-1,87851097;5,07309200
-1,85851097;4,98550400
-1,83851097;5,07309200
-1,81851097;5,07309200
-1,79851097;5,07309200
-1,77851097;5,07309200
-1,75851097;5,07309200
-1,73851097;4,98550400
-1,71851097;5,07309200
-1,69851097;4,98550400
-1,67851097;5,07309200
-1,65851097;5,07309200
-1,63851097;4,98550400
-1,61851098;4,98550400
-1,59851098;5,07309200
-1,57851098;5,07309200
-1,55851098;5,07309200
-1,53851098;5,07309200
-1,51851098;5,07309200
-1,49851098;4,98550400
-1,47851098;5,07309200
-1,45851098;5,07309200
-1,43851098;5,07309200
-1,41851098;5,07309200
-1,39851098;5,07309200
-1,37851098;5,07309200
-1,35851098;5,07309200
-1,33851098;5,07309200
-1,31851098;5,07309200
-1,29851098;5,07309200
-1,27851098;4,98550400
-1,25851098;5,07309200
-1,23851098;5,07309200
-1,21851098;5,07309200
-1,19851098;5,07309200
-1,17851098;5,07309200
-1,15851098;5,07309200
-1,13851098;5,07309200
-1,11851098;5,07309200
-1,09851098;5,07309200
-1,07851098;5,07309200
-1,05851098;4,98550400
-1,03851098;5,07309200
-1,01851098;5,07309200
-0,99851098;5,07309200
-0,97851098;5,07309200
-0,95851098;5,07309200
-0,93851098;4,98550400
-0,91851098;5,07309200
-0,89851098;5,07309200
-0,87851098;5,07309200
-0,85851098;5,07309200
-0,83851098;5,07309200
-0,81851098;5,07309200
-0,79851098;5,07309200
-0,77851098;5,07309200
-0,75851098;5,07309200
-0,73851098;5,07309200
-0,71851098;5,07309200
-0,69851098;5,07309200
-0,67851098;5,07309200
-0,65851098;5,07309200
-0,63851098;5,07309200
-0,61851098;5,07309200
-0,59851098;5,07309200
-0,57851098;5,07309200
-0,55851098;4,98550400
-0,53851098;4,98550400
-0,51851098;5,07309200
-0,49851098;4,98550400
-0,47851098;5,07309200
-0,45851098;5,07309200
-0,43851098;4,98550400
-0,41851098;5,07309200
-0,39851098;5,07309200
-0,37851098;5,07309200
-0,35851098;5,07309200
-0,33851098;5,07309200
-0,31851098;5,07309200
-0,29851098;5,07309200
-0,27851098;4,98550400
-0,25851098;4,98550400
-0,23851098;5,07309200
-0,21851098;4,98550400
-0,19851098;5,07309200
-0,17851098;5,07309200
