Frequency,Channel A
(MHz),(dBu)

0.00000000,-24.48794000
0.00152588,-26.45153000
0.00305176,-35.08075000
0.00457764,-15.16894000
0.00610352,0.08387021
0.00762939,7.30595600
0.00915527,8.93770600
0.01068115,5.38596900
0.01220703,-4.24704100
0.01373291,-24.10289000
0.01525879,-42.44527000
0.01678467,-21.11526000
0.01831055,-7.87664700
0.01983643,-1.34974500
0.02136230,-0.09937984
0.02288818,-3.92866700
0.02441406,-13.76120000
0.02593994,-32.15570000
0.02746582,-46.63692000
0.02899170,-49.83602000
0.03051758,-55.01102000
0.03204346,-56.14415000
0.03356934,-57.73368000
0.03509521,-53.31358000
0.03662109,-68.81692000
0.03814697,-56.43430000
0.03967285,-54.82691000
0.04119873,-67.44592000
0.04272461,-57.06812000
0.04425049,-59.18793000
0.04577637,-58.78730000
0.04730225,-53.99870000
0.04882813,-56.42235000
0.05035400,-57.79367000
0.05187988,-54.45173000
0.05340576,-55.31599000
0.05493164,-58.43725000
0.05645752,-59.78902000
0.05798340,-62.13478000
0.05950928,-56.27640000
0.06103516,-50.62814000
0.06256104,-48.68460000
0.06408691,-48.85354000
0.06561279,-50.47578000
0.06713867,-53.02529000
0.06866455,-56.22349000
0.07019043,-57.62127000
0.07171631,-55.24427000
0.07324219,-53.93398000
0.07476807,-55.99644000
0.07629395,-65.09972000
0.07781982,-58.35838000
0.07934570,-57.58423000
0.08087158,-59.50809000
0.08239746,-55.47997000
0.08392334,-53.91115000
0.08544922,-54.42487000
0.08697510,-55.31181000
0.08850098,-54.99774000
0.09002686,-55.24569000
0.09155273,-58.21307000
0.09307861,-63.82987000
0.09460449,-64.47737000
0.09613037,-58.89747000
0.09765625,-57.26450000
0.09918213,-57.80441000
0.10070801,-59.71960000
0.10223389,-62.70708000
0.10375977,-63.07680000
0.10528564,-58.02642000
0.10681152,-53.79215000
0.10833740,-56.33869000
0.10986328,-68.24249000
0.11138916,-56.36086000
0.11291504,-58.18356000
0.11444092,-76.08325000
0.11596680,-57.49131000
0.11749268,-53.90545000
0.11901855,-54.42443000
0.12054443,-56.48328000
0.12207031,-59.12185000
0.12359619,-61.90098000
0.12512207,-62.09726000
0.12664795,-63.92941000
0.12817383,-71.63905000
0.12969971,-76.45099000
0.13122559,-69.35844000
0.13275146,-63.56647000
0.13427734,-59.64143000
0.13580322,-60.18876000
0.13732910,-65.71156000
0.13885498,-67.47485000
0.14038086,-63.03189000
0.14190674,-55.21311000
0.14343262,-52.54279000
0.14495850,-53.39646000
0.14648438,-58.06054000
0.14801025,-67.75443000
0.14953613,-60.13910000
0.15106201,-57.34574000
0.15258789,-59.94638000
0.15411377,-64.51102000
0.15563965,-60.49106000
0.15716553,-56.27493000
0.15869141,-56.69376000
0.16021729,-62.29060000
0.16174316,-63.01836000
0.16326904,-57.94333000
0.16479492,-58.19919000
0.16632080,-65.08838000
0.16784668,-72.18595000
0.16937256,-64.92387000
0.17089844,-65.77550000
0.17242432,-60.76163000
0.17395020,-59.08195000
0.17547607,-63.94603000
0.17700195,-67.63479000
0.17852783,-59.01191000
0.18005371,-56.59752000
0.18157959,-57.58772000
0.18310547,-61.19164000
0.18463135,-63.43451000
0.18615723,-63.61346000
0.18768311,-63.22079000
0.18920898,-65.61847000
0.19073486,-81.06248000
0.19226074,-63.71661000
0.19378662,-59.02971000
0.19531250,-57.97190000
0.19683838,-57.19838000
0.19836426,-58.38866000
0.19989014,-59.56384000
0.20141602,-58.30080000
0.20294189,-56.18325000
0.20446777,-56.12141000
0.20599365,-60.38904000
0.20751953,-58.43039000
0.20904541,-56.10829000
0.21057129,-57.09315000
0.21209717,-58.29612000
0.21362305,-60.28999000
0.21514893,-63.35390000
0.21667480,-63.16216000
0.21820068,-61.47599000
0.21972656,-59.00006000
0.22125244,-57.26533000
0.22277832,-58.41405000
0.22430420,-65.26588000
0.22583008,-66.99550000
