Frequency,Channel A
(kHz),(dBu)

0.00000000,-27.69786000
0.19073486,-35.27709000
0.38146973,-46.65360000
0.57220459,-57.19452000
0.76293945,-51.02156000
0.95367432,-53.42506000
1.14440918,-51.23433000
1.33514404,-46.35958000
1.52587891,-47.84218000
1.71661377,-43.02659000
1.90734863,-44.67697000
2.09808350,-13.05541000
2.28881836,3.31287600
2.47955322,8.88135300
2.67028809,5.32416200
2.86102295,0.76562000
3.05175781,7.08001400
3.24249268,2.81799300
3.43322754,-11.35369000
3.62396240,-40.96594000
3.81469727,-44.07000000
4.00543213,-42.77704000
4.19616699,-47.90694000
4.38690186,-47.13780000
4.57763672,-54.93034000
4.76837158,-66.98133000
4.95910645,-52.62401000
5.14984131,-46.16208000
5.34057617,-44.96711000
5.53131104,-44.18357000
5.72204590,-43.48866000
5.91278076,-45.16073000
6.10351563,-46.64488000
6.29425049,-46.74332000
6.48498535,-49.51365000
6.67572021,-50.25479000
6.86645508,-52.57644000
7.05718994,-58.95772000
7.24792480,-52.07403000
7.43865967,-52.43230000
7.62939453,-60.20523000
7.82012939,-51.09034000
8.01086426,-47.30159000
8.20159912,-47.66614000
8.39233398,-51.69876000
8.58306885,-62.55904000
8.77380371,-61.85404000
8.96453857,-58.10028000
9.15527344,-49.76085000
9.34600830,-49.41141000
9.53674316,-54.26347000
9.72747803,-55.71320000
9.91821289,-53.59011000
10.10894775,-54.64621000
10.29968262,-51.12980000
10.49041748,-47.64418000
10.68115234,-48.33929000
10.87188721,-48.83987000
11.06262207,-51.19696000
11.25335693,-64.67826000
11.44409180,-55.19868000
11.63482666,-55.18564000
11.82556152,-57.65793000
12.01629639,-60.13322000
12.20703125,-55.60469000
12.39776611,-58.78159000
12.58850098,-59.67102000
12.77923584,-59.69398000
12.96997070,-60.72804000
13.16070557,-57.91740000
13.35144043,-53.49338000
13.54217529,-52.33341000
13.73291016,-52.27207000
13.92364502,-53.05929000
14.11437988,-52.42786000
14.30511475,-48.46032000
14.49584961,-48.13443000
14.68658447,-52.89812000
14.87731934,-61.63450000
15.06805420,-63.83300000
15.25878906,-59.50347000
15.44952393,-57.56106000
15.64025879,-54.78556000
15.83099365,-49.94116000
16.02172852,-54.32201000
16.21246338,-51.29549000
16.40319824,-49.48042000
16.59393311,-53.29219000
16.78466797,-63.89360000
16.97540283,-55.49693000
17.16613770,-60.91684000
17.35687256,-64.60125000
17.54760742,-51.13136000
17.73834229,-48.44969000
17.92907715,-52.98745000
18.11981201,-50.84461000
18.31054688,-47.40072000
18.50128174,-44.79749000
18.69201660,-44.70758000
18.88275146,-48.10261000
19.07348633,-51.65405000
19.26422119,-51.55736000
19.45495605,-54.20854000
19.64569092,-64.39493000
19.83642578,-67.65276000
20.02716064,-55.23489000
20.21789551,-48.82106000
20.40863037,-48.16693000
20.59936523,-49.25788000
20.79010010,-50.80190000
20.98083496,-53.63938000
21.17156982,-62.52071000
21.36230469,-60.57712000
21.55303955,-64.93644000
21.74377441,-58.64528000
21.93450928,-57.17597000
22.12524414,-55.25374000
22.31597900,-51.54903000
22.50671387,-53.49031000
22.69744873,-60.96256000
22.88818359,-55.18394000
23.07891846,-51.52868000
23.26965332,-51.68927000
23.46038818,-56.76631000
23.65112305,-64.32018000
23.84185791,-53.41518000
24.03259277,-47.66304000
24.22332764,-47.44308000
24.41406250,-49.50930000
24.60479736,-55.66934000
24.79553223,-52.57143000
24.98626709,-56.24938000
25.17700195,-52.80283000
25.36773682,-49.45015000
