Frequency;Channel A
(MHz);(dBu)

0,00000000;-29,79315000
0,00038147;-32,84919000
0,00076294;-39,43855000
0,00114441;-47,51560000
0,00152588;-49,75591000
0,00190735;-55,79108000
0,00228882;-52,58724000
0,00267029;-58,87930000
0,00305176;-55,02895000
0,00343323;-53,86182000
0,00381470;-49,80425000
0,00419617;-50,38644000
0,00457764;-52,97858000
0,00495911;-47,90036000
0,00534058;-56,41137000
0,00572205;-48,44861000
0,00610352;-49,04533000
0,00648499;-46,11662000
0,00686646;-45,33343000
0,00724792;-38,04326000
0,00762939;-23,65825000
0,00801086;-7,80146500
0,00839233;1,13045300
0,00877380;4,54316900
0,00915527;3,08869600
0,00953674;-3,48671400
0,00991821;-16,38899000
0,01029968;-33,39767000
0,01068115;-46,68629000
0,01106262;-42,14435000
0,01144409;-53,12994000
0,01182556;-48,70030000
0,01220703;-62,67414000
0,01258850;-52,60091000
0,01296997;-52,64744000
0,01335144;-56,21491000
0,01373291;-52,78809000
0,01411438;-56,32828000
0,01449585;-54,26748000
0,01487732;-54,77554000
0,01525879;-72,81348000
0,01564026;-60,25969000
0,01602173;-60,51416000
0,01640320;-60,88322000
0,01678467;-51,44662000
0,01716614;-44,08696000
0,01754761;-41,14923000
0,01792908;-41,82043000
0,01831055;-48,21228000
0,01869202;-54,30422000
0,01907349;-48,83635000
0,01945496;-52,16735000
0,01983643;-62,09085000
0,02021790;-67,49734000
0,02059937;-60,39357000
0,02098083;-59,08061000
0,02136230;-54,79652000
0,02174377;-54,92337000
0,02212524;-58,89396000
0,02250671;-63,42137000
0,02288818;-63,69707000
0,02326965;-55,39156000
0,02365112;-53,17351000
0,02403259;-55,92452000
0,02441406;-58,88725000
0,02479553;-56,74248000
0,02517700;-50,94946000
0,02555847;-47,96739000
0,02593994;-47,12223000
0,02632141;-47,78434000
0,02670288;-48,86580000
0,02708435;-48,80495000
0,02746582;-48,75836000
0,02784729;-49,84492000
0,02822876;-53,17685000
0,02861023;-54,46503000
0,02899170;-51,93736000
0,02937317;-52,96284000
0,02975464;-56,91290000
0,03013611;-55,77110000
0,03051758;-53,31266000
0,03089905;-57,10160000
0,03128052;-78,25700000
0,03166199;-63,72301000
0,03204346;-61,01834000
0,03242493;-60,78083000
0,03280640;-59,22995000
0,03318787;-54,53038000
0,03356934;-57,15014000
0,03395081;-51,51575000
0,03433228;-49,65478000
0,03471375;-51,09393000
0,03509521;-51,42475000
0,03547668;-54,73711000
0,03585815;-63,39899000
0,03623962;-55,18511000
0,03662109;-51,36205000
0,03700256;-50,91041000
0,03738403;-52,16671000
0,03776550;-55,83948000
0,03814697;-54,05652000
0,03852844;-53,06360000
0,03890991;-61,09334000
0,03929138;-69,23682000
0,03967285;-70,33952000
0,04005432;-63,99536000
0,04043579;-62,00649000
0,04081726;-50,64160000
0,04119873;-48,23669000
0,04158020;-49,88544000
0,04196167;-54,87142000
0,04234314;-58,94090000
0,04272461;-51,98119000
0,04310608;-50,03059000
0,04348755;-52,76743000
0,04386902;-59,18678000
0,04425049;-56,34985000
0,04463196;-49,60390000
0,04501343;-46,51976000
0,04539490;-47,92137000
0,04577637;-53,98234000
0,04615784;-57,49344000
0,04653931;-54,78934000
0,04692078;-52,47162000
0,04730225;-52,12225000
0,04768372;-55,09148000
0,04806519;-59,69939000
0,04844666;-62,45277000
0,04882813;-61,81308000
0,04920959;-62,52297000
0,04959106;-56,02531000
0,04997253;-55,50591000
0,05035400;-59,11604000
0,05073547;-56,22578000
0,05111694;-56,65643000
0,05149841;-72,92865000
0,05187988;-53,85548000
0,05226135;-50,40945000
0,05264282;-53,06557000
0,05302429;-57,45270000
0,05340576;-54,51297000
0,05378723;-49,38436000
0,05416870;-47,22687000
0,05455017;-48,23351000
0,05493164;-52,19044000
0,05531311;-58,42677000
0,05569458;-63,87112000
0,05607605;-55,29971000
0,05645752;-53,73865000
