Time;Channel A
(ms);(V)

-0,00070316;0,50904880
-0,00038316;0,33265180
-0,00006316;0,15625480
0,00025684;-0,02014222
0,00057684;-0,19653920
0,00089684;-0,37293620
0,00121684;-0,54933320
0,00153684;-0,72573020
0,00185684;-0,90212710
0,00217684;-1,07852400
0,00249684;-1,25492100
0,00281684;-1,43131800
0,00313684;-1,60771500
0,00345684;-1,78411200
0,00377684;-1,96050900
0,00409683;-2,13690600
0,00441683;-2,31330300
0,00473683;-2,48970000
0,00505683;-2,66609700
0,00537683;-2,84249400
0,00569683;-3,01889100
0,00601683;-3,19528800
0,00633683;-3,37168500
0,00665683;-3,54808200
0,00697683;-3,72447900
0,00729683;-3,72447900
0,00761683;-3,90087600
0,00793683;-4,07727300
0,00825683;-4,25367000
0,00857683;-4,43006700
0,00889683;-4,60646400
0,00921683;-4,60646400
0,00953683;-4,78286100
0,00985683;-4,95925800
0,01017683;-5,13565500
0,01049683;-5,31205200
0,01081683;-5,31205200
0,01113683;-5,48844900
0,01145683;-5,66484600
0,01177683;-5,84124300
0,01209683;-6,01764000
0,01241683;-6,01764000
0,01273683;-6,37043400
0,01305683;-6,37043400
0,01337683;-6,54683100
0,01369683;-6,54683100
0,01401683;-6,72322800
0,01433683;-6,89962500
0,01465683;-6,89962500
0,01497683;-7,07602200
0,01529683;-7,25241900
0,01561683;-7,25241900
0,01593683;-7,42881500
0,01625683;-7,60521300
0,01657683;-7,60521300
0,01689683;-7,78161000
0,01721683;-7,78161000
0,01753683;-7,95800600
0,01785683;-7,95800600
0,01817683;-8,13440300
0,01849683;-8,13440300
0,01881683;-8,31080100
0,01913683;-8,31080100
0,01945683;-8,48719800
0,01977683;-8,48719800
0,02009683;-8,66359400
0,02041683;-8,66359400
0,02073683;-8,66359400
0,02105683;-8,83999200
0,02137683;-8,83999200
0,02169683;-8,83999200
0,02201683;-8,83999200
0,02233683;-9,01638900
0,02265683;-9,01638900
0,02297683;-9,01638900
0,02329683;-9,19278500
0,02361683;-9,19278500
0,02393683;-9,19278500
0,02425683;-9,19278500
0,02457683;-9,36918300
0,02489683;-9,36918300
0,02521683;-9,36918300
0,02553683;-9,36918300
0,02585683;-9,36918300
0,02617683;-9,54557900
0,02649683;-9,36918300
0,02681683;-9,36918300
0,02713683;-9,54557900
0,02745683;-9,36918300
0,02777683;-9,36918300
0,02809683;-9,54557900
0,02841683;-9,54557900
0,02873683;-9,54557900
0,02905683;-9,36918300
0,02937683;-9,36918300
0,02969683;-9,36918300
0,03001683;-9,36918300
0,03033683;-9,36918300
0,03065683;-9,36918300
0,03097683;-9,19278500
0,03129683;-9,36918300
0,03161683;-9,19278500
0,03193683;-9,19278500
0,03225683;-9,19278500
0,03257683;-9,19278500
0,03289683;-9,19278500
0,03321683;-9,01638900
0,03353683;-9,01638900
0,03385683;-8,83999200
0,03417683;-8,83999200
0,03449683;-8,83999200
0,03481683;-8,66359400
0,03513683;-8,66359400
0,03545683;-8,48719800
0,03577683;-8,48719800
0,03609683;-8,48719800
0,03641683;-8,31080100
0,03673683;-8,31080100
