Frequency,Channel A
(MHz),(dBu)

0.00000000,-26.92961000
0.00152588,-28.01394000
0.00305176,-39.04338000
0.00457764,-15.33873000
0.00610352,-0.11973490
0.00762939,7.08567700
0.00915527,8.72120700
0.01068115,5.18002400
0.01220703,-4.49713200
0.01373291,-24.37515000
0.01525879,-47.45808000
0.01678467,-45.19814000
0.01831055,-47.78929000
0.01983643,-50.46162000
0.02136230,-42.63908000
0.02288818,-22.67941000
0.02441406,-11.19711000
0.02593994,-5.71650400
0.02746582,-5.28916700
0.02899170,-9.78621600
0.03051758,-19.99454000
0.03204346,-37.59452000
0.03356934,-48.21187000
0.03509521,-68.75622000
0.03662109,-48.78020000
0.03814697,-56.33360000
0.03967285,-54.20313000
0.04119873,-55.16844000
0.04272461,-53.33035000
0.04425049,-55.95549000
0.04577637,-59.52758000
0.04730225,-76.60696000
0.04882813,-65.27994000
0.05035400,-56.43760000
0.05187988,-52.72413000
0.05340576,-51.77258000
0.05493164,-51.74864000
0.05645752,-56.15338000
0.05798340,-67.28016000
0.05950928,-75.62444000
0.06103516,-64.76003000
0.06256104,-56.50986000
0.06408691,-57.21187000
0.06561279,-68.01032000
0.06713867,-61.41858000
0.06866455,-60.65350000
0.07019043,-61.30392000
0.07171631,-75.22277000
0.07324219,-56.78612000
0.07476807,-51.96557000
0.07629395,-52.85660000
0.07781982,-57.24000000
0.07934570,-60.04378000
0.08087158,-62.66286000
0.08239746,-67.94141000
0.08392334,-58.79643000
0.08544922,-57.02108000
0.08697510,-57.53540000
0.08850098,-58.62488000
0.09002686,-59.67469000
0.09155273,-57.18470000
0.09307861,-54.63282000
0.09460449,-53.29433000
0.09613037,-53.69959000
0.09765625,-56.23247000
0.09918213,-61.87328000
0.10070801,-68.66036000
0.10223389,-63.63030000
0.10375977,-59.81569000
0.10528564,-55.81996000
0.10681152,-55.49183000
0.10833740,-55.52280000
0.10986328,-55.55292000
0.11138916,-56.52058000
0.11291504,-55.52067000
0.11444092,-58.44606000
0.11596680,-63.35216000
0.11749268,-62.83124000
0.11901855,-63.01237000
0.12054443,-62.54660000
0.12207031,-61.80664000
0.12359619,-57.45325000
0.12512207,-55.54146000
0.12664795,-53.21649000
0.12817383,-52.85061000
0.12969971,-53.39081000
0.13122559,-52.89137000
0.13275146,-53.40356000
0.13427734,-56.04740000
0.13580322,-59.85437000
0.13732910,-61.44460000
0.13885498,-63.36010000
0.14038086,-64.66189000
0.14190674,-67.56386000
0.14343262,-69.65569000
0.14495850,-56.59896000
0.14648438,-51.81907000
0.14801025,-50.59867000
0.14953613,-53.14426000
0.15106201,-63.29737000
0.15258789,-57.99307000
0.15411377,-56.34880000
0.15563965,-62.41307000
0.15716553,-64.67394000
0.15869141,-67.63393000
0.16021729,-66.10482000
0.16174316,-64.90538000
0.16326904,-62.91642000
0.16479492,-59.40707000
0.16632080,-59.32707000
0.16784668,-63.78151000
0.16937256,-59.77674000
0.17089844,-55.79088000
0.17242432,-58.27472000
0.17395020,-65.25239000
0.17547607,-68.82321000
0.17700195,-63.08727000
0.17852783,-59.21146000
0.18005371,-56.87295000
0.18157959,-56.22810000
0.18310547,-59.78139000
0.18463135,-77.76118000
0.18615723,-70.04633000
0.18768311,-76.54321000
0.18920898,-62.26698000
0.19073486,-62.40490000
0.19226074,-62.34369000
0.19378662,-57.70119000
0.19531250,-61.28138000
0.19683838,-85.47604000
0.19836426,-73.90961000
0.19989014,-66.86559000
0.20141602,-62.25740000
0.20294189,-63.49883000
0.20446777,-58.28386000
0.20599365,-57.39051000
0.20751953,-58.55635000
0.20904541,-60.57135000
0.21057129,-62.39388000
0.21209717,-63.71271000
0.21362305,-68.36643000
0.21514893,-69.83856000
0.21667480,-64.18044000
0.21820068,-62.34750000
0.21972656,-62.63319000
0.22125244,-59.39785000
0.22277832,-59.65562000
0.22430420,-62.90523000
0.22583008,-59.73248000
