Frequency;Channel A
(kHz);(dBu)

0,00000000;-23,53466000
0,19073486;-30,07226000
0,38146973;-43,04825000
0,57220459;-54,32206000
0,76293945;-56,72919000
0,95367432;-64,85455000
1,14440918;-64,10350000
1,33514404;-66,35037000
1,52587891;-57,99485000
1,71661377;-60,73501000
1,90734863;-75,58073000
2,09808350;-58,55253000
2,28881836;-59,26670000
2,47955322;-55,54322000
2,67028809;-44,06693000
2,86102295;-19,52208000
3,05175781;-9,46525200
3,24249268;-8,13506000
3,43322754;-14,98778000
3,62396240;-33,31610000
3,81469727;-62,34098000
4,00543213;-63,01164000
4,19616699;-61,08746000
4,38690186;-66,78128000
4,57763672;-70,02090000
4,76837158;-60,14167000
4,95910645;-62,46357000
5,14984131;-59,51948000
5,34057617;-57,13478000
5,53131104;-57,90171000
5,72204590;-58,65462000
5,91278076;-56,70366000
6,10351563;-52,02675000
6,29425049;-49,03241000
6,48498535;-48,78831000
6,67572021;-52,66127000
6,86645508;-63,06336000
7,05718994;-57,65369000
7,24792480;-57,92564000
7,43865967;-61,93820000
7,62939453;-70,54085000
7,82012939;-62,88713000
8,01086426;-65,19032000
8,20159912;-63,61012000
8,39233398;-49,86638000
8,58306885;-43,69195000
8,77380371;-38,06050000
8,96453857;-37,45407000
9,15527344;-43,55215000
9,34600830;-49,51253000
9,53674316;-52,01427000
9,72747803;-58,17235000
9,91821289;-62,99335000
10,10894775;-67,01436000
10,29968262;-63,08396000
10,49041748;-59,17975000
10,68115234;-61,46435000
10,87188721;-61,31171000
11,06262207;-58,13569000
11,25335693;-60,15174000
11,44409180;-58,64650000
11,63482666;-55,37499000
11,82556152;-55,05393000
12,01629639;-56,07967000
12,20703125;-62,50269000
12,39776611;-56,28195000
12,58850098;-53,57962000
12,77923584;-57,52529000
12,96997070;-59,21247000
13,16070557;-68,84248000
13,35144043;-74,02606000
13,54217529;-63,75888000
13,73291016;-57,62642000
13,92364502;-58,95880000
14,11437988;-79,08266000
14,30511475;-58,83345000
14,49584961;-57,87468000
14,68658447;-60,47265000
14,87731934;-64,59145000
15,06805420;-57,49203000
15,25878906;-60,10519000
15,44952393;-64,52100000
15,64025879;-58,91965000
15,83099365;-60,12469000
16,02172852;-62,54836000
16,21246338;-62,19062000
16,40319824;-59,72927000
16,59393311;-62,51617000
16,78466797;-62,22593000
16,97540283;-70,12589000
17,16613770;-58,80499000
17,35687256;-56,91707000
17,54760742;-58,42055000
17,73834229;-64,60969000
17,92907715;-65,07797000
18,11981201;-68,78538000
18,31054688;-64,23629000
18,50128174;-58,89328000
18,69201660;-54,22184000
18,88275146;-53,59657000
19,07348633;-59,83211000
19,26422119;-73,94318000
19,45495605;-60,83441000
19,64569092;-56,65611000
19,83642578;-56,87122000
20,02716064;-59,41798000
20,21789551;-63,32067000
20,40863037;-63,19603000
20,59936523;-71,47933000
20,79010010;-64,80714000
20,98083496;-66,20503000
21,17156982;-66,96774000
21,36230469;-58,08256000
21,55303955;-56,26249000
21,74377441;-58,83852000
21,93450928;-58,79156000
22,12524414;-55,16283000
22,31597900;-55,02535000
22,50671387;-56,38042000
22,69744873;-58,06104000
22,88818359;-54,63817000
23,07891846;-54,05410000
23,26965332;-60,78294000
23,46038818;-67,74614000
23,65112305;-62,60612000
23,84185791;-58,39772000
24,03259277;-55,98899000
24,22332764;-59,20992000
24,41406250;-67,05293000
24,60479736;-61,05674000
24,79553223;-61,10537000
24,98626709;-65,42363000
25,17700195;-65,44524000
