Frequency;Channel A
(kHz);(dBu)

0,00000000;-25,87330000
0,19073486;-32,74061000
0,38146973;-50,56416000
0,57220459;-54,48952000
0,76293945;-52,23464000
0,95367432;-52,23088000
1,14440918;-57,25031000
1,33514404;-61,27807000
1,52587891;-56,71949000
1,71661377;-51,82029000
1,90734863;-51,86713000
2,09808350;-55,94543000
2,28881836;-64,80192000
2,47955322;-68,44451000
2,67028809;-69,16405000
2,86102295;-67,16978000
3,05175781;-61,73165000
3,24249268;-60,90706000
3,43322754;-65,18542000
3,62396240;-62,51265000
3,81469727;-60,75474000
4,00543213;-60,78871000
4,19616699;-56,79075000
4,38690186;-55,59652000
4,57763672;-58,41444000
4,76837158;-60,38154000
4,95910645;-63,38697000
5,14984131;-60,20423000
5,34057617;-58,87203000
5,53131104;-70,65128000
5,72204590;-54,59673000
5,91278076;-57,62550000
6,10351563;-65,01682000
6,29425049;-68,48305000
6,48498535;-54,32551000
6,67572021;-66,68246000
6,86645508;-44,50847000
7,05718994;-36,82822000
7,24792480;-21,00402000
7,43865967;-13,42501000
7,62939453;-12,74151000
7,82012939;-18,80634000
8,01086426;-31,11493000
8,20159912;-40,59585000
8,39233398;-33,68518000
8,58306885;-23,16294000
8,77380371;-17,02882000
8,96453857;-16,73622000
9,15527344;-22,38669000
9,34600830;-34,01656000
9,53674316;-41,98590000
9,72747803;-53,74761000
9,91821289;-55,20240000
10,10894775;-58,89925000
10,29968262;-68,26866000
10,49041748;-57,35030000
10,68115234;-55,76644000
10,87188721;-56,79931000
11,06262207;-62,40056000
11,25335693;-58,68189000
11,44409180;-81,46188000
11,63482666;-74,05288000
11,82556152;-69,29272000
12,01629639;-66,82077000
12,20703125;-63,81460000
12,39776611;-57,61765000
12,58850098;-60,58456000
12,77923584;-56,91463000
12,96997070;-54,04309000
13,16070557;-54,27383000
13,35144043;-55,42078000
13,54217529;-55,84032000
13,73291016;-57,00311000
13,92364502;-73,56494000
14,11437988;-56,48814000
14,30511475;-58,59812000
14,49584961;-71,02489000
14,68658447;-53,67818000
14,87731934;-53,34968000
15,06805420;-54,04257000
15,25878906;-55,78804000
15,44952393;-58,59901000
15,64025879;-54,72914000
15,83099365;-56,86340000
16,02172852;-58,50518000
16,21246338;-71,88753000
16,40319824;-55,44118000
16,59393311;-57,28632000
16,78466797;-58,01681000
16,97540283;-58,42854000
17,16613770;-56,37471000
17,35687256;-55,00012000
17,54760742;-58,22750000
17,73834229;-62,35243000
17,92907715;-65,02036000
18,11981201;-62,38579000
18,31054688;-58,40857000
18,50128174;-64,79222000
18,69201660;-62,60285000
18,88275146;-56,06819000
19,07348633;-57,17138000
19,26422119;-64,84917000
19,45495605;-74,22936000
19,64569092;-63,84964000
19,83642578;-60,36439000
20,02716064;-57,80708000
20,21789551;-59,34731000
20,40863037;-59,28722000
20,59936523;-55,85896000
20,79010010;-59,20734000
20,98083496;-68,21791000
21,17156982;-61,02638000
21,36230469;-62,09792000
21,55303955;-60,38321000
21,74377441;-59,04348000
21,93450928;-54,82006000
22,12524414;-53,80222000
22,31597900;-55,07128000
22,50671387;-56,59689000
22,69744873;-58,25083000
22,88818359;-64,44619000
23,07891846;-67,05402000
23,26965332;-67,86729000
23,46038818;-68,46492000
23,65112305;-62,09879000
23,84185791;-57,89990000
24,03259277;-54,42435000
24,22332764;-53,18332000
24,41406250;-53,45004000
24,60479736;-53,27083000
24,79553223;-53,66259000
24,98626709;-55,09145000
25,17700195;-56,76494000
