Time;Channel A
(ms);(V)

-0,00183500;0,18189030
-0,00119500;0,09338664
-0,00055500;0,00488296
0,00008500;-0,08362071
0,00072500;-0,08362071
0,00136500;-0,17212440
0,00200500;-0,26062810
0,00264500;-0,34882660
0,00328500;-0,34882660
0,00392500;-0,43733020
0,00456500;-0,52583390
0,00520500;-0,61433760
0,00584500;-0,70284130
0,00648500;-0,79134490
0,00712500;-0,87984860
0,00776500;-0,87984860
0,00840500;-0,96835230
0,00904500;-1,05655100
0,00968500;-1,14505400
0,01032500;-1,14505400
0,01096500;-1,23355800
0,01160500;-1,32206200
0,01224500;-1,41056500
0,01288500;-1,41056500
0,01352500;-1,49906900
0,01416500;-1,58757300
0,01480500;-1,58757300
0,01544500;-1,58757300
0,01608500;-1,67607700
0,01672500;-1,76427500
0,01736500;-1,76427500
0,01800500;-1,85277900
0,01864500;-1,85277900
0,01928500;-1,85277900
0,01992500;-1,94128200
0,02056500;-1,94128200
0,02120500;-1,94128200
0,02184500;-1,94128200
0,02248500;-2,02978600
0,02312500;-2,02978600
0,02376500;-2,02978600
0,02440500;-2,02978600
0,02504500;-2,02978600
0,02568500;-2,02978600
0,02632500;-2,02978600
0,02696500;-2,02978600
0,02760500;-2,02978600
0,02824500;-2,02978600
0,02888500;-2,02978600
0,02952500;-2,02978600
0,03016500;-1,94128200
0,03080500;-1,94128200
0,03144500;-1,94128200
0,03208500;-1,85277900
0,03272500;-1,85277900
0,03336500;-1,85277900
0,03400500;-1,76427500
0,03464500;-1,76427500
0,03528500;-1,67607700
0,03592500;-1,67607700
0,03656500;-1,58757300
0,03720500;-1,49906900
0,03784500;-1,49906900
0,03848500;-1,41056500
0,03912500;-1,32206200
0,03976500;-1,23355800
0,04040500;-1,23355800
0,04104500;-1,05655100
0,04168500;-1,05655100
0,04232500;-0,96835230
0,04296500;-0,87984860
0,04360500;-0,79134490
0,04424500;-0,70284130
0,04488500;-0,61433760
0,04552500;-0,52583390
0,04616500;-0,43733020
0,04680500;-0,34882660
0,04744500;-0,26062810
0,04808500;-0,17212440
0,04872500;-0,08362071
0,04936500;0,00488296
0,05000500;0,09338664
0,05064500;0,18189030
0,05128500;0,35889770
0,05192500;0,44709620
0,05256500;0,53529470
0,05320500;0,62379830
0,05384500;0,71230200
0,05448500;0,80080570
0,05512500;0,88930930
0,05576500;0,97781310
0,05640500;1,06631700
0,05704500;1,24301900
0,05768500;1,33152300
0,05832500;1,33152300
0,05896500;1,50853000
0,05960500;1,59703400
0,06024500;1,68553700
0,06088500;1,77404100
0,06152500;1,86254500
0,06216500;1,86254500
0,06280500;2,03924700
0,06344500;2,12775000
0,06408500;2,21625400
0,06472500;2,30475800
0,06536500;2,30475800
0,06600500;2,39326100
0,06664500;2,48176500
0,06728500;2,57026900
0,06792500;2,65846700
0,06856500;2,74697100
0,06920500;2,74697100
0,06984500;2,83547500
0,07048500;2,83547500
0,07112500;2,92397800
0,07176500;3,01248200
0,07240500;3,01248200
0,07304500;3,01248200
0,07368500;3,10098600
0,07432500;3,18948900
0,07496500;3,10098600
0,07560500;3,18948900
