Frequency,Channel A
(kHz),(dBu)

0.00000000,-28.46132000
0.19073486,-36.09285000
0.38146973,-51.37481000
0.57220459,-53.46714000
0.76293945,-51.42168000
0.95367432,-56.23181000
1.14440918,-49.29308000
1.33514404,-44.80358000
1.52587891,-54.15061000
1.71661377,-50.06801000
1.90734863,-16.77172000
2.09808350,2.16621800
2.28881836,9.12740500
2.47955322,7.75878900
2.67028809,-2.46941900
2.86102295,-30.78326000
3.05175781,-11.26768000
3.24249268,1.66626300
3.43322754,5.25577100
3.62396240,0.77295890
3.81469727,-13.47086000
4.00543213,-45.24456000
4.19616699,-49.42272000
4.38690186,-43.43408000
4.57763672,-45.69357000
4.76837158,-44.64791000
4.95910645,-52.29115000
5.14984131,-54.31601000
5.34057617,-79.42595000
5.53131104,-50.74017000
5.72204590,-47.85052000
5.91278076,-47.23523000
6.10351563,-47.97525000
6.29425049,-47.48793000
6.48498535,-49.30710000
6.67572021,-55.87452000
6.86645508,-56.13215000
7.05718994,-52.71199000
7.24792480,-54.78478000
7.43865967,-62.37054000
7.62939453,-52.47914000
7.82012939,-45.96683000
8.01086426,-44.07757000
8.20159912,-46.69833000
8.39233398,-52.36046000
8.58306885,-57.07079000
8.77380371,-52.41819000
8.96453857,-50.85159000
9.15527344,-52.15563000
9.34600830,-57.57017000
9.53674316,-59.60276000
9.72747803,-53.95105000
9.91821289,-51.04995000
10.10894775,-51.73620000
10.29968262,-57.42759000
10.49041748,-49.71362000
10.68115234,-47.37380000
10.87188721,-47.07794000
11.06262207,-50.83094000
11.25335693,-46.47455000
11.44409180,-46.94112000
11.63482666,-50.32015000
11.82556152,-50.91629000
12.01629639,-54.52282000
12.20703125,-53.91833000
12.39776611,-51.39268000
12.58850098,-55.05025000
12.77923584,-64.53930000
12.96997070,-51.33849000
13.16070557,-50.94143000
13.35144043,-53.72028000
13.54217529,-51.90443000
13.73291016,-54.51530000
13.92364502,-55.22591000
14.11437988,-48.03553000
14.30511475,-48.84417000
14.49584961,-54.75826000
14.68658447,-57.99253000
14.87731934,-49.46278000
15.06805420,-47.79871000
15.25878906,-50.42325000
15.44952393,-53.83511000
15.64025879,-54.23384000
15.83099365,-55.46516000
16.02172852,-60.15749000
16.21246338,-53.70098000
16.40319824,-57.03636000
16.59393311,-54.88957000
16.78466797,-47.82886000
16.97540283,-45.91259000
17.16613770,-50.24815000
17.35687256,-53.34320000
17.54760742,-51.04925000
17.73834229,-57.20477000
17.92907715,-53.52174000
18.11981201,-47.81353000
18.31054688,-51.29315000
18.50128174,-53.57986000
18.69201660,-55.83832000
18.88275146,-60.60947000
19.07348633,-53.18088000
19.26422119,-51.85400000
19.45495605,-54.13515000
19.64569092,-49.76235000
19.83642578,-51.10250000
20.02716064,-55.68561000
20.21789551,-52.74244000
20.40863037,-58.91885000
20.59936523,-63.06229000
20.79010010,-67.84474000
20.98083496,-56.70997000
21.17156982,-54.93179000
21.36230469,-62.83962000
21.55303955,-52.51006000
21.74377441,-60.51176000
21.93450928,-60.53185000
22.12524414,-56.87762000
22.31597900,-53.04525000
22.50671387,-52.19511000
22.69744873,-55.41466000
22.88818359,-49.92555000
23.07891846,-50.94183000
23.26965332,-49.36751000
23.46038818,-47.11222000
23.65112305,-49.81863000
23.84185791,-55.16106000
24.03259277,-58.78131000
24.22332764,-56.45855000
24.41406250,-55.91702000
24.60479736,-64.15275000
24.79553223,-55.86874000
24.98626709,-57.13524000
25.17700195,-60.98572000
25.36773682,-63.01155000
