Time;Channel A
(us);(V)

-10,00399971;-0,05301065
-10,00199971;-0,05368206
-9,99999971;-0,05435346
-9,99799971;-0,05502487
-9,99599971;-0,05502487
-9,99399971;-0,05368206
-9,99199971;-0,05569628
-9,98999971;-0,05435346
-9,98799971;-0,05636769
-9,98599971;-0,05569628
-9,98399971;-0,05368206
-9,98199971;-0,05166784
-9,97999971;-0,05502487
-9,97799971;-0,05502487
-9,97599971;-0,05502487
-9,97399971;-0,05233924
-9,97199971;-0,05301065
-9,96999971;-0,05502487
-9,96799971;-0,05166784
-9,96599971;-0,05032502
-9,96399971;-0,05368206
-9,96199971;-0,05502487
-9,95999971;-0,05435346
-9,95799971;-0,05301065
-9,95599971;-0,05301065
-9,95399971;-0,05368206
-9,95199971;-0,05166784
-9,94999971;-0,05166784
-9,94799971;-0,05569628
-9,94599971;-0,05502487
-9,94399971;-0,05435346
-9,94199971;-0,05368206
-9,93999971;-0,05569628
-9,93799971;-0,05435346
-9,93599971;-0,05301065
-9,93399971;-0,05233924
-9,93199971;-0,05368206
-9,92999971;-0,05301065
-9,92799971;-0,05301065
-9,92599971;-0,05435346
-9,92399971;-0,05435346
-9,92199971;-0,05435346
-9,91999971;-0,05233924
-9,91799971;-0,05368206
-9,91599971;-0,05771050
-9,91399971;-0,05569628
-9,91199971;-0,05435346
-9,90999971;-0,05301065
-9,90799971;-0,05233924
-9,90599971;-0,05301065
-9,90399971;-0,05368206
-9,90199971;-0,05301065
-9,89999971;-0,05368206
-9,89799971;-0,05233924
-9,89599971;-0,05435346
-9,89399971;-0,05502487
-9,89199971;-0,05435346
-9,88999971;-0,05368206
-9,88799971;-0,05435346
-9,88599971;-0,05233924
-9,88399971;-0,05233924
-9,88199971;-0,05368206
-9,87999971;-0,05435346
-9,87799971;-0,05502487
-9,87599971;-0,05435346
-9,87399971;-0,05636769
-9,87199971;-0,05502487
-9,86999971;-0,05435346
-9,86799971;-0,05569628
-9,86599971;-0,05502487
-9,86399971;-0,05435346
-9,86199971;-0,05435346
-9,85999971;-0,05368206
-9,85799971;-0,05435346
-9,85599971;-0,05435346
-9,85399971;-0,05099643
-9,85199971;-0,05233924
-9,84999971;-0,05301065
-9,84799971;-0,05435346
-9,84599971;-0,05233924
-9,84399971;-0,05301065
-9,84199971;-0,05301065
-9,83999971;-0,05435346
-9,83799971;-0,05233924
-9,83599971;-0,05233924
-9,83399971;-0,05233924
-9,83199971;-0,05301065
-9,82999971;-0,05233924
-9,82799971;-0,05301065
