Frequency;Channel A
(kHz);(dBV)

0,00000000;-81,92001000
0,00061035;-90,73306000
0,00122070;-96,04457000
0,00183105;-94,95668000
0,00244141;-95,62199000
0,00305176;-95,15659000
0,00366211;-101,42610000
0,00427246;-103,60040000
0,00488281;-102,56130000
0,00549316;-98,11301000
0,00610352;-94,52338000
0,00671387;-92,84858000
0,00732422;-95,10705000
0,00793457;-97,63236000
0,00854492;-96,68094000
0,00915527;-96,61723000
0,00976563;-99,52943000
0,01037598;-104,34440000
0,01098633;-98,65323000
0,01159668;-100,20460000
0,01220703;-99,22108000
0,01281738;-105,34480000
0,01342773;-102,80340000
0,01403809;-96,19251000
0,01464844;-95,35564000
0,01525879;-94,86324000
0,01586914;-92,55186000
0,01647949;-91,78899000
0,01708984;-93,67408000
0,01770020;-96,41982000
0,01831055;-98,33878000
0,01892090;-102,67410000
0,01953125;-105,53030000
0,02014160;-105,37520000
0,02075195;-100,08460000
0,02136230;-97,16226000
0,02197266;-100,49030000
0,02258301;-102,34370000
0,02319336;-89,88654000
0,02380371;-88,66287000
0,02441406;-91,35429000
0,02502441;-91,61427000
0,02563477;-93,94851000
0,02624512;-97,50400000
0,02685547;-94,67800000
0,02746582;-92,92427000
0,02807617;-92,56675000
0,02868652;-94,50410000
0,02929688;-94,14938000
0,02990723;-106,64310000
0,03051758;-95,17807000
0,03112793;-94,48587000
0,03173828;-97,71031000
0,03234863;-97,78204000
0,03295898;-101,80950000
0,03356934;-98,88631000
0,03417969;-95,45863000
0,03479004;-94,98178000
0,03540039;-99,67006000
0,03601074;-102,26060000
0,03662109;-104,15800000
0,03723145;-118,74800000
0,03784180;-112,98590000
0,03845215;-109,56850000
0,03906250;-103,16620000
0,03967285;-102,29750000
0,04028320;-96,63533000
0,04089355;-94,96922000
0,04150391;-97,42470000
0,04211426;-97,15508000
0,04272461;-96,48082000
0,04333496;-97,74697000
0,04394531;-100,44340000
0,04455566;-100,90060000
0,04516602;-98,91632000
0,04577637;-101,87180000
0,04638672;-97,95883000
0,04699707;-99,73323000
0,04760742;-97,10266000
0,04821777;-93,18140000
0,04882813;-97,63959000
0,04943848;-102,42600000
0,05004883;-104,78890000
0,05065918;-99,96324000
0,05126953;-95,48224000
0,05187988;-95,40845000
0,05249023;-95,94559000
0,05310059;-94,57549000
0,05371094;-93,21819000
0,05432129;-97,68617000
0,05493164;-101,00570000
0,05554199;-96,04370000
0,05615234;-96,28928000
0,05676270;-94,56361000
0,05737305;-95,97498000
0,05798340;-108,59260000
0,05859375;-98,19511000
0,05920410;-100,76160000
0,05981445;-106,64170000
0,06042480;-97,21045000
0,06103516;-102,70850000
0,06164551;-107,46680000
0,06225586;-112,06820000
0,06286621;-105,55300000
0,06347656;-110,49710000
0,06408691;-117,83040000
0,06469727;-111,45580000
0,06530762;-102,93040000
0,06591797;-99,20376000
0,06652832;-100,76550000
0,06713867;-101,98300000
0,06774902;-105,54750000
0,06835938;-107,21360000
0,06896973;-118,20290000
0,06958008;-112,65720000
0,07019043;-107,52710000
0,07080078;-115,36770000
0,07141113;-103,90230000
0,07202148;-104,08220000
0,07263184;-99,06578000
0,07324219;-98,54774000
0,07385254;-103,50290000
0,07446289;-101,62940000
0,07507324;-109,08800000
0,07568359;-107,86280000
0,07629395;-109,19980000
0,07690430;-108,58490000
0,07751465;-105,14140000
0,07812500;-95,59831000
0,07873535;-93,91127000
0,07934570;-101,97650000
0,07995605;-110,69540000
0,08056641;-101,09030000
0,08117676;-96,46034000
0,08178711;-97,20628000
0,08239746;-103,52550000
0,08300781;-102,43540000
0,08361816;-102,16690000
0,08422852;-100,12110000
0,08483887;-96,50610000
0,08544922;-100,76740000
0,08605957;-100,43900000
0,08666992;-110,85090000
0,08728027;-119,31440000
0,08789063;-110,65400000
0,08850098;-112,09200000
0,08911133;-97,65212000
0,08972168;-93,82203000
0,09033203;-94,81725000
0,09094238;-105,47530000
0,09155273;-101,83500000
0,09216309;-95,82658000
0,09277344;-92,74910000
0,09338379;-98,23823000
0,09399414;-99,64769000
0,09460449;-103,99140000
0,09521484;-107,63130000
0,09582520;-101,09320000
0,09643555;-98,00984000
0,09704590;-102,43820000
0,09765625;-102,87830000
0,09826660;-102,15700000
0,09887695;-99,79225000
0,09948730;-99,12357000
0,10009766;-108,04060000
0,10070801;-100,48820000
0,10131836;-96,11980000
0,10192871;-96,06026000
0,10253906;-100,31810000
0,10314941;-111,46660000
0,10375977;-101,74370000
0,10437012;-103,77440000
0,10498047;-94,53941000
0,10559082;-91,82161000
0,10620117;-97,01424000
0,10681152;-105,45770000
0,10742188;-109,90430000
0,10803223;-101,73330000
0,10864258;-96,70227000
0,10925293;-97,65491000
0,10986328;-99,87671000
0,11047363;-106,90250000
0,11108398;-99,22800000
0,11169434;-95,73625000
0,11230469;-101,69120000
0,11291504;-98,76854000
0,11352539;-95,27282000
0,11413574;-94,05463000
0,11474609;-93,75680000
0,11535645;-99,48239000
0,11596680;-103,12460000
0,11657715;-93,19404000
0,11718750;-92,50443000
0,11779785;-100,30280000
0,11840820;-103,97270000
0,11901855;-100,21330000
0,11962891;-98,30678000
0,12023926;-95,86412000
0,12084961;-92,26360000
0,12145996;-93,37472000
0,12207031;-95,74124000
0,12268066;-98,60704000
0,12329102;-101,72780000
0,12390137;-102,45000000
0,12451172;-97,62238000
0,12512207;-95,82793000
0,12573242;-101,23880000
0,12634277;-102,10770000
0,12695313;-98,55911000
0,12756348;-96,06276000
0,12817383;-95,67116000
0,12878418;-99,48708000
0,12939453;-97,97341000
0,13000488;-94,92926000
0,13061523;-99,15924000
0,13122559;-99,63088000
0,13183594;-102,46370000
0,13244629;-100,63800000
0,13305664;-104,00350000
0,13366699;-106,00010000
0,13427734;-101,28850000
0,13488770;-102,43520000
0,13549805;-98,86987000
0,13610840;-94,96860000
0,13671875;-98,28841000
0,13732910;-102,29230000
0,13793945;-103,90350000
0,13854980;-100,07680000
0,13916016;-96,11161000
0,13977051;-96,69611000
0,14038086;-98,02588000
0,14099121;-95,51723000
0,14160156;-94,26632000
0,14221191;-96,78841000
0,14282227;-99,96414000
0,14343262;-101,16150000
0,14404297;-98,14118000
0,14465332;-97,75353000
0,14526367;-96,43605000
0,14587402;-93,32958000
0,14648438;-95,34026000
0,14709473;-98,13019000
0,14770508;-95,49767000
0,14831543;-98,46860000
0,14892578;-97,97348000
0,14953613;-99,41527000
0,15014648;-101,97340000
0,15075684;-103,26040000
0,15136719;-106,36560000
0,15197754;-105,52950000
0,15258789;-101,76760000
0,15319824;-97,33434000
0,15380859;-93,68159000
0,15441895;-92,98916000
0,15502930;-97,43588000
0,15563965;-99,18465000
0,15625000;-99,68434000
0,15686035;-97,54337000
0,15747070;-100,49030000
0,15808105;-108,85400000
0,15869141;-103,29910000
0,15930176;-97,85938000
0,15991211;-94,30629000
0,16052246;-99,94037000
0,16113281;-97,24248000
0,16174316;-92,62580000
0,16235352;-95,15983000
0,16296387;-101,11850000
0,16357422;-108,06910000
0,16418457;-97,48695000
0,16479492;-92,97621000
0,16540527;-95,81481000
0,16601563;-108,32490000
0,16662598;-97,05944000
0,16723633;-97,36403000
0,16784668;-97,77007000
0,16845703;-94,13997000
0,16906738;-97,30643000
0,16967773;-115,16800000
0,17028809;-100,61830000
0,17089844;-101,45250000
0,17150879;-105,74360000
0,17211914;-107,36380000
0,17272949;-95,23350000
0,17333984;-93,14099000
0,17395020;-98,74351000
0,17456055;-108,07560000
0,17517090;-98,86525000
0,17578125;-96,63983000
0,17639160;-101,43250000
0,17700195;-106,52280000
0,17761230;-96,96352000
0,17822266;-98,60268000
0,17883301;-106,53930000
0,17944336;-109,45000000
0,18005371;-103,88910000
0,18066406;-114,23320000
0,18127441;-101,59830000
0,18188477;-95,39539000
0,18249512;-94,78130000
0,18310547;-97,65602000
0,18371582;-111,61700000
0,18432617;-98,13463000
0,18493652;-97,68909000
0,18554688;-107,18070000
0,18615723;-96,37176000
0,18676758;-96,63270000
0,18737793;-100,48050000
0,18798828;-100,82970000
0,18859863;-108,58280000
0,18920898;-102,01000000
0,18981934;-107,29790000
0,19042969;-107,97130000
0,19104004;-100,67410000
0,19165039;-101,35190000
0,19226074;-96,68227000
0,19287109;-100,20830000
0,19348145;-100,70390000
0,19409180;-98,69337000
0,19470215;-103,81060000
0,19531250;-106,21310000
0,19592285;-94,91837000
0,19653320;-91,92443000
0,19714355;-94,50211000
0,19775391;-99,54108000
0,19836426;-103,08750000
0,19897461;-104,62250000
0,19958496;-99,60107000
0,20019531;-94,47911000
0,20080566;-93,06194000
0,20141602;-99,17434000
0,20202637;-97,96577000
0,20263672;-98,14592000
0,20324707;-95,97710000
0,20385742;-96,76438000
0,20446777;-100,52680000
0,20507813;-98,84196000
0,20568848;-100,65490000
0,20629883;-105,77930000
0,20690918;-105,95720000
0,20751953;-95,63125000
0,20812988;-96,14436000
0,20874023;-100,57230000
0,20935059;-115,96690000
0,20996094;-103,27690000
0,21057129;-102,94250000
0,21118164;-102,58670000
0,21179199;-110,58020000
0,21240234;-100,58800000
0,21301270;-99,63494000
0,21362305;-97,03429000
0,21423340;-98,89360000
0,21484375;-101,09500000
0,21545410;-104,24370000
0,21606445;-97,48112000
0,21667480;-96,71912000
0,21728516;-98,74892000
0,21789551;-101,74710000
0,21850586;-102,29980000
0,21911621;-100,99990000
0,21972656;-98,28889000
0,22033691;-93,91942000
0,22094727;-92,97661000
0,22155762;-93,10529000
0,22216797;-95,69732000
0,22277832;-100,14300000
0,22338867;-100,60660000
0,22399902;-101,66160000
0,22460938;-107,03020000
0,22521973;-99,80064000
0,22583008;-96,62243000
0,22644043;-98,89686000
0,22705078;-98,91911000
0,22766113;-97,41856000
0,22827148;-99,96326000
0,22888184;-98,33971000
0,22949219;-100,59550000
0,23010254;-104,70480000
0,23071289;-106,59640000
0,23132324;-106,18270000
0,23193359;-104,47550000
0,23254395;-102,83100000
0,23315430;-102,85810000
0,23376465;-99,90767000
0,23437500;-95,05794000
0,23498535;-93,93800000
0,23559570;-95,66348000
0,23620605;-95,93095000
0,23681641;-93,59267000
0,23742676;-92,66136000
0,23803711;-100,06450000
0,23864746;-104,36210000
0,23925781;-99,46039000
0,23986816;-98,11421000
0,24047852;-100,75910000
0,24108887;-110,31530000
0,24169922;-101,29180000
0,24230957;-99,02772000
0,24291992;-112,31710000
0,24353027;-106,25840000
0,24414063;-101,66280000
0,24475098;-99,65003000
0,24536133;-101,25320000
0,24597168;-99,34258000
0,24658203;-100,21420000
0,24719238;-101,79710000
0,24780273;-106,79500000
0,24841309;-106,12350000
0,24902344;-97,72675000
0,24963379;-95,27523000
0,25024414;-96,27753000
0,25085449;-95,17360000
0,25146484;-96,51653000
0,25207520;-104,46220000
0,25268555;-104,59730000
0,25329590;-104,79170000
0,25390625;-106,23970000
0,25451660;-113,94050000
0,25512695;-105,79250000
0,25573730;-103,08690000
0,25634766;-101,88580000
0,25695801;-100,48920000
0,25756836;-99,80852000
0,25817871;-95,63027000
0,25878906;-94,45398000
0,25939941;-94,31583000
0,26000977;-100,47400000
0,26062012;-97,17808000
0,26123047;-97,03651000
0,26184082;-108,80790000
0,26245117;-97,00176000
0,26306152;-97,05260000
0,26367188;-99,01956000
0,26428223;-105,37040000
0,26489258;-103,58400000
0,26550293;-100,13160000
0,26611328;-98,92068000
0,26672363;-100,57180000
0,26733398;-96,22878000
0,26794434;-94,39616000
0,26855469;-95,32501000
0,26916504;-102,64730000
0,26977539;-109,21020000
0,27038574;-113,04120000
0,27099609;-104,50080000
0,27160645;-96,44447000
0,27221680;-95,90614000
0,27282715;-95,09805000
0,27343750;-96,11297000
0,27404785;-99,36723000
0,27465820;-98,94666000
0,27526855;-104,45930000
0,27587891;-100,40690000
0,27648926;-94,71458000
0,27709961;-92,92268000
0,27770996;-91,84134000
0,27832031;-94,24966000
0,27893066;-97,30681000
0,27954102;-95,38425000
0,28015137;-94,42750000
0,28076172;-96,01735000
0,28137207;-108,64230000
0,28198242;-99,39597000
0,28259277;-98,06503000
0,28320313;-98,43777000
0,28381348;-98,94896000
0,28442383;-101,94640000
0,28503418;-100,26690000
0,28564453;-99,57205000
0,28625488;-100,26090000
0,28686523;-99,97221000
