Frequency,Channel A
(kHz),(dBV)

0.00000000,-63.54132000
0.00610352,-71.26839000
0.01220703,-88.71136000
0.01831055,-98.75943000
0.02441406,-106.22270000
0.03051758,-98.21489000
0.03662109,-94.11689000
0.04272461,-90.26753000
0.04882813,-89.67751000
0.05493164,-89.67960000
0.06103516,-94.18663000
0.06713867,-104.33250000
0.07324219,-98.60286000
0.07934570,-97.53234000
0.08544922,-101.45900000
0.09155273,-96.96281000
0.09765625,-98.82882000
0.10375977,-95.14136000
0.10986328,-91.34640000
0.11596680,-93.31224000
0.12207031,-97.00554000
0.12817383,-93.72681000
0.13427734,-91.82399000
0.14038086,-92.84518000
0.14648438,-94.37137000
0.15258789,-102.48980000
0.15869141,-103.39350000
0.16479492,-95.40666000
0.17089844,-94.67387000
0.17700195,-100.01130000
0.18310547,-102.88100000
0.18920898,-95.96861000
0.19531250,-93.29684000
0.20141602,-95.75719000
0.20751953,-100.34580000
0.21362305,-96.73226000
0.21972656,-98.59996000
0.22583008,-99.20411000
0.23193359,-99.37084000
0.23803711,-97.17039000
0.24414063,-100.29000000
0.25024414,-107.88490000
0.25634766,-101.38030000
0.26245117,-97.01054000
0.26855469,-92.68744000
0.27465820,-94.98069000
0.28076172,-102.33150000
0.28686523,-101.59960000
0.29296875,-103.59820000
0.29907227,-95.75774000
0.30517578,-92.24615000
0.31127930,-93.75214000
0.31738281,-107.44030000
0.32348633,-96.20090000
0.32958984,-93.36951000
0.33569336,-96.94405000
0.34179688,-105.18960000
0.34790039,-110.71790000
0.35400391,-100.58350000
0.36010742,-102.16380000
0.36621094,-110.16560000
0.37231445,-99.04120000
0.37841797,-98.63277000
0.38452148,-101.08220000
0.39062500,-99.06015000
0.39672852,-96.86658000
0.40283203,-101.42790000
0.40893555,-102.21580000
0.41503906,-99.58864000
0.42114258,-98.91892000
0.42724609,-102.98520000
0.43334961,-103.63510000
0.43945313,-96.51102000
0.44555664,-94.94565000
0.45166016,-105.10380000
0.45776367,-99.57088000
0.46386719,-98.14826000
0.46997070,-100.52770000
0.47607422,-102.54680000
0.48217773,-98.23994000
0.48828125,-95.70354000
0.49438477,-95.82043000
0.50048828,-97.70774000
0.50659180,-95.93566000
0.51269531,-96.40319000
0.51879883,-100.23330000
0.52490234,-95.75835000
0.53100586,-94.02294000
0.53710938,-96.19901000
0.54321289,-99.61320000
0.54931641,-99.97565000
0.55541992,-104.83790000
0.56152344,-104.75660000
0.56762695,-98.48459000
0.57373047,-96.10551000
0.57983398,-98.18559000
0.58593750,-101.87170000
0.59204102,-101.17760000
0.59814453,-97.28319000
0.60424805,-98.27821000
0.61035156,-109.14380000
0.61645508,-97.86267000
0.62255859,-100.62550000
0.62866211,-106.85630000
0.63476563,-97.63031000
0.64086914,-98.55263000
0.64697266,-98.03072000
0.65307617,-95.41340000
0.65917969,-95.00336000
0.66528320,-96.01292000
0.67138672,-103.36460000
0.67749023,-107.18740000
0.68359375,-96.25699000
0.68969727,-92.48407000
0.69580078,-95.38257000
0.70190430,-117.59820000
0.70800781,-100.69140000
0.71411133,-103.04290000
0.72021484,-96.80688000
0.72631836,-99.55693000
0.73242188,-108.50420000
0.73852539,-105.66850000
0.74462891,-105.00450000
0.75073242,-100.71550000
0.75683594,-96.47493000
0.76293945,-107.25800000
0.76904297,-108.15450000
0.77514648,-116.67340000
0.78125000,-102.16180000
0.78735352,-97.64024000
0.79345703,-97.75897000
0.79956055,-99.36052000
0.80566406,-105.49890000
0.81176758,-112.21370000
0.81787109,-104.76390000
0.82397461,-100.76330000
0.83007813,-102.57770000
0.83618164,-101.49520000
0.84228516,-95.56152000
0.84838867,-95.16721000
0.85449219,-98.66074000
0.86059570,-103.45060000
0.86669922,-97.08820000
0.87280273,-96.87399000
0.87890625,-98.57198000
0.88500977,-100.38780000
0.89111328,-99.88779000
0.89721680,-99.41949000
0.90332031,-98.87212000
0.90942383,-102.82150000
0.91552734,-113.12630000
0.92163086,-126.39050000
0.92773438,-105.86750000
0.93383789,-102.26420000
0.93994141,-99.62921000
0.94604492,-101.22890000
0.95214844,-107.07140000
0.95825195,-123.70660000
0.96435547,-117.61600000
0.97045898,-108.23010000
0.97656250,-99.02739000
0.98266602,-96.69020000
0.98876953,-112.72000000
0.99487305,-94.55464000
1.00097656,-98.89011000
1.00708008,-112.07180000
1.01318359,-107.88030000
1.01928711,-103.45740000
1.02539063,-102.97200000
1.03149414,-100.52610000
1.03759766,-99.37370000
1.04370117,-107.60340000
1.04980469,-101.18590000
1.05590820,-101.13320000
1.06201172,-108.84620000
1.06811523,-109.80420000
1.07421875,-100.91610000
1.08032227,-96.47843000
1.08642578,-95.17426000
1.09252930,-96.74516000
1.09863281,-113.53840000
1.10473633,-96.35439000
1.11083984,-102.37330000
1.11694336,-101.28350000
1.12304688,-103.99090000
1.12915039,-114.00560000
1.13525391,-115.45750000
1.14135742,-107.30140000
1.14746094,-96.98490000
1.15356445,-93.29536000
1.15966797,-94.57657000
1.16577148,-101.16660000
1.17187500,-109.02980000
1.17797852,-102.03290000
1.18408203,-95.44120000
1.19018555,-93.71808000
1.19628906,-95.07614000
1.20239258,-98.96918000
1.20849609,-97.55146000
1.21459961,-94.72131000
1.22070313,-93.77953000
1.22680664,-93.84850000
1.23291016,-98.52257000
1.23901367,-110.46580000
1.24511719,-107.52080000
1.25122070,-104.73140000
1.25732422,-97.15771000
1.26342773,-95.93597000
1.26953125,-106.68450000
1.27563477,-97.18626000
1.28173828,-100.26820000
1.28784180,-105.76100000
1.29394531,-95.36514000
1.30004883,-94.19198000
1.30615234,-103.38480000
1.31225586,-98.56015000
1.31835938,-94.81950000
1.32446289,-94.63692000
1.33056641,-99.58684000
1.33666992,-107.18850000
1.34277344,-101.95010000
1.34887695,-101.81440000
1.35498047,-102.24040000
1.36108398,-98.05251000
1.36718750,-99.33984000
1.37329102,-96.67453000
1.37939453,-100.04010000
1.38549805,-104.43290000
1.39160156,-101.84330000
1.39770508,-97.62493000
1.40380859,-101.25600000
1.40991211,-101.48630000
1.41601563,-95.48344000
1.42211914,-102.04630000
1.42822266,-92.26318000
1.43432617,-91.70020000
1.44042969,-96.32069000
1.44653320,-101.90250000
1.45263672,-99.42847000
1.45874023,-96.65607000
1.46484375,-96.88651000
1.47094727,-101.48490000
1.47705078,-104.73200000
1.48315430,-99.80180000
1.48925781,-101.48190000
1.49536133,-104.33360000
1.50146484,-98.73497000
1.50756836,-101.54490000
1.51367188,-106.89540000
1.51977539,-105.59950000
1.52587891,-105.12730000
1.53198242,-118.34800000
1.53808594,-104.96950000
1.54418945,-111.90770000
1.55029297,-99.17445000
1.55639648,-95.68940000
1.56250000,-94.43350000
1.56860352,-97.35520000
1.57470703,-118.07860000
1.58081055,-99.34186000
1.58691406,-100.54940000
1.59301758,-107.01250000
1.59912109,-95.75899000
1.60522461,-91.46759000
1.61132813,-94.75816000
1.61743164,-100.78300000
1.62353516,-108.54640000
1.62963867,-104.36150000
1.63574219,-105.84370000
1.64184570,-108.39220000
1.64794922,-110.44960000
1.65405273,-104.94240000
1.66015625,-106.90380000
1.66625977,-99.61076000
1.67236328,-104.38950000
1.67846680,-115.81890000
1.68457031,-103.80410000
1.69067383,-102.09070000
1.69677734,-99.59491000
1.70288086,-95.57030000
1.70898438,-98.26237000
1.71508789,-95.53376000
1.72119141,-92.41185000
1.72729492,-99.30978000
1.73339844,-101.19620000
1.73950195,-95.91647000
1.74560547,-97.04430000
1.75170898,-99.25900000
1.75781250,-96.16250000
1.76391602,-95.32919000
1.77001953,-103.74230000
1.77612305,-97.20602000
1.78222656,-98.12143000
1.78833008,-103.80220000
1.79443359,-98.11278000
1.80053711,-98.96126000
1.80664063,-102.03810000
1.81274414,-93.43411000
1.81884766,-96.68252000
1.82495117,-106.21350000
1.83105469,-108.81790000
1.83715820,-100.79280000
1.84326172,-101.84730000
1.84936523,-102.98020000
1.85546875,-103.12930000
1.86157227,-100.51050000
1.86767578,-100.68760000
1.87377930,-104.29310000
1.87988281,-96.59302000
1.88598633,-98.52203000
1.89208984,-101.49840000
1.89819336,-106.00590000
1.90429688,-99.29031000
1.91040039,-97.09796000
1.91650391,-98.86983000
1.92260742,-96.43291000
1.92871094,-99.86406000
1.93481445,-102.92000000
1.94091797,-120.37120000
1.94702148,-99.45731000
1.95312500,-95.54344000
1.95922852,-102.37630000
1.96533203,-100.21850000
1.97143555,-99.53281000
1.97753906,-95.84423000
1.98364258,-95.63491000
1.98974609,-101.41840000
1.99584961,-100.86940000
2.00195313,-99.47429000
2.00805664,-106.25070000
2.01416016,-103.51150000
2.02026367,-99.22008000
2.02636719,-100.23710000
2.03247070,-105.33030000
2.03857422,-99.65627000
2.04467773,-96.54132000
2.05078125,-105.54090000
2.05688477,-101.95010000
2.06298828,-99.72431000
2.06909180,-106.04920000
2.07519531,-97.78378000
2.08129883,-99.07539000
2.08740234,-104.71590000
2.09350586,-101.17190000
2.09960938,-102.27370000
2.10571289,-108.84020000
2.11181641,-105.88530000
2.11791992,-113.97280000
2.12402344,-117.18390000
2.13012695,-111.31210000
2.13623047,-100.37170000
2.14233398,-96.14362000
2.14843750,-95.70199000
2.15454102,-96.53350000
2.16064453,-104.87870000
2.16674805,-105.13490000
2.17285156,-104.76710000
2.17895508,-101.41820000
2.18505859,-106.10850000
2.19116211,-104.17710000
2.19726563,-99.05553000
2.20336914,-100.93130000
2.20947266,-104.23920000
2.21557617,-122.11010000
2.22167969,-106.38230000
2.22778320,-115.95070000
2.23388672,-104.16190000
2.23999023,-98.46764000
2.24609375,-102.18170000
2.25219727,-102.61480000
2.25830078,-101.30950000
2.26440430,-105.93970000
2.27050781,-117.34600000
2.27661133,-105.82270000
2.28271484,-99.22523000
2.28881836,-98.14541000
2.29492188,-109.24420000
2.30102539,-112.10680000
2.30712891,-102.82560000
2.31323242,-97.24013000
2.31933594,-97.67278000
2.32543945,-99.05170000
2.33154297,-99.76642000
2.33764648,-103.20400000
2.34375000,-111.94370000
2.34985352,-125.96900000
2.35595703,-104.95540000
2.36206055,-100.62360000
2.36816406,-95.46063000
2.37426758,-99.76897000
2.38037109,-103.37320000
2.38647461,-97.20763000
2.39257813,-94.73303000
2.39868164,-99.11920000
2.40478516,-99.76904000
2.41088867,-105.54820000
2.41699219,-113.70880000
2.42309570,-97.78828000
2.42919922,-101.39600000
2.43530273,-121.17750000
2.44140625,-106.11110000
2.44750977,-101.35530000
2.45361328,-103.10160000
2.45971680,-97.37000000
2.46582031,-94.79539000
2.47192383,-92.83185000
2.47802734,-93.07463000
2.48413086,-94.01831000
2.49023438,-99.94518000
2.49633789,-103.54570000
2.50244141,-101.49230000
2.50854492,-103.97440000
2.51464844,-104.77280000
2.52075195,-99.73904000
2.52685547,-99.06050000
2.53295898,-95.91084000
2.53906250,-97.56882000
2.54516602,-98.63877000
2.55126953,-98.99268000
2.55737305,-107.20530000
2.56347656,-97.69962000
2.56958008,-100.09100000
2.57568359,-103.49580000
2.58178711,-99.64645000
2.58789063,-98.25085000
2.59399414,-102.07700000
2.60009766,-98.97910000
2.60620117,-92.87494000
2.61230469,-91.08144000
2.61840820,-99.58110000
2.62451172,-99.79356000
2.63061523,-99.87666000
2.63671875,-102.64230000
2.64282227,-98.50751000
2.64892578,-95.92469000
2.65502930,-97.14606000
2.66113281,-101.52010000
2.66723633,-101.17850000
2.67333984,-100.11740000
2.67944336,-106.18870000
2.68554688,-103.99680000
2.69165039,-102.26840000
2.69775391,-108.13590000
2.70385742,-109.16840000
2.70996094,-103.54490000
2.71606445,-102.15270000
2.72216797,-100.15370000
2.72827148,-96.33020000
2.73437500,-103.30170000
2.74047852,-110.69690000
2.74658203,-99.62281000
2.75268555,-94.18872000
2.75878906,-95.19271000
2.76489258,-97.56459000
2.77099609,-101.93850000
2.77709961,-101.85320000
2.78320313,-96.84112000
2.78930664,-100.55200000
2.79541016,-100.52450000
2.80151367,-96.44241000
2.80761719,-92.14523000
2.81372070,-92.71509000
2.81982422,-94.88200000
2.82592773,-95.33623000
2.83203125,-97.24441000
2.83813477,-98.77560000
2.84423828,-95.96150000
2.85034180,-95.32016000
2.85644531,-96.48114000
2.86254883,-98.19284000
2.86865234,-98.84702000
