Frequency,Channel A
(kHz),(dBV)

0.00000000,-58.65476000
0.00610352,-66.19412000
0.01220703,-81.98520000
0.01831055,-100.19590000
0.02441406,-98.93334000
0.03051758,-101.70610000
0.03662109,-91.78607000
0.04272461,-92.12106000
0.04882813,-96.72832000
0.05493164,-105.01300000
0.06103516,-102.07860000
0.06713867,-99.16107000
0.07324219,-99.25388000
0.07934570,-95.59320000
0.08544922,-94.59198000
0.09155273,-97.15785000
0.09765625,-96.43627000
0.10375977,-94.83029000
0.10986328,-96.22497000
0.11596680,-92.63157000
0.12207031,-90.60246000
0.12817383,-93.11139000
0.13427734,-97.17284000
0.14038086,-100.99090000
0.14648438,-94.82603000
0.15258789,-92.41930000
0.15869141,-96.78163000
0.16479492,-104.32350000
0.17089844,-100.08740000
0.17700195,-97.94783000
0.18310547,-99.96216000
0.18920898,-100.07490000
0.19531250,-99.62666000
0.20141602,-106.57030000
0.20751953,-107.84370000
0.21362305,-95.39372000
0.21972656,-94.16345000
0.22583008,-98.78992000
0.23193359,-102.39200000
0.23803711,-99.48264000
0.24414063,-94.81091000
0.25024414,-94.04836000
0.25634766,-101.06780000
0.26245117,-96.69604000
0.26855469,-91.97616000
0.27465820,-97.70523000
0.28076172,-130.01540000
0.28686523,-100.87030000
0.29296875,-96.54346000
0.29907227,-95.80380000
0.30517578,-94.34198000
0.31127930,-96.83755000
0.31738281,-98.81046000
0.32348633,-98.25423000
0.32958984,-107.46680000
0.33569336,-101.81410000
0.34179688,-99.97893000
0.34790039,-104.82790000
0.35400391,-100.72130000
0.36010742,-103.77680000
0.36621094,-106.19550000
0.37231445,-106.64040000
0.37841797,-102.21790000
0.38452148,-103.02460000
0.39062500,-99.50365000
0.39672852,-97.82910000
0.40283203,-99.58248000
0.40893555,-97.70051000
0.41503906,-92.05894000
0.42114258,-91.86722000
0.42724609,-95.53711000
0.43334961,-101.84850000
0.43945313,-113.55900000
0.44555664,-105.68080000
0.45166016,-104.37470000
0.45776367,-98.46159000
0.46386719,-99.17979000
0.46997070,-101.94530000
0.47607422,-106.65020000
0.48217773,-95.39073000
0.48828125,-98.11546000
0.49438477,-103.32590000
0.50048828,-106.54370000
0.50659180,-100.19070000
0.51269531,-97.07973000
0.51879883,-102.93140000
0.52490234,-104.63530000
0.53100586,-100.96330000
0.53710938,-95.50949000
0.54321289,-107.70630000
0.54931641,-96.69640000
0.55541992,-96.42803000
0.56152344,-108.25870000
0.56762695,-96.71906000
0.57373047,-99.60867000
0.57983398,-109.88930000
0.58593750,-101.18350000
0.59204102,-107.22780000
0.59814453,-99.40703000
0.60424805,-97.36765000
0.61035156,-107.18850000
0.61645508,-100.19790000
0.62255859,-95.94543000
0.62866211,-100.10660000
0.63476563,-107.87840000
0.64086914,-98.24756000
0.64697266,-93.27935000
0.65307617,-93.27338000
0.65917969,-95.12913000
0.66528320,-93.15060000
0.67138672,-90.75479000
0.67749023,-92.31368000
0.68359375,-92.62944000
0.68969727,-91.72166000
0.69580078,-94.61547000
0.70190430,-92.69958000
0.70800781,-92.02529000
0.71411133,-94.30019000
0.72021484,-97.70213000
0.72631836,-102.82540000
0.73242188,-104.40000000
0.73852539,-102.09780000
0.74462891,-94.61768000
0.75073242,-91.73726000
0.75683594,-96.21852000
0.76293945,-97.27422000
0.76904297,-96.44710000
0.77514648,-102.55040000
0.78125000,-101.72150000
0.78735352,-93.77603000
0.79345703,-90.59868000
0.79956055,-95.17712000
0.80566406,-99.66816000
0.81176758,-98.26917000
0.81787109,-99.49189000
0.82397461,-97.50431000
0.83007813,-100.45040000
0.83618164,-95.52182000
0.84228516,-94.53464000
0.84838867,-97.15279000
0.85449219,-95.14103000
0.86059570,-92.57205000
0.86669922,-100.06750000
0.87280273,-94.67921000
0.87890625,-92.33974000
0.88500977,-97.11252000
0.89111328,-99.91985000
0.89721680,-95.66481000
0.90332031,-93.05138000
0.90942383,-95.62111000
0.91552734,-99.33379000
0.92163086,-97.99969000
0.92773438,-100.61420000
0.93383789,-95.41862000
0.93994141,-92.48887000
0.94604492,-93.07649000
0.95214844,-97.41098000
0.95825195,-100.48220000
0.96435547,-102.32120000
0.97045898,-96.23315000
0.97656250,-108.98420000
0.98266602,-99.15997000
0.98876953,-53.50184000
0.99487305,-39.86356000
1.00097656,-36.82876000
1.00708008,-42.86415000
1.01318359,-61.53819000
1.01928711,-99.84750000
1.02539063,-94.71944000
1.03149414,-100.64330000
1.03759766,-117.67410000
1.04370117,-97.64075000
1.04980469,-96.70998000
1.05590820,-99.25227000
1.06201172,-98.17997000
1.06811523,-92.90324000
1.07421875,-102.27140000
1.08032227,-98.25408000
1.08642578,-96.43965000
1.09252930,-97.32990000
1.09863281,-92.45513000
1.10473633,-93.95865000
1.11083984,-99.25327000
1.11694336,-110.72210000
1.12304688,-109.28320000
1.12915039,-98.85094000
1.13525391,-93.01286000
1.14135742,-97.01015000
1.14746094,-112.77420000
1.15356445,-112.59520000
1.15966797,-119.26610000
1.16577148,-96.42930000
1.17187500,-92.39645000
1.17797852,-98.59869000
1.18408203,-101.72610000
1.19018555,-102.52530000
1.19628906,-101.14410000
1.20239258,-99.08160000
1.20849609,-97.08652000
1.21459961,-95.29973000
1.22070313,-94.02828000
1.22680664,-97.43793000
1.23291016,-95.19665000
1.23901367,-93.75429000
1.24511719,-95.26015000
1.25122070,-98.87715000
1.25732422,-110.12130000
1.26342773,-106.41280000
1.26953125,-106.10070000
1.27563477,-98.34167000
1.28173828,-98.32066000
1.28784180,-97.19115000
1.29394531,-101.79800000
1.30004883,-96.80807000
1.30615234,-93.41492000
1.31225586,-99.73542000
1.31835938,-112.59340000
1.32446289,-98.67637000
1.33056641,-95.96185000
1.33666992,-97.94758000
1.34277344,-101.97470000
1.34887695,-106.93780000
1.35498047,-127.07380000
1.36108398,-100.11130000
1.36718750,-96.25201000
1.37329102,-98.57195000
1.37939453,-101.97470000
1.38549805,-102.07260000
1.39160156,-98.48937000
1.39770508,-96.72027000
1.40380859,-98.24588000
1.40991211,-106.32500000
1.41601563,-105.10680000
1.42211914,-105.68230000
1.42822266,-99.97478000
1.43432617,-105.72730000
1.44042969,-97.12322000
1.44653320,-97.04756000
1.45263672,-106.24150000
1.45874023,-101.19970000
1.46484375,-99.14948000
1.47094727,-106.93750000
1.47705078,-99.48189000
1.48315430,-99.37119000
1.48925781,-96.60816000
1.49536133,-98.14378000
1.50146484,-100.31390000
1.50756836,-96.85466000
1.51367188,-93.88450000
1.51977539,-93.33086000
1.52587891,-95.52765000
1.53198242,-108.44440000
1.53808594,-96.64043000
1.54418945,-94.55357000
1.55029297,-99.08321000
1.55639648,-109.28350000
1.56250000,-105.90970000
1.56860352,-103.82580000
1.57470703,-102.40200000
1.58081055,-95.25894000
1.58691406,-93.87226000
1.59301758,-99.91288000
1.59912109,-108.45100000
1.60522461,-110.30100000
1.61132813,-100.01520000
1.61743164,-95.14047000
1.62353516,-96.98154000
1.62963867,-96.58096000
1.63574219,-92.71390000
1.64184570,-90.61418000
1.64794922,-89.91426000
1.65405273,-93.37083000
1.66015625,-108.13540000
1.66625977,-98.41737000
1.67236328,-99.60343000
1.67846680,-98.34087000
1.68457031,-95.71954000
1.69067383,-93.54671000
1.69677734,-94.08492000
1.70288086,-97.30125000
1.70898438,-95.71626000
1.71508789,-92.30908000
1.72119141,-93.45962000
1.72729492,-103.10480000
1.73339844,-99.23889000
1.73950195,-99.64523000
1.74560547,-112.79840000
1.75170898,-109.20050000
1.75781250,-104.06670000
1.76391602,-106.62220000
1.77001953,-99.54658000
1.77612305,-95.20213000
1.78222656,-98.72841000
1.78833008,-103.33810000
1.79443359,-100.51450000
1.80053711,-100.59790000
1.80664063,-101.79880000
1.81274414,-98.56154000
1.81884766,-94.66292000
1.82495117,-95.57967000
1.83105469,-96.07624000
1.83715820,-94.28318000
1.84326172,-95.40238000
1.84936523,-98.14942000
1.85546875,-108.31620000
1.86157227,-102.51750000
1.86767578,-105.96400000
1.87377930,-105.37320000
1.87988281,-105.26960000
1.88598633,-107.54140000
1.89208984,-107.71370000
1.89819336,-101.30590000
1.90429688,-95.47707000
1.91040039,-96.29337000
1.91650391,-97.20634000
1.92260742,-97.63299000
1.92871094,-98.32724000
1.93481445,-93.40808000
1.94091797,-96.33366000
1.94702148,-103.36970000
1.95312500,-102.66360000
1.95922852,-106.47540000
1.96533203,-103.98690000
1.97143555,-99.51095000
1.97753906,-99.21600000
1.98364258,-99.07800000
1.98974609,-103.40890000
1.99584961,-106.37840000
2.00195313,-99.00397000
2.00805664,-99.51504000
2.01416016,-104.31740000
2.02026367,-103.39990000
2.02636719,-98.61512000
2.03247070,-96.29288000
2.03857422,-101.02490000
2.04467773,-97.72991000
2.05078125,-98.16612000
2.05688477,-130.37270000
2.06298828,-102.37420000
2.06909180,-98.72977000
2.07519531,-96.50039000
2.08129883,-93.25212000
2.08740234,-94.22726000
2.09350586,-99.33127000
2.09960938,-99.00239000
2.10571289,-99.79996000
2.11181641,-110.71510000
2.11791992,-105.22750000
2.12402344,-107.84560000
2.13012695,-108.71850000
2.13623047,-115.79950000
2.14233398,-105.76590000
2.14843750,-103.53060000
2.15454102,-108.13150000
2.16064453,-103.46410000
2.16674805,-103.64350000
2.17285156,-102.26040000
2.17895508,-98.52898000
2.18505859,-98.41460000
2.19116211,-95.70495000
2.19726563,-99.11067000
2.20336914,-102.84460000
2.20947266,-101.85850000
2.21557617,-103.59620000
2.22167969,-97.44148000
2.22778320,-92.59868000
2.23388672,-91.23209000
2.23999023,-93.99681000
2.24609375,-104.49670000
2.25219727,-104.21070000
2.25830078,-100.22620000
2.26440430,-95.36126000
2.27050781,-93.93169000
2.27661133,-96.67574000
2.28271484,-101.04320000
2.28881836,-101.55790000
2.29492188,-103.31630000
2.30102539,-103.75690000
2.30712891,-106.29000000
2.31323242,-103.35140000
2.31933594,-104.06700000
2.32543945,-98.89954000
2.33154297,-98.68938000
2.33764648,-113.47040000
2.34375000,-100.32780000
2.34985352,-94.49316000
2.35595703,-94.20380000
2.36206055,-101.63110000
2.36816406,-103.49770000
2.37426758,-95.41841000
2.38037109,-97.15746000
2.38647461,-99.97723000
2.39257813,-112.20730000
2.39868164,-100.93300000
2.40478516,-98.23129000
2.41088867,-101.37520000
2.41699219,-104.02440000
2.42309570,-111.95590000
2.42919922,-110.38330000
2.43530273,-105.53260000
2.44140625,-102.75670000
2.44750977,-99.23282000
2.45361328,-112.47190000
2.45971680,-96.16408000
2.46582031,-95.69518000
2.47192383,-100.69770000
2.47802734,-104.24820000
2.48413086,-99.82681000
2.49023438,-93.73123000
2.49633789,-95.92444000
2.50244141,-112.12750000
2.50854492,-98.03880000
2.51464844,-100.62400000
2.52075195,-106.75410000
2.52685547,-97.16885000
2.53295898,-96.98628000
2.53906250,-99.04152000
2.54516602,-101.10740000
2.55126953,-106.13500000
2.55737305,-109.49190000
2.56347656,-102.93990000
2.56958008,-106.07070000
2.57568359,-112.05850000
2.58178711,-102.10160000
2.58789063,-96.29558000
2.59399414,-95.22833000
2.60009766,-96.46687000
2.60620117,-95.57532000
2.61230469,-97.09009000
2.61840820,-101.58170000
2.62451172,-112.68730000
2.63061523,-103.49550000
2.63671875,-98.77567000
2.64282227,-104.93210000
2.64892578,-91.68523000
2.65502930,-89.72900000
2.66113281,-90.14926000
2.66723633,-93.98679000
2.67333984,-107.72700000
2.67944336,-100.23340000
2.68554688,-104.88500000
2.69165039,-114.97110000
2.69775391,-104.57800000
2.70385742,-95.76192000
2.70996094,-96.84426000
2.71606445,-107.76530000
2.72216797,-99.97557000
2.72827148,-102.90400000
2.73437500,-111.81220000
2.74047852,-102.28230000
2.74658203,-99.06144000
2.75268555,-97.07961000
2.75878906,-96.13573000
2.76489258,-96.33140000
2.77099609,-104.58510000
2.77709961,-94.77027000
2.78320313,-92.45843000
2.78930664,-93.11799000
2.79541016,-95.86517000
2.80151367,-104.90940000
2.80761719,-115.05920000
2.81372070,-113.23060000
2.81982422,-112.52600000
2.82592773,-106.76680000
2.83203125,-102.82410000
2.83813477,-105.27740000
2.84423828,-105.46320000
2.85034180,-99.15547000
2.85644531,-97.99776000
2.86254883,-95.36987000
2.86865234,-94.53290000
