Frequency,Channel A
(kHz),(dBV)

0.00000000,-65.02042000
0.06055075,-62.94456000
0.12110149,-63.91096000
0.18165224,-66.26331000
0.24220299,-70.38821000
0.30275373,-76.20527000
0.36330448,-65.71233000
0.42385523,-74.21309000
0.48440598,-73.53906000
0.54495672,-55.11882000
0.60550747,-36.91439000
0.66605822,-22.85009000
0.72660896,-13.42764000
0.78715971,-7.53863800
0.84771046,-4.33903300
0.90826120,-3.07696700
0.96881195,-2.85887100
1.02936270,-2.86298600
1.08991344,-3.06846100
1.15046419,-4.28758100
1.21101494,-7.43236200
1.27156569,-13.25948000
1.33211643,-22.61636000
1.39266718,-36.94194000
1.45321793,-60.62688000
1.51376867,-67.36058000
1.57431942,-67.89331000
1.63487017,-73.15179000
1.69542091,-71.89922000
1.75597166,-70.20171000
1.81652241,-73.04671000
1.87707315,-73.22981000
1.93762390,-72.50920000
1.99817465,-73.21748000
2.05872540,-73.47870000
2.11927614,-73.64561000
2.17982689,-73.55521000
2.24037764,-73.56479000
2.30092838,-72.75097000
2.36147913,-71.06883000
2.42202988,-71.65635000
2.48258062,-70.47112000
2.54313137,-62.77893000
2.60368212,-46.45026000
2.66423286,-32.60762000
2.72478361,-23.15872000
2.78533436,-17.19808000
2.84588511,-13.93564000
2.90643585,-12.63496000
2.96698660,-12.40501000
3.02753735,-12.41152000
3.08808809,-12.60687000
3.14863884,-13.78854000
3.20918959,-16.87270000
3.26974033,-22.63085000
3.33029108,-31.95163000
3.39084183,-46.51788000
3.45139257,-71.79260000
3.51194332,-67.90672000
3.57249407,-68.70795000
3.63304482,-71.52411000
3.69359556,-71.90869000
3.75414631,-72.08147000
3.81469706,-74.31452000
3.87524780,-75.32658000
3.93579855,-75.61585000
3.99634930,-75.68614000
4.05690004,-75.17342000
4.11745079,-74.48554000
4.17800154,-73.57980000
4.23855228,-73.21188000
4.29910303,-71.82274000
4.35965378,-70.09253000
4.42020452,-70.02153000
4.48075527,-68.80158000
4.54130602,-63.86148000
4.60185677,-50.60148000
4.66240751,-37.21411000
4.72295826,-27.76221000
4.78350901,-21.74218000
4.84405975,-18.42193000
4.90461050,-17.08157000
4.96516125,-16.83906000
5.02571199,-16.84953000
5.08626274,-17.03497000
5.14681349,-18.17843000
5.20736423,-21.20234000
5.26791498,-26.88860000
5.32846573,-36.15092000
5.38901648,-50.86914000
5.44956722,-73.71135000
5.51011797,-68.86824000
5.57066872,-69.73925000
5.63121946,-71.97584000
5.69177021,-72.28844000
5.75232096,-72.33095000
5.81287170,-73.80299000
5.87342245,-74.62003000
5.93397320,-74.96043000
5.99452394,-75.26385000
6.05507469,-75.08126000
6.11562544,-74.51958000
6.17617619,-73.69376000
6.23672693,-73.28960000
6.29727768,-72.34682000
6.35782843,-71.01287000
6.41837917,-70.81537000
6.47892992,-69.79209000
6.53948067,-65.79012000
6.60003141,-53.64512000
6.66058216,-40.39166000
6.72113291,-30.87927000
6.78168365,-24.78475000
6.84223440,-21.40113000
6.90278515,-20.01811000
6.96333590,-19.76110000
7.02388664,-19.77491000
7.08443739,-19.95088000
7.14498814,-21.05739000
7.20553888,-24.02396000
7.26608963,-29.64559000
7.32664038,-38.87317000
7.38719112,-53.89063000
7.44774187,-72.07082000
7.50829262,-68.28227000
7.56884336,-69.15725000
7.62939411,-71.06297000
7.68994486,-71.71131000
7.75049561,-72.06818000
7.81104635,-73.23662000
7.87159710,-73.75267000
7.93214785,-73.91525000
7.99269859,-74.13647000
8.05324934,-74.12024000
8.11380009,-73.89560000
8.17435083,-73.49751000
8.23490158,-73.16677000
8.29545233,-72.41550000
8.35600307,-71.17867000
8.41655382,-70.57372000
8.47710457,-69.42368000
8.53765532,-66.07642000
8.59820606,-55.56196000
8.65875681,-42.73540000
8.71930756,-33.22681000
8.77985830,-27.07453000
8.84040905,-23.63274000
8.90095980,-22.20878000
8.96151054,-21.93843000
9.02206129,-21.95778000
9.08261204,-22.12697000
9.14316278,-23.19827000
9.20371353,-26.10843000
9.26426428,-31.66649000
9.32481503,-40.86149000
9.38536577,-56.17646000
9.44591652,-70.91788000
9.50646727,-68.37532000
9.56701801,-69.56131000
9.62756876,-71.39651000
9.68811951,-71.94150000
9.74867025,-72.05935000
9.80922100,-72.77109000
9.86977175,-73.19255000
9.93032249,-73.41505000
9.99087324,-73.60178000
10.05142399,-73.60422000
10.11197474,-73.44726000
10.17252548,-73.05058000
10.23307623,-72.63055000
10.29362698,-71.79005000
10.35417772,-70.60158000
10.41472847,-70.01439000
10.47527922,-69.04061000
10.53582996,-66.28905000
10.59638071,-57.07952000
10.65693146,-44.64945000
10.71748220,-35.13941000
10.77803295,-28.92837000
10.83858370,-25.42803000
10.89913445,-23.96201000
10.95968519,-23.67616000
11.02023594,-23.69898000
11.08078669,-23.86055000
11.14133743,-24.89631000
11.20188818,-27.74880000
11.26243893,-33.23837000
11.32298967,-42.38098000
11.38354042,-57.88679000
11.44409117,-70.02946000
11.50464191,-67.94199000
11.56519266,-68.89040000
11.62574341,-70.39506000
11.68629416,-71.01728000
11.74684490,-71.33717000
11.80739565,-72.21120000
11.86794640,-72.89369000
11.92849714,-73.37897000
11.98904789,-73.93060000
12.04959864,-74.31646000
12.11014938,-74.42187000
12.17070013,-74.06609000
12.23125088,-73.54236000
12.29180162,-72.55698000
12.35235237,-71.19395000
12.41290312,-70.37334000
12.47345387,-69.25136000
12.53400461,-66.75086000
12.59455536,-58.47801000
12.65510611,-46.32335000
12.71565685,-36.77883000
12.77620760,-30.49799000
12.83675835,-26.93472000
12.89730909,-25.42466000
12.95785984,-25.12222000
13.01841059,-25.14799000
13.07896133,-25.30178000
13.13951208,-26.30141000
13.20006283,-29.09392000
13.26061357,-34.50583000
13.32116432,-43.55224000
13.38171507,-58.90328000
13.44226582,-71.07870000
13.50281656,-69.05833000
13.56336731,-69.95395000
13.62391806,-71.32317000
13.68446880,-71.97934000
13.74501955,-72.31956000
13.80557030,-72.92332000
13.86612104,-73.26249000
13.92667179,-73.48695000
13.98722254,-73.73238000
14.04777328,-73.88708000
14.10832403,-73.82836000
14.16887478,-73.41809000
14.22942553,-72.94994000
14.28997627,-72.12862000
14.35052702,-70.92024000
14.41107777,-70.13599000
14.47162851,-69.04861000
14.53217926,-66.71075000
14.59273001,-59.31809000
14.65328075,-47.68299000
14.71383150,-38.18399000
14.77438225,-31.85531000
14.83493299,-28.23575000
14.89548374,-26.68319000
14.95603449,-26.36390000
15.01658524,-26.39300000
15.07713598,-26.54111000
15.13768673,-27.50774000
15.19823748,-30.24505000
15.25878822,-35.59145000
15.31933897,-44.59410000
15.37988972,-60.23716000
15.44044046,-70.05547000
15.50099121,-68.27026000
15.56154196,-69.13379000
15.62209270,-70.50431000
15.68264345,-71.29903000
15.74319420,-71.78500000
15.80374495,-72.67398000
15.86429569,-73.21286000
15.92484644,-73.37425000
15.98539719,-73.56623000
16.04594793,-73.70935000
16.10649868,-73.71909000
16.16704943,-73.45757000
16.22760017,-73.06973000
16.28815092,-72.48897000
16.34870167,-71.62709000
16.40925241,-71.01408000
16.46980316,-70.05660000
16.53035391,-67.80247000
16.59090466,-60.65218000
16.65145540,-49.05592000
16.71200615,-39.48323000
16.77255690,-33.07453000
16.83310764,-29.38678000
16.89365839,-27.78584000
16.95420914,-27.44655000
17.01475988,-27.47811000
17.07531063,-27.62047000
17.13586138,-28.55235000
17.19641212,-31.22913000
17.25696287,-36.49616000
17.31751362,-45.40116000
17.37806437,-60.85194000
17.43861511,-70.34808000
17.49916586,-68.79330000
17.55971661,-69.54055000
17.62026735,-70.53104000
17.68081810,-70.92855000
17.74136885,-71.00778000
17.80191959,-71.34530000
17.86247034,-71.60505000
17.92302109,-71.79602000
17.98357183,-72.00825000
18.04412258,-72.11661000
18.10467333,-72.18078000
18.16522408,-72.22418000
18.22577482,-72.32590000
18.28632557,-72.15523000
18.34687632,-71.47403000
18.40742706,-70.91628000
18.46797781,-69.99276000
18.52852856,-67.86031000
18.58907930,-61.33421000
18.64963005,-50.16219000
18.71018080,-40.61583000
18.77073154,-34.15289000
18.83128229,-30.40619000
18.89183304,-28.76107000
18.95238379,-28.40346000
19.01293453,-28.43785000
19.07348528,-28.57531000
19.13403603,-29.47485000
19.19458677,-32.09593000
19.25513752,-37.29361000
19.31568827,-46.13142000
19.37623901,-61.59180000
19.43678976,-69.47781000
19.49734051,-68.08995000
19.55789125,-68.77150000
19.61844200,-69.84510000
19.67899275,-70.63649000
19.73954350,-71.29144000
19.80009424,-72.36169000
19.86064499,-73.33989000
19.92119574,-73.88450000
19.98174648,-73.96206000
20.04229723,-73.64047000
20.10284798,-73.26731000
20.16339872,-72.90006000
20.22394947,-72.61732000
20.28450022,-72.13896000
20.34505096,-71.33931000
20.40560171,-70.72771000
20.46615246,-69.84402000
20.52670321,-67.89269000
20.58725395,-61.98618000
20.64780470,-51.19828000
20.70835545,-41.66825000
20.76890619,-35.14864000
20.82945694,-31.34184000
20.89000769,-29.65184000
20.95055843,-29.27620000
21.01110918,-29.31572000
21.07165993,-29.45183000
21.13221067,-30.32212000
21.19276142,-32.89106000
21.25331217,-38.02913000
21.31386292,-46.84311000
21.37441366,-62.72071000
21.43496441,-69.03452000
21.49551516,-67.93855000
21.55606590,-68.88898000
21.61661665,-70.11208000
21.67716740,-70.88879000
21.73771814,-71.31689000
21.79826889,-72.00332000
21.85881964,-72.58244000
21.91937038,-72.95777000
21.97992113,-73.29469000
22.04047188,-73.48405000
22.10102262,-73.50959000
22.16157337,-73.32959000
22.22212412,-73.06010000
22.28267487,-72.58296000
22.34322561,-71.77292000
22.40377636,-71.10560000
22.46432711,-70.24846000
22.52487785,-68.43878000
22.58542860,-62.87718000
22.64597935,-52.23919000
22.70653009,-42.66575000
22.76708084,-36.07403000
22.82763159,-32.20090000
22.88818233,-30.46137000
22.94873308,-30.06232000
23.00928383,-30.10114000
23.06983458,-30.23127000
23.13038532,-31.06836000
23.19093607,-33.57845000
23.25148682,-38.63744000
23.31203756,-47.34826000
23.37258831,-63.05927000
23.43313906,-69.47940000
23.49368980,-68.28513000
23.55424055,-69.22514000
23.61479130,-70.52279000
23.67534204,-71.45341000
23.73589279,-71.99313000
23.79644354,-72.72106000
23.85699429,-73.23898000
23.91754503,-73.40221000
23.97809578,-73.44873000
24.03864653,-73.46001000
24.09919727,-73.48553000
24.15974802,-73.32182000
24.22029877,-72.92449000
24.28084951,-72.23800000
24.34140026,-71.24135000
24.40195101,-70.39712000
24.46250175,-69.40527000
24.52305250,-67.68946000
24.58360325,-62.94534000
24.64415400,-53.01910000
24.70470474,-43.54775000
24.76525549,-36.91677000
24.82580624,-32.98794000
24.88635698,-31.20440000
24.94690773,-30.78607000
25.00745848,-30.82825000
25.06800922,-30.95703000
25.12855997,-31.76638000
25.18911072,-34.22557000
25.24966146,-39.22139000
25.31021221,-47.87389000
25.37076296,-63.63773000
25.43131371,-69.49222000
25.49186445,-68.44598000
25.55241520,-69.44783000
25.61296595,-70.69144000
25.67351669,-71.49285000
25.73406744,-71.88423000
25.79461819,-72.41676000
25.85516893,-72.83110000
25.91571968,-73.05983000
25.97627043,-73.24432000
26.03682117,-73.32107000
26.09737192,-73.25429000
26.15792267,-72.93626000
26.21847342,-72.46725000
26.27902416,-71.84591000
26.33957491,-71.02390000
26.40012566,-70.36315000
26.46067640,-69.63112000
26.52122715,-68.18524000
26.58177790,-63.74395000
26.64232864,-53.96524000
26.70287939,-44.44661000
26.76343014,-37.73714000
26.82398088,-33.73771000
26.88453163,-31.90208000
26.94508238,-31.45926000
27.00563313,-31.50182000
27.06618387,-31.62756000
27.12673462,-32.40668000
27.18728537,-34.81048000
27.24783611,-39.73682000
27.30838686,-48.33157000
27.36893761,-64.42458000
27.42948835,-69.55483000
27.49003910,-68.41780000
27.55058985,-69.44426000
27.61114059,-70.61836000
27.67169134,-71.31702000
27.73224209,-71.58322000
27.79279284,-72.05354000
27.85334358,-72.50426000
27.91389433,-72.88232000
27.97444508,-73.42200000
28.03499582,-73.89197000
28.09554657,-74.08875000
28.15609732,-73.98856000
28.21664806,-73.58717000
28.27719881,-72.77451000
28.33774956,-71.52798000
28.39830030,-70.39497000
28.45885105,-69.28956000
