Frequency,Channel A
(kHz),(dBV)

0.00000000,-62.80822000
0.06055075,-61.44755000
0.12110149,-67.62604000
0.18165224,-70.34942000
0.24220299,-64.26175000
0.30275373,-77.24877000
0.36330448,-60.24986000
0.42385523,-60.84497000
0.48440598,-60.67015000
0.54495672,-52.05490000
0.60550747,-62.52147000
0.66605822,-44.55326000
0.72660896,-40.19844000
0.78715971,-38.27098000
0.84771046,-18.90205000
0.90826120,-7.86821800
0.96881195,-3.41056700
1.02936270,-3.34623600
1.08991344,-7.65380300
1.15046419,-18.38429000
1.21101494,-39.61238000
1.27156569,-39.92294000
1.33211643,-44.66225000
1.39266718,-61.41948000
1.45321793,-51.53446000
1.51376867,-63.78977000
1.57431942,-61.17420000
1.63487017,-62.86586000
1.69542091,-91.86533000
1.75597166,-65.95399000
1.81652241,-73.29963000
1.87707315,-72.13991000
1.93762390,-77.28580000
1.99817465,-87.15730000
2.05872540,-86.64548000
2.11927614,-80.15976000
2.17982689,-81.22356000
2.24037764,-81.18776000
2.30092838,-82.02138000
2.36147913,-70.93078000
2.42202988,-73.89983000
2.48258062,-69.90877000
2.54313137,-63.44158000
2.60368212,-72.67891000
2.66423286,-54.30096000
2.72478361,-50.23030000
2.78533436,-46.80729000
2.84588511,-28.99788000
2.90643585,-17.63233000
2.96698660,-13.02280000
3.02753735,-12.83412000
3.08808809,-16.99362000
3.14863884,-27.42529000
3.20918959,-50.73878000
3.26974033,-49.08200000
3.33029108,-54.17149000
3.39084183,-69.44403000
3.45139257,-60.23570000
3.51194332,-75.39362000
3.57249407,-69.43661000
3.63304482,-73.76474000
3.69359556,-93.67497000
3.75414631,-74.34326000
3.81469706,-79.30070000
3.87524780,-78.67165000
3.93579855,-90.59904000
3.99634930,-86.71416000
4.05690004,-89.64622000
4.11745079,-87.14387000
4.17800154,-84.51247000
4.23855228,-83.79507000
4.29910303,-84.73404000
4.35965378,-74.11182000
4.42020452,-77.33270000
4.48075527,-72.14774000
4.54130602,-69.05633000
4.60185677,-76.30923000
4.66240751,-58.60086000
4.72295826,-55.09962000
4.78350901,-50.36839000
4.84405975,-33.99970000
4.90461050,-22.29636000
4.96516125,-17.53223000
5.02571199,-17.21597000
5.08626274,-21.22890000
5.14681349,-31.37897000
5.20736423,-57.29198000
5.26791498,-53.20726000
5.32846573,-58.65272000
5.38901648,-72.41288000
5.44956722,-63.92366000
5.51011797,-83.66319000
5.57066872,-73.49741000
5.63121946,-80.80527000
5.69177021,-85.37220000
5.75232096,-76.39986000
5.81287170,-82.27171000
5.87342245,-79.89211000
5.93397320,-86.08607000
5.99452394,-83.91839000
6.05507469,-83.79962000
6.11562544,-84.76157000
6.17617619,-87.20880000
6.23672693,-84.20470000
6.29727768,-81.19086000
6.35782843,-74.16517000
6.41837917,-79.83746000
6.47892992,-73.67324000
6.53948067,-73.30491000
6.60003141,-78.66235000
6.66058216,-61.49189000
6.72113291,-58.36552000
6.78168365,-52.53508000
6.84223440,-37.50623000
6.90278515,-25.44848000
6.96333590,-20.52896000
7.02388664,-20.08548000
7.08443739,-23.95215000
7.14498814,-33.82410000
7.20553888,-63.30755000
7.26608963,-55.87416000
7.32664038,-61.60454000
7.38719112,-73.54509000
7.44774187,-66.24173000
7.50829262,-87.61016000
7.56884336,-75.85593000
7.62939411,-84.34247000
7.68994486,-86.55893000
7.75049561,-78.66415000
7.81104635,-81.91178000
7.87159710,-79.12537000
7.93214785,-83.75836000
7.99269859,-84.52178000
8.05324934,-84.61852000
8.11380009,-83.51830000
8.17435083,-85.03727000
8.23490158,-83.35606000
8.29545233,-85.03452000
8.35600307,-76.44105000
8.41655382,-79.44017000
8.47710457,-74.38768000
8.53765532,-76.51881000
8.59820606,-80.88657000
8.65875681,-63.73011000
8.71930756,-60.98756000
8.77985830,-54.11477000
8.84040905,-40.28975000
8.90095980,-27.86375000
8.96151054,-22.78753000
9.02206129,-22.21766000
9.08261204,-25.94127000
9.14316278,-35.54958000
9.20371353,-69.70127000
9.26426428,-57.81533000
9.32481503,-63.87279000
9.38536577,-74.99179000
9.44591652,-67.89931000
9.50646727,-84.44644000
9.56701801,-77.07475000
9.62756876,-87.85037000
9.68811951,-86.23069000
9.74867025,-79.69865000
9.80922100,-82.54095000
9.86977175,-80.47034000
9.93032249,-84.01912000
9.99087324,-84.32497000
10.05142399,-84.27107000
10.11197474,-83.22002000
10.17252548,-83.87314000
10.23307623,-83.63267000
10.29362698,-85.49709000
10.35417772,-77.28122000
10.41472847,-79.89174000
10.47527922,-75.47263000
10.53582996,-79.49043000
10.59638071,-80.74487000
10.65693146,-65.37579000
10.71748220,-63.24118000
10.77803295,-55.30735000
10.83858370,-42.67603000
10.89913445,-29.85122000
10.95968519,-24.61349000
11.02023594,-23.91574000
11.08078669,-27.49758000
11.14133743,-36.85886000
11.20188818,-73.64585000
11.26243893,-59.22300000
11.32298967,-65.57421000
11.38354042,-74.29295000
11.44409117,-69.34055000
11.50464191,-85.38269000
11.56519266,-77.14695000
11.62574341,-85.01759000
11.68629416,-85.11623000
11.74684490,-80.36412000
11.80739565,-82.71507000
11.86794640,-81.37376000
11.92849714,-87.13288000
11.98904789,-85.72961000
12.04959864,-82.38732000
12.11014938,-81.32207000
12.17070013,-82.72633000
12.23125088,-83.40020000
12.29180162,-83.83191000
12.35235237,-76.47571000
12.41290312,-80.85864000
12.47345387,-76.77529000
12.53400461,-85.07474000
12.59455536,-79.31308000
12.65510611,-66.11575000
12.71565685,-65.58879000
12.77620760,-56.41833000
12.83675835,-44.78291000
12.89730909,-31.55301000
12.95785984,-26.15376000
13.01841059,-25.32878000
13.07896133,-28.76927000
13.13951208,-37.87948000
13.20006283,-72.25336000
13.26061357,-60.62023000
13.32116432,-66.84138000
13.38171507,-75.04354000
13.44226582,-70.14060000
13.50281656,-81.46816000
13.56336731,-78.71850000
13.62391806,-86.70415000
13.68446880,-82.71776000
13.74501955,-78.06940000
13.80557030,-82.78519000
13.86612104,-83.95969000
13.92667179,-88.88396000
13.98722254,-87.82067000
14.04777328,-84.83745000
14.10832403,-82.48888000
14.16887478,-81.77983000
14.22942553,-81.26883000
14.28997627,-83.73572000
14.35052702,-78.35643000
14.41107777,-81.94268000
14.47162851,-76.53498000
14.53217926,-87.26838000
14.59273001,-82.54559000
14.65328075,-68.02252000
14.71383150,-66.64056000
14.77438225,-57.06041000
14.83493299,-46.76782000
14.89548374,-33.05552000
14.95603449,-27.48802000
15.01658524,-26.53556000
15.07713598,-29.83809000
15.13768673,-38.71534000
15.19823748,-68.44802000
15.25878822,-61.70101000
15.31933897,-68.03333000
15.37988972,-75.46348000
15.44044046,-70.81919000
15.50099121,-79.26321000
15.56154196,-79.30823000
15.62209270,-84.71800000
15.68264345,-84.04662000
15.74319420,-79.47803000
15.80374495,-82.95704000
15.86429569,-81.96059000
15.92484644,-81.94725000
15.98539719,-80.71172000
16.04594793,-82.87958000
16.10649868,-85.05120000
16.16704943,-86.02377000
16.22760017,-85.34650000
16.28815092,-83.40827000
16.34870167,-77.40701000
16.40925241,-80.14323000
16.46980316,-75.89902000
16.53035391,-88.49039000
16.59090466,-83.32348000
16.65145540,-68.72691000
16.71200615,-68.95988000
16.77255690,-57.98585000
16.83310764,-48.55029000
16.89365839,-34.40272000
16.95420914,-28.66946000
17.01475988,-27.58682000
17.07531063,-30.74644000
17.13586138,-39.38512000
17.19641212,-66.05573000
17.25696287,-62.39094000
17.31751362,-69.64360000
17.37806437,-75.34905000
17.43861511,-71.74821000
17.49916586,-80.17155000
17.55971661,-79.31274000
17.62026735,-83.41473000
17.68081810,-88.05852000
17.74136885,-82.87830000
17.80191959,-83.67914000
17.86247034,-81.41869000
17.92302109,-83.21835000
17.98357183,-82.74121000
18.04412258,-83.62377000
18.10467333,-84.55720000
18.16522408,-83.52810000
18.22577482,-82.09435000
18.28632557,-85.01762000
18.34687632,-78.72410000
18.40742706,-81.41979000
18.46797781,-78.46738000
18.52852856,-93.88136000
18.58907930,-82.78279000
18.64963005,-69.84882000
18.71018080,-70.08029000
18.77073154,-58.60737000
18.83128229,-50.29965000
18.89183304,-35.63458000
18.95238379,-29.73145000
19.01293453,-28.52151000
19.07348528,-31.54456000
19.13403603,-39.95803000
19.19458677,-64.49864000
19.25513752,-63.24481000
19.31568827,-70.88082000
19.37623901,-76.15365000
19.43678976,-71.96038000
19.49734051,-80.35526000
19.55789125,-79.99240000
19.61844200,-83.42034000
19.67899275,-82.71272000
19.73954350,-79.65929000
19.80009424,-81.33987000
19.86064499,-80.13747000
19.92119574,-82.05511000
19.98174648,-82.26699000
20.04229723,-83.33176000
20.10284798,-86.12634000
20.16339872,-87.38361000
20.22394947,-84.11424000
20.28450022,-83.53088000
20.34505096,-78.42256000
20.40560171,-80.52155000
20.46615246,-76.85936000
20.52670321,-85.83453000
20.58725395,-85.08136000
20.64780470,-70.69401000
20.70835545,-71.70438000
20.76890619,-59.25471000
20.82945694,-52.00245000
20.89000769,-36.78481000
20.95055843,-30.70602000
21.01110918,-29.36616000
21.07165993,-32.25196000
21.13221067,-40.44242000
21.19276142,-63.03409000
21.25331217,-64.39693000
21.31386292,-70.98458000
21.37441366,-75.32156000
21.43496441,-73.15337000
21.49551516,-80.15682000
21.55606590,-80.76374000
21.61661665,-84.98658000
21.67716740,-85.87119000
21.73771814,-81.01869000
21.79826889,-83.41466000
21.85881964,-83.24242000
21.91937038,-85.33207000
21.97992113,-84.27925000
22.04047188,-83.24784000
22.10102262,-83.33766000
22.16157337,-85.02753000
22.22212412,-83.57964000
22.28267487,-85.11372000
22.34322561,-81.45358000
22.40377636,-83.42020000
22.46432711,-77.63229000
22.52487785,-89.20387000
22.58542860,-82.35717000
22.64597935,-71.25648000
22.70653009,-72.23869000
22.76708084,-59.82076000
22.82763159,-53.68255000
22.88818233,-37.85845000
22.94873308,-31.60315000
23.00928383,-30.13529000
23.06983458,-32.88809000
23.13038532,-40.87575000
23.19093607,-62.28226000
23.25148682,-64.74277000
23.31203756,-72.74767000
23.37258831,-76.48970000
23.43313906,-72.64172000
23.49368980,-77.52885000
23.55424055,-80.90546000
23.61479130,-84.64719000
23.67534204,-87.78545000
23.73589279,-81.67970000
23.79644354,-82.84428000
23.85699429,-83.15472000
23.91754503,-84.93392000
23.97809578,-84.09394000
24.03864653,-85.80258000
24.09919727,-84.90709000
24.15974802,-83.13531000
24.22029877,-82.41760000
24.28084951,-84.15874000
24.34140026,-79.76222000
24.40195101,-81.35765000
24.46250175,-78.62749000
24.52305250,-87.80598000
24.58360325,-84.41982000
24.64415400,-72.02258000
24.70470474,-74.17175000
24.76525549,-60.50340000
24.82580624,-55.25278000
24.88635698,-38.86279000
24.94690773,-32.43763000
25.00745848,-30.84343000
25.06800922,-33.46138000
25.12855997,-41.22955000
25.18911072,-61.26787000
25.24966146,-65.91917000
25.31021221,-72.66588000
25.37076296,-75.31219000
25.43131371,-74.00294000
25.49186445,-80.31564000
25.55241520,-80.50353000
25.61296595,-82.00919000
25.67351669,-85.22869000
25.73406744,-82.28924000
25.79461819,-83.57938000
25.85516893,-82.80412000
25.91571968,-83.44855000
25.97627043,-81.17432000
26.03682117,-81.28834000
26.09737192,-84.11068000
26.15792267,-85.40724000
26.21847342,-83.04642000
26.27902416,-85.58681000
26.33957491,-81.67599000
26.40012566,-82.18914000
26.46067640,-77.87939000
26.52122715,-83.40145000
26.58177790,-84.40761000
26.64232864,-72.25196000
26.70287939,-75.20010000
26.76343014,-61.10869000
26.82398088,-56.85933000
26.88453163,-39.82494000
26.94508238,-33.22067000
27.00563313,-31.49599000
27.06618387,-33.97846000
27.12673462,-41.54347000
27.18728537,-60.69302000
27.24783611,-66.42426000
27.30838686,-73.67372000
27.36893761,-76.19302000
27.42948835,-73.74574000
27.49003910,-77.54545000
27.55058985,-81.73890000
27.61114059,-84.35917000
27.67169134,-86.16733000
27.73224209,-82.03385000
27.79279284,-82.71603000
27.85334358,-81.56571000
27.91389433,-84.43291000
27.97444508,-84.13499000
28.03499582,-81.89510000
28.09554657,-82.49303000
28.15609732,-86.22937000
28.21664806,-85.38212000
28.27719881,-86.24573000
28.33774956,-81.01601000
28.39830030,-81.90758000
28.45885105,-78.80986000
