Frequency,Channel A
(kHz),(dBV)

0.00000000,-63.55391000
0.06055075,-25.45183000
0.12110149,-29.11573000
0.18165224,-30.03319000
0.24220299,-24.82214000
0.30275373,-45.58453000
0.36330448,-24.74907000
0.42385523,-26.89933000
0.48440598,-29.59935000
0.54495672,-22.51159000
0.60550747,-36.91345000
0.66605822,-21.77174000
0.72660896,-21.95324000
0.78715971,-25.77558000
0.84771046,-15.22514000
0.90826120,-23.10172000
0.96881195,-4.03395100
1.02936270,-4.38607000
1.08991344,-22.81168000
1.15046419,-17.71991000
1.21101494,-30.61280000
1.27156569,-26.22497000
1.33211643,-27.98322000
1.39266718,-41.50717000
1.45321793,-30.83736000
1.51376867,-40.26241000
1.57431942,-37.54124000
1.63487017,-37.83920000
1.69542091,-55.74171000
1.75597166,-41.59248000
1.81652241,-50.30972000
1.87707315,-51.52614000
1.93762390,-54.45008000
1.99817465,-89.52892000
2.05872540,-57.42839000
2.11927614,-55.54969000
2.17982689,-51.45452000
2.24037764,-44.63230000
2.30092838,-73.33977000
2.36147913,-41.02415000
2.42202988,-42.87787000
2.48258062,-43.16293000
2.54313137,-36.11582000
2.60368212,-53.27966000
2.66423286,-33.66040000
2.72478361,-34.08598000
2.78533436,-35.82842000
2.84588511,-25.93652000
2.90643585,-35.51940000
2.96698660,-13.94648000
3.02753735,-13.59799000
3.08808809,-30.28049000
3.14863884,-26.33695000
3.20918959,-40.43580000
3.26974033,-33.90102000
3.33029108,-36.19113000
3.39084183,-47.24867000
3.45139257,-38.17552000
3.51194332,-48.53873000
3.57249407,-43.99055000
3.63304482,-44.85572000
3.69359556,-59.42063000
3.75414631,-47.77012000
3.81469706,-57.23751000
3.87524780,-56.59260000
3.93579855,-59.63390000
3.99634930,-83.77542000
4.05690004,-64.67802000
4.11745079,-63.01182000
4.17800154,-57.01124000
4.23855228,-50.65698000
4.29910303,-76.61263000
4.35965378,-46.42515000
4.42020452,-48.96478000
4.48075527,-47.70595000
4.54130602,-41.40917000
4.60185677,-64.67615000
4.66240751,-38.41517000
4.72295826,-39.57893000
4.78350901,-39.76633000
4.84405975,-30.76447000
4.90461050,-43.08302000
4.96516125,-18.61755000
5.02571199,-17.85088000
5.08626274,-33.25365000
5.14681349,-30.50509000
5.20736423,-46.29879000
5.26791498,-37.55924000
5.32846573,-40.55676000
5.38901648,-49.60110000
5.44956722,-42.00272000
5.51011797,-53.65164000
5.57066872,-47.24738000
5.63121946,-48.79615000
5.69177021,-60.70432000
5.75232096,-51.19641000
5.81287170,-61.41410000
5.87342245,-59.19328000
5.93397320,-62.47066000
5.99452394,-83.46824000
6.05507469,-70.07201000
6.11562544,-68.42359000
6.17617619,-60.29721000
6.23672693,-54.61207000
6.29727768,-71.65723000
6.35782843,-49.81266000
6.41837917,-53.18351000
6.47892992,-50.44007000
6.53948067,-44.85031000
6.60003141,-81.13722000
6.66058216,-41.42040000
6.72113291,-43.43661000
6.78168365,-42.11382000
6.84223440,-34.00648000
6.90278515,-50.52794000
6.96333590,-21.76564000
7.02388664,-20.61735000
7.08443739,-34.92538000
7.14498814,-33.27437000
7.20553888,-51.31815000
7.26608963,-39.91202000
7.32664038,-43.65823000
7.38719112,-50.90854000
7.44774187,-44.64636000
7.50829262,-57.66335000
7.56884336,-49.41161000
7.62939411,-51.49292000
7.68994486,-61.42127000
7.75049561,-53.40965000
7.81104635,-64.57462000
7.87159710,-60.59689000
7.93214785,-64.28475000
7.99269859,-81.63937000
8.05324934,-76.04029000
8.11380009,-72.86712000
8.17435083,-63.02507000
8.23490158,-57.46429000
8.29545233,-69.76134000
8.35600307,-52.28905000
8.41655382,-56.74645000
8.47710457,-52.36563000
8.53765532,-47.51916000
8.59820606,-68.87219000
8.65875681,-43.67249000
8.71930756,-46.57084000
8.77985830,-43.78736000
8.84040905,-36.50200000
8.90095980,-61.40221000
8.96151054,-24.18286000
9.02206129,-22.66285000
9.08261204,-35.99752000
9.14316278,-35.36486000
9.20371353,-56.59321000
9.26426428,-41.62630000
9.32481503,-46.14182000
9.38536577,-51.77665000
9.44591652,-46.61537000
9.50646727,-61.50983000
9.56701801,-50.83152000
9.62756876,-53.84787000
9.68811951,-61.64610000
9.74867025,-55.28953000
9.80922100,-67.36729000
9.86977175,-61.67469000
9.93032249,-66.05152000
9.99087324,-82.28799000
10.05142399,-82.10761000
10.11197474,-77.80110000
10.17252548,-64.84210000
10.23307623,-60.23368000
10.29362698,-69.66579000
10.35417772,-54.26742000
10.41472847,-59.95763000
10.47527922,-53.86994000
10.53582996,-49.71763000
10.59638071,-65.28371000
10.65693146,-45.46682000
10.71748220,-49.35672000
10.77803295,-45.07118000
10.83858370,-38.58550000
10.89913445,-64.29053000
10.95968519,-26.16873000
11.02023594,-24.28508000
11.08078669,-36.75431000
11.14133743,-37.06279000
11.20188818,-63.25470000
11.26243893,-42.94910000
11.32298967,-48.30611000
11.38354042,-52.38789000
11.44409117,-48.26357000
11.50464191,-65.54482000
11.56519266,-52.06450000
11.62574341,-55.75144000
11.68629416,-62.07762000
11.74684490,-56.63356000
11.80739565,-69.96077000
11.86794640,-62.55759000
11.92849714,-66.74304000
11.98904789,-79.61778000
12.04959864,-91.71661000
12.11014938,-83.04543000
12.17070013,-66.97717000
12.23125088,-62.42229000
12.29180162,-69.45354000
12.35235237,-55.99382000
12.41290312,-62.95460000
12.47345387,-55.13808000
12.53400461,-51.57318000
12.59455536,-63.38278000
12.65510611,-46.98611000
12.71565685,-51.96549000
12.77620760,-46.11312000
12.83675835,-40.39013000
12.89730909,-56.83142000
12.95785984,-27.87855000
13.01841059,-25.62588000
13.07896133,-37.29727000
13.13951208,-38.50544000
13.20006283,-77.04997000
13.26061357,-44.07020000
13.32116432,-50.21283000
13.38171507,-52.87401000
13.44226582,-49.63963000
13.50281656,-69.97508000
13.56336731,-52.97147000
13.62391806,-57.41002000
13.68446880,-62.18855000
13.74501955,-57.68147000
13.80557030,-73.46922000
13.86612104,-63.09954000
13.92667179,-68.02901000
13.98722254,-79.03661000
14.04777328,-90.31902000
14.10832403,-94.41466000
14.16887478,-69.00462000
14.22942553,-64.55422000
14.28997627,-69.16736000
14.35052702,-57.66237000
14.41107777,-66.06355000
14.47162851,-56.30251000
14.53217926,-53.34345000
14.59273001,-62.78552000
14.65328075,-48.28903000
14.71383150,-54.52368000
14.77438225,-47.05150000
14.83493299,-41.99196000
14.89548374,-53.86860000
14.95603449,-29.38797000
15.01658524,-26.77052000
15.07713598,-37.71199000
15.13768673,-39.78915000
15.19823748,-69.58557000
15.25878822,-44.93834000
15.31933897,-52.09011000
15.37988972,-53.20576000
15.44044046,-50.87188000
15.50099121,-77.86731000
15.56154196,-53.81117000
15.62209270,-59.03946000
15.68264345,-62.33311000
15.74319420,-58.68069000
15.80374495,-77.61137000
15.86429569,-63.72769000
15.92484644,-68.90363000
15.98539719,-78.11804000
16.04594793,-84.27001000
16.10649868,-113.46630000
16.16704943,-70.59979000
16.22760017,-66.56106000
16.28815092,-69.58687000
16.34870167,-59.01812000
16.40925241,-68.90244000
16.46980316,-57.10369000
16.53035391,-54.93358000
16.59090466,-61.98268000
16.65145540,-49.47984000
16.71200615,-57.20691000
16.77255690,-47.85147000
16.83310764,-43.49132000
16.89365839,-52.21791000
16.95420914,-30.75940000
17.01475988,-27.77010000
17.07531063,-38.03497000
17.13586138,-40.93308000
17.19641212,-63.29871000
17.25696287,-45.76737000
17.31751362,-53.86550000
17.37806437,-53.55194000
17.43861511,-51.97263000
17.49916586,-91.22142000
17.55971661,-54.52988000
17.62026735,-60.34997000
17.68081810,-62.25561000
17.74136885,-59.47692000
17.80191959,-84.39807000
17.86247034,-63.97049000
17.92302109,-70.40628000
17.98357183,-77.55322000
18.04412258,-83.19069000
18.10467333,-88.57949000
18.16522408,-72.19266000
18.22577482,-68.36434000
18.28632557,-69.31207000
18.34687632,-60.35471000
18.40742706,-73.20316000
18.46797781,-58.09182000
18.52852856,-56.38988000
18.58907930,-61.46647000
18.64963005,-50.61683000
18.71018080,-59.97923000
18.77073154,-48.56644000
18.83128229,-44.90700000
18.89183304,-51.19911000
18.95238379,-32.02604000
19.01293453,-28.66051000
19.07348528,-38.29853000
19.13403603,-41.97612000
19.19458677,-60.23763000
19.25513752,-46.47743000
19.31568827,-55.68833000
19.37623901,-53.81195000
19.43678976,-52.98034000
19.49734051,-77.39949000
19.55789125,-55.14516000
19.61844200,-62.09893000
19.67899275,-62.53704000
19.73954350,-60.44759000
19.80009424,-87.74646000
19.86064499,-64.22893000
19.92119574,-71.06206000
19.98174648,-77.53773000
20.04229723,-79.15365000
20.10284798,-89.20865000
20.16339872,-74.70856000
20.22394947,-70.20786000
20.28450022,-69.93497000
20.34505096,-61.52710000
20.40560171,-77.71941000
20.46615246,-58.82013000
20.52670321,-57.93880000
20.58725395,-61.30902000
20.64780470,-51.67027000
20.70835545,-62.96875000
20.76890619,-49.22556000
20.82945694,-46.23470000
20.89000769,-50.48946000
20.95055843,-33.21205000
21.01110918,-29.46225000
21.07165993,-38.50225000
21.13221067,-42.98714000
21.19276142,-58.43632000
21.25331217,-47.14613000
21.31386292,-57.44581000
21.37441366,-54.06736000
21.43496441,-53.90332000
21.49551516,-73.55683000
21.55606590,-55.58262000
21.61661665,-63.57875000
21.67716740,-62.47740000
21.73771814,-61.14706000
21.79826889,-107.45560000
21.85881964,-64.27212000
21.91937038,-71.87859000
21.97992113,-75.50677000
22.04047188,-78.22595000
22.10102262,-90.93971000
22.16157337,-75.70747000
22.22212412,-72.56603000
22.28267487,-70.27831000
22.34322561,-62.91921000
22.40377636,-82.77315000
22.46432711,-59.72427000
22.52487785,-59.34217000
22.58542860,-61.32417000
22.64597935,-52.62896000
22.70653009,-66.63917000
22.76708084,-49.85672000
22.82763159,-47.55016000
22.88818233,-50.07250000
22.94873308,-34.33691000
23.00928383,-30.19779000
23.06983458,-38.66139000
23.13038532,-43.95789000
23.19093607,-56.98130000
23.25148682,-47.77043000
23.31203756,-59.61311000
23.37258831,-54.35823000
23.43313906,-54.88554000
23.49368980,-70.94830000
23.55424055,-56.13839000
23.61479130,-64.94080000
23.67534204,-62.36708000
23.73589279,-61.98746000
23.79644354,-89.32492000
23.85699429,-64.39562000
23.91754503,-73.31998000
23.97809578,-74.89893000
24.03864653,-77.96665000
24.09919727,-94.83742000
24.15974802,-76.87971000
24.22029877,-74.41042000
24.28084951,-70.41198000
24.34140026,-64.10247000
24.40195101,-92.16095000
24.46250175,-60.39626000
24.52305250,-60.67333000
24.58360325,-61.10420000
24.64415400,-53.54203000
24.70470474,-72.12344000
24.76525549,-50.44340000
24.82580624,-48.87848000
24.88635698,-49.80484000
24.94690773,-35.40578000
25.00745848,-30.87289000
25.06800922,-38.80514000
25.12855997,-44.88686000
25.18911072,-56.03502000
25.24966146,-48.31594000
25.31021221,-61.86663000
25.37076296,-54.57626000
25.43131371,-55.73434000
25.49186445,-68.69180000
25.55241520,-56.67340000
25.61296595,-66.38181000
25.67351669,-62.32371000
25.73406744,-62.70090000
25.79461819,-82.28001000
25.85516893,-64.75513000
25.91571968,-74.09657000
25.97627043,-74.19640000
26.03682117,-77.46062000
26.09737192,-90.33614000
26.15792267,-78.95452000
26.21847342,-76.55881000
26.27902416,-70.68630000
26.33957491,-65.37309000
26.40012566,-83.70135000
26.46067640,-61.16148000
26.52122715,-62.10003000
26.58177790,-61.01705000
26.64232864,-54.56214000
26.70287939,-80.71316000
26.76343014,-51.07021000
26.82398088,-50.15676000
26.88453163,-49.63733000
26.94508238,-36.45090000
27.00563313,-31.51362000
27.06618387,-38.92812000
27.12673462,-45.83669000
27.18728537,-55.27057000
27.24783611,-48.88695000
27.30838686,-64.31874000
27.36893761,-54.74410000
27.42948835,-56.65252000
27.49003910,-67.32317000
27.55058985,-57.12720000
27.61114059,-68.48000000
27.67169134,-62.58432000
27.73224209,-63.26966000
27.79279284,-77.96643000
27.85334358,-65.35730000
27.91389433,-74.99365000
27.97444508,-74.46362000
28.03499582,-77.19169000
28.09554657,-85.75266000
28.15609732,-84.98684000
28.21664806,-78.45710000
28.27719881,-71.13734000
28.33774956,-66.63453000
28.39830030,-79.81183000
28.45885105,-61.86789000
