Frequency;Channel A
(kHz);(dBV)

0,00000000;-73,71698000
0,00366182;-65,22182000
0,00732363;-72,25597000
0,01098545;-68,55859000
0,01464727;-66,07825000
0,01830908;-70,10320000
0,02197090;-73,85127000
0,02563271;-67,04523000
0,02929453;-66,94684000
0,03295635;-71,24664000
0,03661816;-71,50520000
0,04027998;-66,38394000
0,04394180;-66,86972000
0,04760361;-72,07487000
0,05126543;-70,19124000
0,05492725;-65,38059000
0,05858906;-69,22064000
0,06225088;-76,92510000
0,06591269;-66,95980000
0,06957451;-66,28606000
0,07323633;-71,15314000
0,07689814;-73,70893000
0,08055996;-66,53749000
0,08422178;-66,31817000
0,08788359;-73,64390000
0,09154541;-70,18242000
0,09520723;-65,77026000
0,09886904;-67,40820000
0,10253086;-77,95878000
0,10619267;-68,78533000
0,10985449;-66,49712000
0,11351631;-70,17322000
0,11717812;-76,73000000
0,12083994;-68,22070000
0,12450176;-65,99030000
0,12816357;-70,54892000
0,13182539;-72,72735000
0,13548721;-66,73921000
0,13914902;-67,30304000
0,14281084;-72,35236000
0,14647265;-70,84737000
0,15013447;-65,51891000
0,15379629;-68,10724000
0,15745810;-74,27818000
0,16111992;-67,99864000
0,16478174;-66,77023000
0,16844355;-68,00555000
0,17210537;-73,93372000
0,17576719;-68,24065000
0,17942900;-65,73839000
0,18309082;-70,19437000
0,18675263;-72,24500000
0,19041445;-66,77969000
0,19407627;-66,64504000
0,19773808;-74,34498000
0,20139990;-70,21393000
0,20506172;-66,21279000
0,20872353;-67,36490000
0,21238535;-75,34384000
0,21604717;-68,09016000
0,21970898;-65,93524000
0,22337080;-69,03935000
0,22703261;-75,11357000
0,23069443;-67,28054000
0,23435625;-65,64200000
0,23801806;-71,27679000
0,24167988;-72,65687000
0,24534170;-65,71305000
0,24900351;-67,01949000
0,25266533;-72,97774000
0,25632715;-69,62395000
0,25998896;-65,26980000
0,26365078;-66,68449000
0,26731259;-77,08611000
0,27097441;-68,43550000
0,27463623;-65,11775000
0,27829804;-69,26738000
0,28195986;-73,73296000
0,28562168;-67,18861000
0,28928349;-66,07268000
0,29294531;-71,12163000
0,29660713;-71,34355000
0,30026894;-65,93581000
0,30393076;-66,99033000
0,30759257;-74,67982000
0,31125439;-68,85222000
0,31491621;-65,16591000
0,31857802;-67,73973000
0,32223984;-77,09934000
0,32590166;-67,35486000
0,32956347;-65,59039000
0,33322529;-70,96957000
0,33688710;-74,92339000
0,34054892;-66,65296000
0,34421074;-65,83134000
0,34787255;-71,83734000
0,35153437;-71,51794000
0,35519619;-66,39948000
0,35885800;-66,99377000
0,36251982;-73,50906000
0,36618164;-69,44039000
0,36984345;-65,27581000
0,37350527;-68,26292000
0,37716708;-76,02805000
0,38082890;-68,08236000
0,38449072;-65,42300000
0,38815253;-69,71963000
0,39181435;-74,98318000
0,39547617;-66,71044000
0,39913798;-65,78155000
0,40279980;-71,44010000
0,40646162;-71,31852000
0,41012343;-65,77686000
0,41378525;-66,05104000
0,41744706;-74,00310000
0,42110888;-69,38809000
0,42477070;-64,59340000
0,42843251;-68,07155000
0,43209433;-74,26543000
0,43575615;-66,59646000
0,43941796;-65,58446000
0,44307978;-69,02795000
0,44674160;-74,22993000
0,45040341;-66,01073000
0,45406523;-65,90873000
0,45772704;-70,80579000
0,46138886;-71,17772000
0,46505068;-65,46919000
0,46871249;-66,31680000
0,47237431;-74,19952000
0,47603613;-68,16621000
0,47969794;-65,34285000
0,48335976;-67,03456000
0,48702158;-76,14602000
0,49068339;-67,01960000
0,49434521;-65,09883000
0,49800702;-68,39332000
0,50166884;-73,97930000
0,50533066;-65,86031000
0,50899247;-65,18890000
0,51265429;-72,38516000
0,51631611;-71,84893000
0,51997792;-65,37021000
0,52363974;-66,24988000
0,52730156;-75,11153000
0,53096337;-68,67232000
0,53462519;-64,95690000
0,53828700;-66,96896000
0,54194882;-77,27943000
0,54561064;-66,49390000
0,54927245;-64,99739000
0,55293427;-68,61591000
0,55659609;-74,18542000
0,56025790;-65,27594000
0,56391972;-64,75816000
0,56758154;-72,59869000
0,57124335;-69,69263000
0,57490517;-65,24216000
0,57856698;-65,52781000
0,58222880;-74,47411000
0,58589062;-67,66212000
0,58955243;-65,22769000
0,59321425;-67,02206000
0,59687607;-76,21927000
0,60053788;-67,44097000
0,60419970;-63,89780000
0,60786152;-68,41685000
0,61152333;-73,93694000
0,61518515;-64,41757000
0,61884696;-65,04407000
0,62250878;-71,65778000
0,62617060;-70,27106000
0,62983241;-63,98484000
0,63349423;-65,48413000
0,63715605;-75,12251000
0,64081786;-68,62305000
0,64447968;-63,47579000
0,64814150;-67,69450000
0,65180331;-77,77392000
0,65546513;-66,00934000
0,65912694;-64,38831000
0,66278876;-68,55528000
0,66645058;-72,10339000
0,67011239;-65,81877000
0,67377421;-63,91992000
0,67743603;-70,58606000
0,68109784;-69,60043000
0,68475966;-64,53370000
0,68842148;-65,00611000
0,69208329;-74,63035000
0,69574511;-66,79194000
0,69940692;-63,95062000
0,70306874;-66,76920000
0,70673056;-79,19162000
0,71039237;-65,25725000
0,71405419;-63,80302000
0,71771601;-68,54132000
0,72137782;-74,23006000
0,72503964;-64,86884000
0,72870146;-63,81873000
0,73236327;-71,06658000
0,73602509;-69,39102000
0,73968690;-63,94012000
0,74334872;-65,01392000
0,74701054;-73,98179000
0,75067235;-67,05111000
0,75433417;-63,34409000
0,75799599;-66,38436000
0,76165780;-77,39991000
0,76531962;-65,15765000
0,76898144;-63,10234000
0,77264325;-68,56747000
0,77630507;-72,60602000
0,77996688;-63,86502000
0,78362870;-63,82083000
0,78729052;-71,50957000
0,79095233;-68,78949000
0,79461415;-63,68202000
0,79827597;-64,09166000
0,80193778;-77,45707000
0,80559960;-66,93343000
0,80926142;-63,05261000
0,81292323;-65,57729000
0,81658505;-77,96086000
0,82024686;-65,12187000
0,82390868;-62,89618000
0,82757050;-68,12651000
0,83123231;-73,11044000
0,83489413;-63,57617000
0,83855595;-63,56440000
0,84221776;-71,20058000
0,84587958;-69,13316000
0,84954140;-62,61340000
0,85320321;-64,54093000
0,85686503;-75,15094000
0,86052684;-66,55669000
0,86418866;-63,19986000
0,86785048;-66,03135000
0,87151229;-77,06869000
0,87517411;-64,58647000
0,87883593;-62,55642000
0,88249774;-67,22703000
0,88615956;-72,15989000
0,88982138;-62,97995000
0,89348319;-63,28587000
0,89714501;-71,73454000
0,90080682;-68,45192000
0,90446864;-62,58411000
0,90813046;-64,17391000
0,91179227;-74,51629000
0,91545409;-65,42331000
0,91911591;-62,40292000
0,92277772;-65,22192000
0,92643954;-76,07308000
0,93010136;-64,63811000
0,93376317;-62,60105000
0,93742499;-66,72263000
0,94108680;-72,74581000
0,94474862;-63,07968000
0,94841044;-62,44377000
0,95207225;-70,78811000
0,95573407;-69,85672000
0,95939589;-61,86882000
0,96305770;-63,03751000
0,96671952;-75,49617000
0,97038134;-64,95453000
0,97404315;-61,93581000
0,97770497;-64,52055000
0,98136678;-77,90015000
0,98502860;-63,39300000
0,98869042;-61,97817000
0,99235223;-66,50694000
0,99601405;-72,38960000
0,99967587;-62,26946000
1,00333768;-61,90193000
1,00699950;-70,57690000
1,01066131;-67,43158000
1,01432313;-61,86859000
1,01798495;-63,28339000
1,02164676;-74,18266000
1,02530858;-65,02734000
1,02897040;-61,53912000
1,03263221;-63,63884000
1,03629403;-74,17800000
1,03995585;-63,10787000
1,04361766;-61,59801000
1,04727948;-66,17273000
1,05094129;-72,30731000
1,05460311;-61,72145000
1,05826493;-61,42899000
1,06192674;-70,08432000
1,06558856;-67,85014000
1,06925038;-60,76742000
1,07291219;-62,24825000
1,07657401;-77,64667000
1,08023583;-64,34801000
1,08389764;-61,25304000
1,08755946;-63,54209000
1,09122127;-77,25899000
1,09488309;-62,84543000
1,09854491;-60,41078000
1,10220672;-66,06235000
1,10586854;-71,08913000
1,10953036;-61,23993000
1,11319217;-61,04549000
1,11685399;-69,84804000
1,12051581;-67,37209000
1,12417762;-60,62827000
1,12783944;-61,78804000
1,13150125;-72,72851000
1,13516307;-63,61733000
1,13882489;-60,21568000
1,14248670;-63,23262000
1,14614852;-77,06351000
1,14981034;-61,96827000
1,15347215;-60,38791000
1,15713397;-64,77221000
1,16079579;-69,69436000
1,16445760;-60,57872000
1,16811942;-60,76939000
1,17178123;-68,79026000
1,17544305;-66,85565000
1,17910487;-59,61197000
1,18276668;-61,57393000
1,18642850;-75,49390000
1,19009032;-63,54736000
1,19375213;-59,77681000
1,19741395;-62,36843000
1,20107577;-73,45940000
1,20473758;-61,79356000
1,20839940;-59,58408000
1,21206121;-64,57605000
1,21572303;-69,69217000
1,21938485;-60,37817000
1,22304666;-59,87731000
1,22670848;-68,65976000
1,23037030;-66,24274000
1,23403211;-59,38430000
1,23769393;-60,72421000
1,24135575;-74,73449000
1,24501756;-62,95311000
1,24867938;-58,96437000
1,25234119;-62,24335000
1,25600301;-75,06176000
1,25966483;-61,06727000
1,26332664;-59,06322000
1,26698846;-63,86590000
1,27065028;-68,91183000
1,27431209;-59,81173000
1,27797391;-59,41934000
1,28163573;-66,60548000
1,28529754;-65,00167000
1,28895936;-58,92797000
1,29262117;-59,93269000
1,29628299;-73,21675000
1,29994481;-62,26380000
1,30360662;-58,13299000
1,30726844;-61,46172000
1,31093026;-79,72859000
1,31459207;-60,09569000
1,31825389;-58,34626000
1,32191571;-63,43180000
1,32557752;-69,69223000
1,32923934;-58,90373000
1,33290115;-58,19793000
1,33656297;-67,38750000
1,34022479;-64,13529000
1,34388660;-57,99120000
1,34754842;-59,69579000
1,35121024;-72,21160000
1,35487205;-61,63995000
1,35853387;-57,90598000
1,36219569;-60,25729000
1,36585750;-77,29408000
1,36951932;-59,65212000
1,37318113;-57,51125000
1,37684295;-62,11089000
1,38050477;-68,13116000
1,38416658;-58,06944000
1,38782840;-58,01630000
1,39149022;-65,42956000
1,39515203;-63,22411000
1,39881385;-57,44356000
1,40247567;-58,58421000
1,40613748;-72,03999000
1,40979930;-61,17396000
1,41346111;-56,78123000
1,41712293;-59,61401000
1,42078475;-77,42243000
1,42444656;-58,90103000
1,42810838;-56,72129000
1,43177020;-61,33710000
1,43543201;-68,04643000
1,43909383;-57,37940000
1,44275565;-56,82198000
1,44641746;-64,72652000
1,45007928;-62,92110000
1,45374109;-56,52184000
1,45740291;-57,49920000
1,46106473;-71,17712000
1,46472654;-60,16384000
1,46838836;-55,89682000
1,47205018;-58,50326000
1,47571199;-77,12144000
1,47937381;-57,96692000
1,48303563;-55,78430000
1,48669744;-60,12932000
1,49035926;-66,54476000
1,49402107;-56,41375000
1,49768289;-55,99032000
1,50134471;-63,55527000
1,50500652;-61,90655000
1,50866834;-55,49319000
1,51233016;-56,61700000
1,51599197;-70,22832000
1,51965379;-59,17208000
1,52331561;-54,99819000
1,52697742;-57,40211000
1,53063924;-77,76013000
1,53430105;-56,82689000
1,53796287;-54,44545000
1,54162469;-59,59446000
1,54528650;-65,20408000
1,54894832;-55,50778000
1,55261014;-54,73057000
1,55627195;-63,16541000
1,55993377;-60,86945000
1,56359559;-54,49291000
1,56725740;-55,53938000
1,57091922;-69,12342000
1,57458103;-57,89719000
1,57824285;-53,86797000
1,58190467;-56,77489000
1,58556648;-77,93039000
1,58922830;-55,98375000
1,59289012;-53,53859000
1,59655193;-58,67322000
1,60021375;-65,90961000
1,60387557;-54,38866000
1,60753738;-53,64296000
1,61119920;-61,23305000
1,61486101;-60,01881000
1,61852283;-53,26650000
1,62218465;-54,11409000
1,62584646;-67,42538000
1,62950828;-56,60297000
1,63317010;-52,64582000
1,63683191;-55,26481000
1,64049373;-75,35464000
1,64415554;-54,90593000
1,64781736;-52,22454000
1,65147918;-56,78607000
1,65514099;-64,31436000
1,65880281;-52,93850000
1,66246463;-52,29721000
1,66612644;-59,85068000
1,66978826;-58,65341000
1,67345008;-51,87698000
1,67711189;-52,70175000
1,68077371;-66,26077000
1,68443552;-55,45002000
1,68809734;-51,16138000
1,69175916;-53,77974000
1,69542097;-75,84696000
1,69908279;-53,02781000
1,70274461;-50,68580000
1,70640642;-55,36244000
1,71006824;-62,79726000
1,71373006;-51,42067000
1,71739187;-50,67176000
1,72105369;-58,22523000
