Frequency;Channel A
(kHz);(dBV)

0,00000000;-61,29391000
0,00366182;-65,45194000
0,00732363;-79,38653000
0,01098545;-89,95528000
0,01464727;-82,81114000
0,01830908;-88,04665000
0,02197090;-93,38519000
0,02563271;-94,36433000
0,02929453;-104,17700000
0,03295635;-91,37664000
0,03661816;-87,13719000
0,04027998;-92,27654000
0,04394180;-88,94440000
0,04760361;-81,45068000
0,05126543;-80,86045000
0,05492725;-83,24762000
0,05858906;-87,08159000
0,06225088;-88,65292000
0,06591269;-84,25056000
0,06957451;-82,11746000
0,07323633;-83,59116000
0,07689814;-91,54656000
0,08055996;-88,14207000
0,08422178;-85,97658000
0,08788359;-86,84093000
0,09154541;-99,74285000
0,09520723;-86,33698000
0,09886904;-83,22704000
0,10253086;-87,89077000
0,10619267;-89,89758000
0,10985449;-91,25874000
0,11351631;-90,65813000
0,11717812;-89,94923000
0,12083994;-92,93739000
0,12450176;-93,00973000
0,12816357;-89,90860000
0,13182539;-96,56299000
0,13548721;-96,28207000
0,13914902;-91,64046000
0,14281084;-86,52062000
0,14647265;-86,49396000
0,15013447;-94,30095000
0,15379629;-97,72276000
0,15745810;-91,35223000
0,16111992;-113,28810000
0,16478174;-87,32951000
0,16844355;-89,09779000
0,17210537;-93,22048000
0,17576719;-91,28294000
0,17942900;-88,83191000
0,18309082;-84,16755000
0,18675263;-83,87874000
0,19041445;-89,39919000
0,19407627;-90,50404000
0,19773808;-87,63423000
0,20139990;-93,64543000
0,20506172;-98,08025000
0,20872353;-93,05676000
0,21238535;-90,54222000
0,21604717;-86,70768000
0,21970898;-88,55564000
0,22337080;-92,35237000
0,22703261;-88,29668000
0,23069443;-89,54939000
0,23435625;-93,96587000
0,23801806;-101,02680000
0,24167988;-92,12219000
0,24534170;-91,76170000
0,24900351;-106,95670000
0,25266533;-103,73690000
0,25632715;-93,20734000
0,25998896;-101,59870000
0,26365078;-89,19372000
0,26731259;-89,00275000
0,27097441;-88,51738000
0,27463623;-86,14284000
0,27829804;-91,33983000
0,28195986;-88,51894000
0,28562168;-88,44324000
0,28928349;-88,42151000
0,29294531;-96,82511000
0,29660713;-99,63426000
0,30026894;-99,76782000
0,30393076;-106,49820000
0,30759257;-94,11526000
0,31125439;-87,57732000
0,31491621;-90,58406000
0,31857802;-90,13229000
0,32223984;-93,22349000
0,32590166;-91,77650000
0,32956347;-90,96661000
0,33322529;-109,15200000
0,33688710;-88,91067000
0,34054892;-84,03532000
0,34421074;-82,29320000
0,34787255;-86,38991000
0,35153437;-97,76536000
0,35519619;-91,26627000
0,35885800;-82,82177000
0,36251982;-81,43716000
0,36618164;-82,45671000
0,36984345;-85,37255000
0,37350527;-93,62433000
0,37716708;-88,63293000
0,38082890;-90,31786000
0,38449072;-94,78175000
0,38815253;-89,15326000
0,39181435;-90,50159000
0,39547617;-89,60916000
0,39913798;-91,32455000
0,40279980;-90,32098000
0,40646162;-90,65797000
0,41012343;-101,33740000
0,41378525;-84,95712000
0,41744706;-82,84679000
0,42110888;-84,97974000
0,42477070;-87,74789000
0,42843251;-88,47511000
0,43209433;-85,71542000
0,43575615;-85,63973000
0,43941796;-97,10480000
0,44307978;-89,35435000
0,44674160;-93,06893000
0,45040341;-103,30910000
0,45406523;-97,56870000
0,45772704;-87,02529000
0,46138886;-87,82871000
0,46505068;-115,61130000
0,46871249;-89,65498000
0,47237431;-89,06197000
0,47603613;-88,62503000
0,47969794;-87,07903000
0,48335976;-88,07059000
0,48702158;-90,34850000
0,49068339;-91,97659000
0,49434521;-91,86340000
0,49800702;-95,45073000
0,50166884;-87,45262000
0,50533066;-87,52555000
0,50899247;-86,03810000
0,51265429;-90,61732000
0,51631611;-91,18744000
0,51997792;-91,04328000
0,52363974;-90,56058000
0,52730156;-87,02538000
0,53096337;-85,49232000
0,53462519;-86,06642000
0,53828700;-90,33858000
0,54194882;-110,95510000
0,54561064;-89,41918000
0,54927245;-94,06326000
0,55293427;-95,16495000
0,55659609;-93,41679000
0,56025790;-89,87355000
0,56391972;-93,73433000
0,56758154;-88,89462000
0,57124335;-88,56339000
0,57490517;-93,52230000
0,57856698;-91,61029000
0,58222880;-91,74097000
0,58589062;-95,33662000
0,58955243;-94,51482000
0,59321425;-91,36771000
0,59687607;-87,76181000
0,60053788;-87,60855000
0,60419970;-90,80090000
0,60786152;-96,33575000
0,61152333;-99,66455000
0,61518515;-97,73518000
0,61884696;-94,34268000
0,62250878;-89,91141000
0,62617060;-96,77533000
0,62983241;-93,66476000
0,63349423;-90,61363000
0,63715605;-90,41755000
0,64081786;-103,34990000
0,64447968;-97,78362000
0,64814150;-91,43736000
0,65180331;-87,89516000
0,65546513;-89,49729000
0,65912694;-90,04716000
0,66278876;-88,23055000
0,66645058;-88,26181000
0,67011239;-85,13918000
0,67377421;-86,36964000
0,67743603;-88,47943000
0,68109784;-96,89648000
0,68475966;-89,76205000
0,68842148;-86,62254000
0,69208329;-87,11610000
0,69574511;-100,36880000
0,69940692;-92,08706000
0,70306874;-90,62520000
0,70673056;-88,80668000
0,71039237;-87,94975000
0,71405419;-86,37709000
0,71771601;-87,15924000
0,72137782;-95,48821000
0,72503964;-92,61465000
0,72870146;-89,54686000
0,73236327;-82,47830000
0,73602509;-81,65089000
0,73968690;-87,22939000
0,74334872;-87,76700000
0,74701054;-85,43015000
0,75067235;-86,64270000
0,75433417;-94,88831000
0,75799599;-84,69421000
0,76165780;-88,88718000
0,76531962;-99,25246000
0,76898144;-102,86200000
0,77264325;-89,40434000
0,77630507;-87,20349000
0,77996688;-92,50347000
0,78362870;-90,80064000
0,78729052;-85,54042000
0,79095233;-83,08482000
0,79461415;-84,27496000
0,79827597;-91,03564000
0,80193778;-85,87274000
0,80559960;-86,72939000
0,80926142;-90,30780000
0,81292323;-89,30399000
0,81658505;-91,00867000
0,82024686;-86,01012000
0,82390868;-86,51326000
0,82757050;-85,07340000
0,83123231;-84,63673000
0,83489413;-87,43227000
0,83855595;-88,99226000
0,84221776;-94,66026000
0,84587958;-93,99674000
0,84954140;-110,98040000
0,85320321;-91,53017000
0,85686503;-92,19674000
0,86052684;-84,91493000
0,86418866;-90,07191000
0,86785048;-91,48116000
0,87151229;-88,07971000
0,87517411;-91,85823000
0,87883593;-101,21460000
0,88249774;-91,51874000
0,88615956;-87,57877000
0,88982138;-89,94693000
0,89348319;-96,16268000
0,89714501;-92,17149000
0,90080682;-85,57887000
0,90446864;-86,37552000
0,90813046;-90,14626000
0,91179227;-93,54359000
0,91545409;-97,24152000
0,91911591;-93,21811000
0,92277772;-90,56683000
0,92643954;-89,96515000
0,93010136;-90,44167000
0,93376317;-94,64928000
0,93742499;-94,52934000
0,94108680;-87,87169000
0,94474862;-87,25389000
0,94841044;-101,33350000
0,95207225;-99,66805000
0,95573407;-94,35149000
0,95939589;-86,39809000
0,96305770;-90,30203000
0,96671952;-104,94860000
0,97038134;-92,24774000
0,97404315;-84,94739000
0,97770497;-83,68346000
0,98136678;-84,56982000
0,98502860;-86,41265000
0,98869042;-96,79902000
0,99235223;-88,86897000
0,99601405;-87,42616000
0,99967587;-89,52290000
1,00333768;-88,53568000
1,00699950;-87,79100000
1,01066131;-90,70213000
1,01432313;-102,17690000
1,01798495;-89,63622000
1,02164676;-84,93520000
1,02530858;-92,97206000
1,02897040;-86,85227000
1,03263221;-89,34796000
1,03629403;-98,98949000
1,03995585;-90,22516000
1,04361766;-93,61713000
1,04727948;-90,49965000
1,05094129;-88,22612000
1,05460311;-89,00389000
1,05826493;-91,12799000
1,06192674;-92,83891000
1,06558856;-100,71570000
1,06925038;-88,52606000
1,07291219;-85,76875000
1,07657401;-84,81017000
1,08023583;-88,97915000
1,08389764;-87,17528000
1,08755946;-83,86545000
1,09122127;-87,58714000
1,09488309;-94,48785000
1,09854491;-96,97987000
1,10220672;-95,07728000
1,10586854;-89,85877000
1,10953036;-93,30644000
1,11319217;-94,43669000
1,11685399;-93,14246000
1,12051581;-91,42700000
1,12417762;-90,89104000
1,12783944;-86,36624000
1,13150125;-81,25674000
1,13516307;-81,19640000
1,13882489;-87,94504000
1,14248670;-100,38310000
1,14614852;-96,37765000
1,14981034;-86,91455000
1,15347215;-88,06099000
1,15713397;-94,25142000
1,16079579;-85,03479000
1,16445760;-82,42722000
1,16811942;-84,90612000
1,17178123;-87,33453000
1,17544305;-89,92756000
1,17910487;-94,78091000
1,18276668;-91,01314000
1,18642850;-90,21960000
1,19009032;-93,82413000
1,19375213;-102,36890000
1,19741395;-108,00140000
1,20107577;-101,95450000
1,20473758;-89,35408000
1,20839940;-88,36968000
1,21206121;-93,34621000
1,21572303;-94,78349000
1,21938485;-97,21050000
1,22304666;-104,79280000
1,22670848;-92,78859000
1,23037030;-90,16232000
1,23403211;-86,58347000
1,23769393;-87,00668000
1,24135575;-93,81001000
1,24501756;-88,78973000
1,24867938;-98,81699000
1,25234119;-94,87848000
1,25600301;-93,18360000
1,25966483;-93,56942000
1,26332664;-103,30240000
1,26698846;-110,74500000
1,27065028;-90,51873000
1,27431209;-87,46417000
1,27797391;-89,56199000
1,28163573;-96,78748000
1,28529754;-99,18792000
1,28895936;-100,80680000
1,29262117;-96,40491000
1,29628299;-90,37795000
1,29994481;-94,91164000
1,30360662;-93,03092000
1,30726844;-83,51810000
1,31093026;-82,62321000
1,31459207;-87,69658000
1,31825389;-89,79202000
1,32191571;-87,41989000
1,32557752;-83,64127000
1,32923934;-83,38821000
1,33290115;-84,10003000
1,33656297;-88,22855000
1,34022479;-85,16586000
1,34388660;-84,48933000
1,34754842;-87,54607000
1,35121024;-88,83424000
1,35487205;-87,96414000
1,35853387;-89,23623000
1,36219569;-89,65058000
1,36585750;-97,32121000
1,36951932;-102,82570000
1,37318113;-92,43333000
1,37684295;-85,45049000
1,38050477;-85,22210000
1,38416658;-87,31599000
1,38782840;-91,75919000
1,39149022;-91,18893000
1,39515203;-87,12468000
1,39881385;-92,78431000
1,40247567;-85,30736000
1,40613748;-83,80874000
1,40979930;-87,41599000
1,41346111;-97,82693000
1,41712293;-88,55964000
1,42078475;-84,32930000
1,42444656;-86,02292000
1,42810838;-90,80422000
1,43177020;-104,00590000
1,43543201;-91,98273000
1,43909383;-88,11852000
1,44275565;-83,78096000
1,44641746;-84,05251000
1,45007928;-94,51644000
1,45374109;-97,26773000
1,45740291;-99,04004000
1,46106473;-97,19594000
1,46472654;-98,84637000
1,46838836;-89,99314000
1,47205018;-88,50811000
1,47571199;-86,18002000
1,47937381;-85,86310000
1,48303563;-87,58951000
1,48669744;-91,93835000
1,49035926;-88,06580000
1,49402107;-92,48781000
1,49768289;-88,52261000
1,50134471;-94,93981000
1,50500652;-99,64160000
1,50866834;-91,89965000
1,51233016;-87,56039000
1,51599197;-87,07028000
1,51965379;-97,87619000
1,52331561;-93,58493000
1,52697742;-90,05725000
1,53063924;-91,68458000
1,53430105;-85,47452000
1,53796287;-87,07928000
1,54162469;-87,46750000
1,54528650;-82,69661000
1,54894832;-86,29535000
1,55261014;-87,66994000
1,55627195;-85,46658000
1,55993377;-90,23672000
1,56359559;-83,21250000
1,56725740;-82,75974000
1,57091922;-89,81297000
1,57458103;-86,18732000
1,57824285;-86,78677000
1,58190467;-87,34662000
1,58556648;-87,52000000
1,58922830;-90,18295000
1,59289012;-92,75424000
1,59655193;-92,18761000
1,60021375;-95,40962000
1,60387557;-97,03917000
1,60753738;-94,77302000
1,61119920;-90,72735000
1,61486101;-89,00326000
1,61852283;-85,28574000
1,62218465;-85,70772000
1,62584646;-88,28522000
1,62950828;-95,64598000
1,63317010;-85,73493000
1,63683191;-83,44089000
1,64049373;-94,22637000
1,64415554;-84,33272000
1,64781736;-85,97432000
1,65147918;-93,20425000
1,65514099;-93,03664000
1,65880281;-90,58567000
1,66246463;-91,10686000
1,66612644;-93,75163000
1,66978826;-86,03722000
1,67345008;-101,14970000
1,67711189;-87,34603000
1,68077371;-93,94789000
1,68443552;-90,99036000
1,68809734;-99,91154000
1,69175916;-104,25490000
1,69542097;-82,95707000
1,69908279;-86,05865000
1,70274461;-86,06595000
1,70640642;-84,50354000
1,71006824;-89,21964000
1,71373006;-81,00249000
1,71739187;-82,51789000
1,72105369;-88,24180000
