Frequency,Channel A
(kHz),(dBV)

0.00000000,-34.88891000
0.04875013,-41.64172000
0.09750025,-48.45063000
0.14625038,-27.67212000
0.19500050,-18.53658000
0.24375063,-18.43938000
0.29250076,-27.35055000
0.34125088,-37.97258000
0.39000101,-21.94303000
0.43875113,-17.43099000
0.48750126,-21.49605000
0.53625138,-36.09287000
0.58500151,-78.73950000
0.63375164,-70.90775000
0.68250176,-75.15121000
0.73125189,-70.81982000
0.78000201,-72.24899000
0.82875214,-78.84202000
0.87750227,-73.31422000
0.92625239,-71.79393000
0.97500252,-74.82082000
1.02375264,-83.89282000
1.07250277,-84.46944000
1.12125290,-79.82385000
1.17000302,-77.97008000
1.21875315,-75.73188000
1.26750327,-82.49472000
1.31625340,-84.55527000
1.36500352,-81.71910000
1.41375365,-72.84617000
1.46250378,-76.18731000
1.51125390,-82.20168000
1.56000403,-82.35100000
1.60875415,-76.30868000
1.65750428,-75.91945000
1.70625441,-72.34328000
1.75500453,-71.05124000
1.80375466,-71.98531000
1.85250478,-73.62260000
1.90125491,-79.85998000
1.95000504,-74.86134000
1.99875516,-72.84599000
2.04750529,-76.97005000
2.09625541,-83.26572000
2.14500554,-74.00981000
2.19375566,-71.58811000
2.24250579,-74.89542000
2.29125592,-80.12239000
2.34000604,-73.73671000
2.38875617,-80.08002000
2.43750629,-77.01241000
2.48625642,-72.60004000
2.53500655,-77.76836000
2.58375667,-79.63036000
2.63250680,-75.03152000
2.68125692,-86.78731000
2.73000705,-78.63583000
2.77875718,-93.64204000
2.82750730,-78.68784000
2.87625743,-74.85340000
2.92500755,-74.40981000
2.97375768,-77.76591000
3.02250780,-83.80101000
3.07125793,-80.69685000
3.12000806,-76.96618000
3.16875818,-77.42315000
3.21750831,-80.33969000
3.26625843,-83.63054000
3.31500856,-71.87824000
3.36375869,-67.21303000
3.41250881,-67.37840000
3.46125894,-70.75401000
3.51000906,-75.39048000
3.55875919,-80.32979000
3.60750932,-90.11382000
3.65625944,-80.15434000
3.70500957,-74.21666000
3.75375969,-76.80724000
3.80250982,-84.10980000
3.85125994,-77.20284000
3.90001007,-80.56471000
3.94876020,-72.64909000
3.99751032,-72.65313000
4.04626045,-75.83291000
4.09501057,-75.44764000
4.14376070,-75.73291000
4.19251083,-79.10447000
4.24126095,-75.22636000
4.29001108,-72.04059000
4.33876120,-75.62657000
4.38751133,-78.89352000
4.43626146,-74.09563000
4.48501158,-72.88548000
4.53376171,-76.35031000
4.58251183,-84.10707000
4.63126196,-82.35294000
4.68001208,-73.31858000
4.72876221,-69.62722000
4.77751234,-74.62935000
4.82626246,-75.40975000
4.87501259,-72.61099000
4.92376271,-76.06202000
4.97251284,-88.18821000
5.02126297,-86.41274000
5.07001309,-76.49805000
5.11876322,-73.52328000
5.16751334,-74.84516000
5.21626347,-78.79201000
5.26501360,-79.92818000
5.31376372,-76.54176000
5.36251385,-74.56165000
5.41126397,-72.30504000
5.46001410,-70.43663000
5.50876423,-80.03457000
5.55751435,-84.95740000
5.60626448,-80.06319000
5.65501460,-73.14631000
5.70376473,-71.73425000
5.75251485,-74.47394000
5.80126498,-75.92984000
5.85001511,-69.68394000
5.89876523,-66.69847000
5.94751536,-66.72495000
5.99626548,-70.36143000
6.04501561,-79.77962000
6.09376574,-79.51919000
6.14251586,-75.31921000
6.19126599,-76.67204000
6.24001611,-82.73331000
6.28876624,-80.90768000
6.33751637,-74.98696000
6.38626649,-73.78655000
6.43501662,-77.50555000
6.48376674,-85.34007000
6.53251687,-79.83525000
6.58126699,-78.12953000
6.63001712,-87.52710000
6.67876725,-78.57763000
6.72751737,-84.35398000
6.77626750,-91.24809000
6.82501762,-82.27013000
6.87376775,-85.65123000
6.92251788,-82.16327000
6.97126800,-73.53049000
7.02001813,-70.86636000
7.06876825,-74.82522000
7.11751838,-81.14107000
7.16626851,-79.77385000
7.21501863,-80.47215000
7.26376876,-75.36491000
7.31251888,-72.48312000
7.36126901,-75.61616000
7.41001913,-78.18953000
7.45876926,-81.59924000
7.50751939,-81.91215000
7.55626951,-77.57081000
7.60501964,-82.25066000
7.65376976,-82.31762000
7.70251989,-86.79444000
7.75127002,-75.85738000
7.80002014,-76.86608000
7.84877027,-84.40341000
7.89752039,-71.47076000
7.94627052,-69.77719000
7.99502065,-74.25108000
8.04377077,-79.26416000
8.09252090,-79.81382000
8.14127102,-79.42084000
8.19002115,-77.18993000
8.23877127,-82.50350000
8.28752140,-94.22649000
8.33627153,-78.44307000
8.38502165,-75.71716000
8.43377178,-86.52641000
8.48252190,-80.76020000
8.53127203,-77.69769000
8.58002216,-78.83469000
8.62877228,-92.32673000
8.67752241,-85.25240000
8.72627253,-88.82799000
8.77502266,-76.54772000
8.82377279,-75.31371000
8.87252291,-95.42500000
8.92127304,-73.79891000
8.97002316,-71.69696000
9.01877329,-74.72559000
9.06752341,-76.78303000
9.11627354,-73.25050000
9.16502367,-76.96974000
9.21377379,-90.79388000
9.26252392,-80.15146000
9.31127404,-78.34193000
9.36002417,-76.72354000
9.40877430,-75.31491000
9.45752442,-82.88788000
9.50627455,-78.64335000
9.55502467,-84.25711000
9.60377480,-87.09808000
9.65252493,-76.76400000
9.70127505,-73.77788000
9.75002518,-75.34272000
9.79877530,-73.99049000
9.84752543,-72.41007000
9.89627555,-77.38051000
9.94502568,-88.20490000
9.99377581,-83.03358000
10.04252593,-72.58949000
10.09127606,-68.78407000
10.14002618,-69.35264000
10.18877631,-77.07844000
10.23752644,-76.00871000
10.28627656,-72.24547000
10.33502669,-74.76321000
10.38377681,-78.50837000
10.43252694,-72.51154000
10.48127707,-72.70824000
10.53002719,-80.76328000
10.57877732,-83.23059000
10.62752744,-79.10693000
10.67627757,-81.49429000
10.72502769,-87.51514000
10.77377782,-90.12372000
10.82252795,-103.35050000
10.87127807,-80.53857000
10.92002820,-82.15537000
10.96877832,-91.82790000
11.01752845,-81.70808000
11.06627858,-83.91025000
11.11502870,-79.14388000
11.16377883,-71.31773000
11.21252895,-71.93517000
11.26127908,-76.39044000
11.31002921,-80.95657000
11.35877933,-74.64986000
11.40752946,-76.31776000
11.45627958,-80.22060000
11.50502971,-84.30208000
11.55377983,-78.37411000
11.60252996,-78.95232000
11.65128009,-81.08199000
11.70003021,-87.28623000
11.74878034,-86.68281000
11.79753046,-80.53983000
11.84628059,-81.99126000
11.89503072,-82.95599000
11.94378084,-79.00430000
11.99253097,-82.02824000
12.04128109,-83.23865000
12.09003122,-92.57214000
12.13878135,-80.19641000
12.18753147,-73.47504000
12.23628160,-75.03784000
12.28503172,-78.37965000
12.33378185,-78.58551000
12.38253197,-76.38989000
12.43128210,-73.41985000
12.48003223,-70.72256000
12.52878235,-72.36851000
12.57753248,-77.98861000
12.62628260,-79.76807000
12.67503273,-79.21972000
12.72378286,-81.27603000
12.77253298,-85.54221000
12.82128311,-85.80199000
12.87003323,-78.81000000
12.91878336,-81.67661000
12.96753349,-86.95940000
13.01628361,-75.31236000
13.06503374,-77.44715000
13.11378386,-79.62741000
13.16253399,-72.92052000
13.21128411,-70.66200000
13.26003424,-70.28020000
13.30878437,-76.68112000
13.35753449,-82.38596000
13.40628462,-73.96819000
13.45503474,-72.45045000
13.50378487,-76.05775000
13.55253500,-91.76279000
13.60128512,-78.24358000
13.65003525,-76.68417000
13.69878537,-82.53799000
13.74753550,-85.99187000
13.79628563,-84.78047000
13.84503575,-71.54877000
13.89378588,-69.39995000
13.94253600,-71.18635000
13.99128613,-72.93416000
14.04003625,-77.66481000
14.08878638,-76.15403000
14.13753651,-70.68050000
14.18628663,-73.18814000
14.23503676,-79.19093000
14.28378688,-97.25623000
14.33253701,-83.79488000
14.38128714,-79.70093000
14.43003726,-77.92886000
14.47878739,-81.71073000
14.52753751,-81.25397000
14.57628764,-78.65305000
14.62503777,-81.01085000
14.67378789,-81.21991000
14.72253802,-82.25346000
14.77128814,-83.42799000
14.82003827,-80.55183000
14.86878839,-77.73194000
14.91753852,-78.12404000
14.96628865,-77.33298000
15.01503877,-77.48209000
15.06378890,-85.87912000
15.11253902,-83.12860000
15.16128915,-82.33728000
15.21003928,-79.81357000
15.25878940,-84.42513000
15.30753953,-74.74566000
15.35628965,-72.26431000
15.40503978,-75.18422000
15.45378991,-76.06904000
15.50254003,-80.40977000
15.55129016,-82.66563000
15.60004028,-89.84165000
15.64879041,-81.49239000
15.69754053,-74.00401000
15.74629066,-68.49525000
15.79504079,-70.11357000
15.84379091,-92.12733000
15.89254104,-71.51961000
15.94129116,-71.37653000
15.99004129,-79.96186000
16.03879142,-75.94191000
16.08754154,-74.16229000
16.13629167,-77.41295000
16.18504179,-83.41065000
16.23379192,-79.58465000
16.28254205,-71.96485000
16.33129217,-70.17704000
16.38004230,-75.67021000
16.42879242,-82.63282000
16.47754255,-80.48282000
16.52629268,-79.75080000
16.57504280,-79.74982000
16.62379293,-76.35524000
16.67254305,-72.03862000
16.72129318,-69.15940000
16.77004330,-68.59125000
16.81879343,-70.19935000
16.86754356,-72.78041000
16.91629368,-83.85888000
16.96504381,-81.43897000
17.01379393,-92.92973000
17.06254406,-79.66919000
17.11129419,-82.38104000
17.16004431,-76.53290000
17.20879444,-77.74562000
17.25754456,-84.17079000
17.30629469,-78.68945000
17.35504482,-75.93681000
17.40379494,-74.51646000
17.45254507,-72.09584000
17.50129519,-72.46661000
17.55004532,-75.13858000
17.59879544,-75.80796000
17.64754557,-76.88008000
17.69629570,-78.73862000
17.74504582,-81.71744000
17.79379595,-88.21451000
17.84254607,-80.16772000
17.89129620,-76.06860000
17.94004633,-72.87303000
17.98879645,-72.19453000
18.03754658,-72.30676000
18.08629670,-74.42036000
18.13504683,-83.47797000
18.18379696,-73.30115000
18.23254708,-68.99322000
18.28129721,-69.55719000
18.33004733,-73.89032000
18.37879746,-89.54452000
18.42754758,-80.01845000
18.47629771,-80.76631000
18.52504784,-89.15023000
18.57379796,-81.73907000
18.62254809,-93.01141000
18.67129821,-80.56752000
18.72004834,-77.80590000
18.76879847,-76.85751000
18.81754859,-74.96322000
18.86629872,-79.42933000
18.91504884,-87.74608000
18.96379897,-78.56352000
19.01254910,-82.48848000
19.06129922,-80.83862000
19.11004935,-85.29961000
19.15879947,-78.90730000
19.20754960,-72.67879000
19.25629972,-71.81298000
19.30504985,-71.62769000
19.35379998,-73.70113000
19.40255010,-81.07463000
19.45130023,-76.07731000
19.50005035,-74.51991000
19.54880048,-75.28040000
19.59755061,-75.18980000
19.64630073,-72.96883000
19.69505086,-76.16232000
19.74380098,-82.57684000
19.79255111,-86.78885000
19.84130124,-82.95918000
19.89005136,-76.39487000
19.93880149,-79.77279000
19.98755161,-78.65284000
20.03630174,-75.96458000
20.08505186,-75.72414000
20.13380199,-80.77310000
20.18255212,-82.03665000
20.23130224,-75.07569000
20.28005237,-72.75875000
20.32880249,-70.10292000
20.37755262,-71.47784000
20.42630275,-77.16096000
20.47505287,-83.71329000
20.52380300,-79.37995000
20.57255312,-78.67128000
20.62130325,-91.66096000
20.67005338,-79.21594000
20.71880350,-76.40764000
20.76755363,-79.29008000
20.81630375,-74.04929000
20.86505388,-74.25688000
20.91380400,-78.49987000
20.96255413,-75.22086000
21.01130426,-70.74693000
21.06005438,-73.49527000
21.10880451,-82.24296000
21.15755463,-74.30299000
21.20630476,-70.07407000
21.25505489,-71.52261000
21.30380501,-74.91649000
21.35255514,-73.87536000
21.40130526,-74.81031000
21.45005539,-84.49630000
21.49880552,-90.06247000
21.54755564,-88.25514000
21.59630577,-88.40178000
21.64505589,-89.64609000
21.69380602,-97.33298000
21.74255614,-84.34096000
21.79130627,-85.81313000
21.84005640,-84.95842000
21.88880652,-83.00400000
21.93755665,-82.06986000
21.98630677,-76.39573000
22.03505690,-74.19194000
22.08380703,-75.28588000
22.13255715,-76.46371000
22.18130728,-75.19347000
22.23005740,-79.18684000
22.27880753,-80.27866000
22.32755766,-73.93703000
22.37630778,-72.77010000
22.42505791,-77.33077000
22.47380803,-91.38815000
22.52255816,-77.41163000
22.57130828,-73.68501000
22.62005841,-78.61170000
22.66880854,-82.70375000
22.71755866,-77.28217000
22.76630879,-79.92278000
22.81505891,-81.90941000
22.86380904,-77.17138000
22.91255917,-79.21223000
