Time,Channel A
(ms),(V)
,
0.0021542,0.00253304
0.0071622,-0.01214637
0.0121702,-0.0003357
0.0171782,0.00143437
0.0221862,-0.0054323
0.0271942,-0.005768
0.0322022,0.00909452
0.0372102,0.01147496
0.0422182,0.0151677
0.0472262,0.00222785
0.0522342,0.01004059
0.0572422,0.0151677
0.0622502,0.009888
0.0672582,0.01675466
0.0722662,0.01770074
0.0772742,0.01770074
0.0822822,0.01818903
0.0872902,0.02600177
0.0922982,0.01882992
0.0973062,0.01577807
0.1023142,0.02664266
0.1073222,0.03543199
0.1123302,0.03415021
0.1173382,0.0343028
0.1223462,0.02105777
0.1273542,0.03286843
0.1323622,0.03765984
0.1373702,0.03592028
0.1423782,0.03894162
0.1473862,0.04135258
0.1523942,0.04388562
0.1574022,0.03830073
0.1624102,0.04071169
0.1674182,0.03781243
0.1724262,0.0455031
0.1774342,0.04101688
0.1824422,0.04882962
0.1874502,0.04821924
0.1924582,0.04757836
0.1974662,0.04644917
0.2024742,0.05444502
0.2074822,0.05395672
0.21249019,0.04882962
0.21749819,0.05795465
0.22250619,0.05346843
0.22751419,0.05954161
0.23252219,0.05731376
0.23753019,0.06131168
0.24253819,0.05841243
0.24754619,0.06146428
0.25255419,0.05444502
0.25756219,0.05090487
0.26257019,0.06576739
0.26757819,0.0547502
0.27258619,0.05587939
0.27759419,0.05569628
0.28260219,0.05923643
0.28761019,0.06863613
0.29261819,0.06161687
0.29762619,0.06274606
0.30263419,0.0646382
0.30764219,0.0596942
0.31265019,0.07184057
0.31765819,0.06176946
0.32266619,0.05923643
0.32767419,0.07293924
0.33268219,0.05395672
0.33769019,0.06131168
0.34269819,0.05905332
0.34770619,0.06210517
0.35271419,0.05954161
0.35772219,0.05603198
0.36273019,0.06735435
0.36773819,0.06353953
0.37274619,0.06689657
0.37775419,0.06225776
0.38276219,0.05075228
0.38777019,0.0601825
0.39277819,0.05746635
0.39778619,0.06082339
0.40279419,0.06418043
0.40780219,0.05746635
0.41281019,0.05697806
0.41781819,0.05859554
0.42282619,0.05316325
0.42783419,0.06210517
0.43284219,0.05124058
0.43785019,0.05331584
0.44285819,0.05380413
0.44786618,0.04709006
0.45287418,0.05587939
0.45788218,0.05905332
0.46289018,0.05410932
0.46789818,0.05841243
0.47290618,0.06353953
0.47791418,0.0547502
0.48292218,0.04709006
0.48793018,0.05090487
0.49293818,0.0494705
0.49794618,0.06192205
0.50295418,0.03543199
0.50796218,0.05282754
0.51297018,0.03878903
0.51797818,0.05731376
0.52298618,0.04214606
0.52799418,0.05011139
0.53300218,0.05331584
0.53801018,0.04931791
0.54301818,0.04580828
0.54802618,0.04116947
0.55303418,0.03573718
0.55804218,0.03558458
0.56305018,0.03543199
0.56805818,0.02649007
0.57306618,0.02887051
0.57807418,0.04150517
0.58308218,0.03799554
0.58809018,0.0298471
0.59309818,0.0298471
0.59810618,0.02761925
0.60311418,0.02728355
0.60812218,0.02841273
0.61313018,0.03637806
0.61813818,0.01724296
0.62314618,0.02218696
0.62815418,0.02697836
0.63316218,0.01785333
0.63817018,0.02328562
